0004_Charade_01.08.45.492-01.08.49.160 	then she screams.
0006_Clerks_00.53.29.720-00.53.32.465 	the car screams away.
0013_Halloween_01.08.07.186-01.08.08.553 	lynda gasps and tries to scream.
0013_Halloween_01.22.38.878-01.22.39.312 	both children scream.
0014_Ist_das_Leben_nicht_schoen_00.15.05.451-00.15.06.333 	she screams.
0017_Pianist_00.30.35.749-00.30.36.767 	people in the building opposite begin to scream.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.10.31.436-01.10.33.413 	fast cuts of screaming orcs.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.38.49.155-02.38.51.185 	smeagol staggers back, screaming with pain.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.42.37.627-02.42.39.083 	he screams. 
0026_The_Big_Fish_00.11.12.121-00.11.13.979 	a cat screams out from a broken wicker rocker.
0028_The_Crying_Game_01.39.51.811-01.39.54.810 	mayhem, screaming.
0030_The_Hustler_01.19.34.162-01.19.38.127 	he screams again.
0050_Indiana_Jones_and_the_last_crusade_01.01.10.518-01.01.13.920 	she screams.
1056_Rambo_01.06.10.304-01.06.17.659 	via a walkie-talkie, the commander screams orders at an armed patrol boat on the river.
2012_Unbreakable_01.00.29.719-01.00.31.759 	she screams. 
2041_This_is_40_00.30.23.896-00.30.26.697 	she screams.
