0017_Pianist_01.09.33.258-01.09.35.225 	freezing cold.
0017_Pianist_02.15.31.345-02.15.32.529 	freezing weather.
0026_The_Big_Fish_00.51.02.361-00.51.04.291 	now it's edward who's frozen, helpless in time.
0026_The_Big_Fish_01.41.28.227-01.41.31.929 	she freezes, stunned and humiliated.
0029_The_Graduate_01.06.21.810-01.06.25.916 	he freezes with his hand still on the key.
0029_The_Graduate_01.31.05.470-01.31.10.591 	ben freezes just inside the door.
0031_The_Lost_Weekend_00.13.31.584-00.13.33.265 	the glass freezes halfway to his mouth.
0046_Chasing_Amy_00.03.51.901-00.03.53.494 	banky freezes up.
0046_Chasing_Amy_00.57.39.952-00.57.41.144 	then he freezes.
1011_The_Help_00.32.28.741-00.32.30.880 	minnie, caught with her knickers down, freezes.
1011_The_Help_01.41.37.742-01.41.40.071 	hilly's automatic smile freezes.
1015_27_Dresses_01.12.32.911-01.12.36.195 	kevin's expression freezes.
1015_27_Dresses_01.21.00.715-01.21.02.382 	tess' face freezes.
1019_Confessions_Of_A_Shopaholic_00.37.31.480-00.37.33.267 	rebecca's expectant smile freezes.
1020_Crazy_Stupid_Love_00.52.43.752-00.52.45.335 	he freezes.
1020_Crazy_Stupid_Love_01.27.06.806-01.27.08.482 	he freezes.
1045_An_education_00.22.29.831-00.22.32.595 	david glances at jenny who freezes.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.35.37.089-00.35.41.926 	the guests freeze.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.41.16.274-00.41.18.444 	they freeze.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_02.08.16.716-02.08.20.943 	lucius glares at draco, who freezes.
2027_Les_Miserables_01.43.32.090-01.43.33.609 	everyone freezes.
2040_The_Ugly_Truth_00.24.13.843-00.24.15.067 	she freezes.
