0010_Frau_Ohne_Gewissen_00.03.26.031-00.03.26.627 	two colored women are cleaning the offices.
0010_Frau_Ohne_Gewissen_00.47.51.527-00.47.51.684 	a colored attendant in coveralls and rubber boots is washing a car with a hose and sponge.
0014_Ist_das_Leben_nicht_schoen_02.06.32.969-02.06.34.794 	annie, the colored maid, enters, digging money out of a long black stocking.
0020_Raising_Arizona_00.00.28.528-00.00.31.081 	a disheveled young man in a gaily colored hawaiian shirt is launched into frame by someone offscreen.
0021_Rear_Window_00.14.23.496-00.14.24.950 	dreamily, and methodically, she is brushing her long copper- colored hair.
0031_The_Lost_Weekend_00.57.49.974-00.57.53.378 	it's a two-wash-basin affair, with a colored attendant who, as don enters, is brushing a customer.
1006_Slumdog_Millionaire_00.16.54.311-00.17.02.987 	jamal's mother washes brightly colored clothing in a pool as young jamal and salim frolic in the water.
1012_Unbreakable_00.59.24.371-00.59.29.171 	they are humbling through the playground across the colored markings for hopscotch.
1037_The_Curious_Case_Of_Benjamin_Button_00.00.04.663-00.00.09.179 	colored buttons fall into a large heap, forming the warner brothers' shield.
1038_The_Great_Gatsby_00.52.02.822-00.52.03.951 	there's a cake stand full of cakes and a big pile of brightly colored macaroons.
1038_The_Great_Gatsby_01.02.29.000-01.02.31.847 	daisy flops onto the pile of brightly colored shirts on the bed.
1043_Vantage_Point_00.56.18.332-00.56.24.079 	the huge enclosed square of the plaza is surrounded by terra cotta colored buildings.
1056_Rambo_00.04.27.383-00.04.32.916 	dark-haired, heavy-set, muscular and sullen faced, he wears a khaki colored smock and a red paisley bandanna.
2051_Harry_Potter_and_the_goblet_of_fire_00.08.27.921-00.08.34.727 	five green and white figures fly through the air on their brooms leaving a colored trail behind them.
