0017_Pianist_00.25.37.229-00.25.38.758 	The wall runs the length of the street, dividing it in half and narrowing it.
0017_Pianist_00.48.15.929-00.48.38.979 	Then, carefully takes out his penknife and with great care divides the caramel into six pans.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.45.30.650-01.45.38.179 	With that, the rock face silently divides in the middle and two great Doors swing outwards revealing a blackness deeper than the night.
0030_The_Hustler_01.57.27.855-01.57.41.928 	Bert enters his suite, removes his overcoat, then looks at the door that divides his room from Sarah's.
0050_Indiana_Jones_and_the_last_crusade_00.22.36.841-00.22.38.793 	Indy opens one half of the curtains dividing the hall from the sitting room.
1024_Identity_Thief_01.31.01.809-01.31.04.707 	now, they cruise down a construction-filled street with opposite lanes divided by orange traffic cones.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.52.10.416-00.52.12.900 	he's peering over the dividing wall.
1051_Harry_Potter_and_the_goblet_of_fire_02.03.25.029-02.03.38.637 	it twists and turns downwards, dividing in to separate plumes, each revealing a black-robed death eater, wearing a tall pointed hood, and a skeleton mask.
1056_Rambo_00.37.36.554-00.37.37.461 	the foundation is divided into two sections.
1062_Day_the_Earth_stood_still_01.16.38.000-01.16.46.101 	deep in the minute cracks of the damaged drill, tiny black bugs flutter and multiply by dividing in two.
1056_Rambo_00.37.36.554-00.37.37.461 	the foundation is divided into two sections.
1062_Day_the_Earth_stood_still_01.16.38.000-01.16.46.101 	deep in the minute cracks of the damaged drill, tiny black bugs flutter and multiply by dividing in two.
