0049_Hannah_and_her_sisters_00.11.40.103-00.11.42.774 	as the group walks through a large doorway, larry catches up to mickey.
0049_Hannah_and_her_sisters_00.11.58.620-00.12.00.389 	gail pats mickey's back; she gestures in exasperation.
0049_Hannah_and_her_sisters_00.12.47.768-00.12.53.035 	the camera shows she and mickey talking to ron through the reflection in the cluttered makeup mirror.
0049_Hannah_and_her_sisters_00.14.57.893-00.15.05.715 	an uptempo big-band sound is heard as the movie cuts to mickey's examination, beginning with a close-up of dr. abel using an otoscope to examine the ear of a nervous mickey.
0049_Hannah_and_her_sisters_00.15.14.256-00.15.16.459 	he puts the vibrating fork to mickey's ear.
0049_Hannah_and_her_sisters_00.33.02.047-00.33.04.175 	they walk offscreen and the film cuts to hannah and mickey's living room.
0049_Hannah_and_her_sisters_01.01.08.810-01.01.16.517 	the film cuts abruptly to mickey's flashback of his date with holly, beginning with a rock club performance.
0049_Hannah_and_her_sisters_01.13.05.584-01.13.07.887 	the movie cuts to mickey's face.
0049_Hannah_and_her_sisters_01.33.46.807-01.33.52.755 	the camera moves down the chaise, past several piles of books, to mickey's coffee table.
0049_Hannah_and_her_sisters_01.35.29.163-01.35.38.388 	holly and mickey emerge from the door and walk up the street, revealing a whole row of similar apartment buildings.
0049_Hannah_and_her_sisters_01.35.49.237-01.36.03.729 	holly and mickey stroll into view, deep in conversation.
0049_Hannah_and_her_sisters_01.36.03.729-01.36.05.685 	the film abruptly cuts to mickey's flashback, a visual counterpoint to the story he is telling holly.
