0016_O_Brother_Where_Art_Thou_00.06.10.602-00.06.15.332 	he looks from pete to everett, and nods agreeably.
0016_O_Brother_Where_Art_Thou_00.11.14.850-00.11.29.461 	wash is whittling once again; everett dips his comb into a pomade jar and carefully works on his hair; pete is digging around with a toothpick; delmar dreamily waves one hand in time to the music.
0016_O_Brother_Where_Art_Thou_00.17.15.848-00.17.25.636 	everett too watches the white-robed people following in the wake of the tenor.
0016_O_Brother_Where_Art_Thou_00.18.23.603-00.18.38.467 	pete, delmar and everett emerge from the woods and gaze down at the river.
0016_O_Brother_Where_Art_Thou_00.30.35.186-00.30.36.593 	pete shovels dirt onto the fire as delmar and everett scramble to peek over a low ridge.
0016_O_Brother_Where_Art_Thou_00.35.02.930-00.35.03.267 	delmar nudges everett.
0016_O_Brother_Where_Art_Thou_00.40.54.585-00.41.00.099 	- a high shot looking down through the rain past the dripping eave of a barn, under which everett, pete and delmar have taken cover.
0016_O_Brother_Where_Art_Thou_00.44.21.649-00.44.52.591 	none of the women respond but, as all continue to sing, one brings a jug marked with three xes to everett.
0016_O_Brother_Where_Art_Thou_00.48.51.928-00.48.53.596 	delmar and everett sit at a table, a shoebox between them, deep in conversation.
0016_O_Brother_Where_Art_Thou_00.53.40.123-00.53.46.033 	big dan walks awkwardly over to everett with delmar still attached to him like a hunting dog locked on to a bear.
0016_O_Brother_Where_Art_Thou_00.53.29.036-00.53.29.278 	big dan takes a break from whacking at delmar to deliver a blow to everett.
0016_O_Brother_Where_Art_Thou_00.57.13.126-00.57.14.177 	as he stares at the line of men everett tries to pick up his thread.
0016_O_Brother_Where_Art_Thou_01.04.47.150-01.05.00.623 	romantic music tinnily plays as delmar and everett watch, everett slumped down and angrily hissing.
0016_O_Brother_Where_Art_Thou_01.14.33.650-01.14.33.856 	pete and everett hastily crabwalk back into the bushes and then push through with delmar.
0016_O_Brother_Where_Art_Thou_01.15.50.060-01.16.01.431 	over in the bushes everett, delmar and pete are straightening up and adjusting their appropriated robes and hoods, having disposed of the color guard.
0016_O_Brother_Where_Art_Thou_01.31.11.799-01.31.14.802 	he gives everett a meaningful look, which everett holds for a considering beat.
0016_O_Brother_Where_Art_Thou_01.39.09.068-01.39.13.904 	the coffin floats downstream for a beat and then everett pops out of the water next to it, gasping for air, shaking his head clear of water, and moving his shoulders to finish freeing himself from the rope round his wrists.
0016_O_Brother_Where_Art_Thou_01.42.09.614-01.42.12.508 	the second-to-last girl is the oldest; she holds a piece of string along which we travel, still listening to penny and everett, off.
