0001_American_Beauty_01.14.47.184-01.14.47.434 	the room, too, seems changed: sloppier, more lived in.
0001_American_Beauty_01.23.52.129-01.23.53.676 	he's in excellent shape; even his posture has changed, and he moves with the confident, easy swagger of an athlete.
0001_American_Beauty_01.33.12.269-01.33.12.928 	but something has changed, and he isn't intimidated at all.
0011_Gandhi_02.02.10.739-02.02.16.620 	they both watch the waves beat on the shore a moment, the changing hues of the sunrise on the whites of porbandar.
0011_Gandhi_02.38.36.756-02.38.38.669 	they are all awed, timid even in his actual presence, and the mood of their gathering has changed altogether.
0012_Get_Shorty_01.20.00.278-01.20.06.243 	feeling him staring, she keeps her eyes on the sunset, and tries to change the subject.
0014_Ist_das_Leben_nicht_schoen_01.52.55.242-01.52.55.556 	the character of the place has completely changed.
0014_Ist_das_Leben_nicht_schoen_01.56.57.481-01.56.59.484 	it is mrs. bailey, but she has changed amazingly.
0021_Rear_Window_00.24.42.101-00.24.45.741 	he ponders over her last remark, then changes his look to another direction.
0026_The_Big_Fish_00.12.07.303-00.12.08.507 	an old man -- zacky -- stands on a wobbly stepladder, changing a lightbulb.
0026_The_Big_Fish_01.00.28.067-01.00.29.971 	he changes out of his grubby shirt into a new one, just out of the package.
0028_The_Crying_Game_00.37.03.738-00.37.07.671 	fergus aims, then changes his mind and runs.
0031_The_Lost_Weekend_00.30.25.588-00.30.26.895 	he is glancing through the program as the curtain rises (changing the light on our group).
0032_The_Princess_Bride_00.23.23.795-00.23.26.294 	and now he changes hands, and at last, the battle is fully joined.
0032_The_Princess_Bride_00.47.00.550-00.47.03.789 	stampedes on, changing its target, heading right for-- buttercup, and she's scared to death and.
0041_The_Sixth_Sense_00.08.14.864-00.08.16.408 	anna's expression instanly changes.
0049_Hannah_and_her_sisters_00.24.34.109-00.25.10.573 	the jazz plays on as the movie cuts back and forth between the fast-moving elliot, rushing down the soho streets, past a truck waiting for a light to change, past some pedestrians, some garbage cans, turning corners, and the strolling lee, walking up different streets, past different buildings.
0051_Men_in_black_00.06.53.924-00.06.54.846 	dee struggles to roll over and change the controls on his gun, which fell out of his hand as he hit the ground.
0051_Men_in_black_00.37.47.068-00.37.52.488 	the pad glows red, a searing sound comes from his hands, and he grimaces as more lasers instantly and (not at all) painlessly change his fingerprints.
0051_Men_in_black_01.17.18.664-01.17.19.133 	as the ltd rockets toward the traffic jam up ahead, it begins to evolve, its shape actually changing.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.20.33.875-01.20.40.555 	they change form, and shoot into the sky, the cloud of black spell.
1006_Slumdog_Millionaire_01.36.44.011-01.36.46.403 	javed snatches the remote control and changes the channel.
1007_Spider-Man1_00.12.36.875-00.12.38.613 	inside a suburban house, peter's uncle ben is changing a light bulb.
1007_Spider-Man1_01.19.41.071-01.19.42.711 	peter is up on the roof changing out of his everyday clothes.
1008_Spider-Man2_00.04.52.946-00.04.56.105 	he sees the lights change and a bus passes in front.
1008_Spider-Man2_00.34.15.268-00.34.19.246 	the man looks up at the floor display as it changes from 10 to nine.
1009_Spider-Man3_00.01.10.069-00.01.13.915 	peter's look of disbelief at his changing physique in a mirror watched by uncle ben and aunt may.
1009_Spider-Man3_01.03.26.513-01.03.33.267 	later, he changes into his spider-man suit and stares intently at the radio on the chest of radios.
1009_Spider-Man3_01.10.46.881-01.10.51.648 	later, changed out of the spider-man suit, peter walks through a dilapidated breeze block building, stopping to glance in a chipped mirror.
1011_The_Help_00.56.06.046-00.56.15.528 	at elizabeth's, aibileen lays mae mobley down to change her nappy.
1012_Unbreakable_00.00.55.705-00.00.57.729 	people are reflected in the mirror of a shop changing room, peering in nervously.
1015_27_Dresses_00.04.32.344-00.04.35.091 	she starts getting changed in the back seat.
1015_27_Dresses_00.05.39.681-00.05.43.221 	flinging herself back into the cab, she frantically starts changing again.
1017_Bad_Santa_00.32.09.768-00.32.18.681 	some noise is emanating from the changing room catches attention.
1017_Bad_Santa_00.46.52.715-00.47.00.382 	the kid moves another counter, but still keeps a pudgy finger on it, and looks at willie, then changes his mind and moves it back.
1017_Bad_Santa_00.47.14.105-00.47.17.772 	then, before willie can move, changes his mind and puts the counter back where it was.
1017_Bad_Santa_01.08.48.542-01.08.55.365 	marcus gets changed out of his elf gear while willie, in contemplative mood, sits on a bench and sucks on a bottle of gut rot.
1019_Confessions_Of_A_Shopaholic_01.08.52.699-01.08.55.534 	rebecca, looking nervous, emerges from the changing cabin in the purple dress.
1028_No_Reservations_00.47.05.993-00.47.06.993 	leah, wearing a thick winter coat, slings her bag over her shoulder as she leaves the staff changing room.
1029_Pride_And_Prejudice_Disk_One_02.39.32.262-02.39.36.929 	then seems to change his mind and returns to his original spot by the mantel piece.
1030_Public_Enemies_00.07.35.314-00.07.36.578 	in a farm house, gang members change clothes while eating.
1031_Quantum_of_Solace_00.11.04.249-00.11.05.682 	he changes direction.
