0003_CASABLANCA_00.09.37.839-00.09.48.365 	rick looks at the german calmly, takes the card out of his hand, and tears it up.
0003_CASABLANCA_00.15.00.989-00.15.03.079 	rick looks the check over and tears it up.
0004_Charade_00.25.29.872-00.25.38.299 	he writes something on a pad of paper and tears it off, handing it to her.
0004_Charade_00.30.45.712-00.30.46.210 	slowly, his eyes open and tears stream from them, rolling down his cheeks.
0004_Charade_01.27.07.402-01.27.14.522 	it has been torn in half and scotch-taped back together.
0004_Charade_01.34.24.449-01.34.30.249 	four of them -- a red, a yellow, a blue, and a green, still attached to the portion of the torn envelope.
0005_Chinatown_00.45.28.423-00.45.31.375 	gittes is seated, flips through the paper until he finds the obituary column, scans it, looks up, abruptly tears the column from the paper and puts it in his pocket.
0005_Chinatown_01.08.47.449-01.08.52.390 	beside the owner column he places the ruler, looks toward the clerks, then swiftly rips down the page, tearing out a strip about two inches wide containing the owner's name and property description.
0005_Chinatown_01.08.50.590-01.08.52.479 	as he tears, he either sniffles or coughs to cover the sound of the paper being ripped.
0005_Chinatown_01.12.54.761-01.12.55.596 	he's got dried blood down the side of his face from his nose, a huge mouse on his cheek, and his clothes are torn in a couple of spots.
0005_Chinatown_01.15.33.319-01.15.35.627 	then he gets a clear look at gittes, bruised, trousers torn, etc.
0005_Chinatown_01.32.39.908-01.32.41.865 	her intensity actually rips gittes' already partially torn jacket.
0011_Gandhi_02.34.06.653-02.34.13.252 	his posture is utterly unchanged, ba's hand still in his lap, his eyes still staring emptily at the floor in front of him, but suddenly tears begin to run down his cheeks.
0011_Gandhi_02.36.36.279-02.36.37.178 	he turns to see that mountbatten has been standing in the open door to the conference room, as torn as gandhi by the conflict, feeling it best controlled in formal discussion.
0013_Halloween_01.25.52.545-01.25.53.456 	in f.g. sits laurie, slumped against the door frame, staring out at nothing, tears streaming down her face.
0014_Ist_das_Leben_nicht_schoen_00.11.10.103-00.11.23.098 	he tears open the package, shakes the powder out of one of the capsules, cautiously tastes it, then abruptly throws the whole mess to the table and turns to look at george again.
0014_Ist_das_Leben_nicht_schoen_02.07.43.403-02.07.56.429 	carter, the bank examiner, makes a donation; the sheriff sheepishly looks at george and tears his warrant in small pieces.
0017_Pianist_00.52.27.989-00.52.29.264 	furniture, torn mattresses and pillows lie scattered.
0017_Pianist_01.13.51.336-01.13.54.528 	szpilman's ghetto clothes, torn into strips, are being stuffed into it and burned.
0023_THE_BUTTERFLY_EFFECT_00.43.22.692-00.43.27.139 	evan hastily hunts through his journals, tearing up the room looking for a certain book.
0023_THE_BUTTERFLY_EFFECT_01.14.07.334-01.14.10.179 	rick tears them away, evan coming up with only a few torn pages.
0023_THE_BUTTERFLY_EFFECT_01.50.05.089-01.50.11.130 	evan enters the office and tears the file cabinets apart, looking for something.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.31.22.784-01.31.24.358 	with a huge effort or will, frodo tears his gaze upon the ring.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.46.07.974-01.46.10.164 	torn, not wanting to go on, wanting to lie down.
0026_The_Big_Fish_00.40.36.250-00.40.41.159 	edward is lying shoeless and torn in a muddy puddle, staring up at the rain.
0026_The_Big_Fish_01.02.48.795-01.02.54.604 	we lead edward as he walks away, tears just starting to form.
0027_The_Big_Lebowski_00.36.30.856-00.36.33.263 	walter tumbles onto the shoulder and--rat-tat-tat-tat!--muzzle flashes tear open the wrapping paper.
0027_The_Big_Lebowski_01.43.34.625-01.43.35.389 	with a tearing sound his head and dieter's separate.
0028_The_Crying_Game_01.39.49.701-01.39.50.814 	other goons tear from the car.
0032_The_Princess_Bride_00.38.46.152-00.39.05.348 	a moment later, she too is falling, spinning and twisting, crashing and torn, cartwheeling down toward what is left of her beloved.
0032_The_Princess_Bride_00.39.28.574-00.39.29.621 	buttercup, bruised and torn, as westley crawls slowly toward her.
0033_Amadeus_01.43.30.539-01.43.31.710 	he goes on tearing the pages determinedly.
0033_Amadeus_01.47.33.897-01.47.34.893 	cu, salieri in his box, tears on his cheeks.
0038_Psycho_00.46.14.975-00.46.35.435 	after a moment she tears the page out of the notebook and, rising, begins to rip it into small pieces.
0043_Thelma_and_Luise_01.47.18.005-01.47.19.237 	they lurch into reverse then screech forward as they tear off down the road.
0050_Indiana_Jones_and_the_last_crusade_00.06.36.524-00.06.38.435 	several bolts tear free.
0050_Indiana_Jones_and_the_last_crusade_00.32.25.387-00.32.31.373 	indy reaches up and tears a piece of cloth from one of the skeletons, which breaks apart and falls into the oil-slick water.
0051_Men_in_black_00.05.37.198-00.05.39.501 	the others pile into the rear and they tear out of there.
0051_Men_in_black_01.17.29.897-01.17.31.798 	balled up on the back of his neck, he peers out the window as they tear through the tunnel, zooming over the bottlenecked traffic underneath.
0051_Men_in_black_01.22.39.036-01.22.40.484 	the bug snorts it back, tearing them from jay and kay's grasp, then swallowing them.
1003_How_to_Lose_Friends_and_Alienate_People_00.42.25.148-00.42.27.011 	he tears the tape from his face and hides under his desk.
1005_Signs_01.24.06.137-01.24.10.213 	bo goes to sit on merrill's lap, tears welling in her eyes.
