0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.26.19.368-01.26.21.349 	beneath a helmet and mail hood is eowyn, disguised as a man!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.26.45.972-02.26.49.767 	frodo and sam, still disguised in the orc armour, slide down scree bank and land on the road below.
0050_Indiana_Jones_and_the_last_crusade_00.47.44.385-00.47.47.383 	crashing through the wooden shutters as a clap of thunder disguises the noise.
1012_Unbreakable_00.33.54.660-00.34.01.326 	the personalities involved disguised by their helmets and face guards, until he comes to a picture of an overturned car.
1027_Les_Miserables_01.48.40.743-01.48.47.223 	disguised as a soldier, he makes his way to the barricade where students keep watch.
1029_Pride_And_Prejudice_Disk_One_00.39.05.669-00.39.15.239 	he disguises a look of amusement, then steps aside for her to pass and follows her, as she strides towards the hall.
1029_Pride_And_Prejudice_Disk_One_01.38.15.538-01.38.18.837 	inside, the bingley sisters look at mary with barely disguised contempt.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.01.36.864-00.01.39.054 	sherlock holmes, disguised as an oriental man, lies on a mattress in the street smoking a pipe.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.03.47.683-01.03.51.350 	sacks are used as counterweights and a door handle is disguised as a coat peg.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.11.52.683-01.11.56.349 	holmes, disguised as an old man, is sitting at a nearby table, listening.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.10.51.017-00.10.59.484 	she joins harry and ron, who is disguised as a long-haired, bearded death eater.
2027_Les_Miserables_01.11.20.220-01.11.20.768 	we cut further down the street to an alleyway where the thenardiers, heavily disguised, are waiting for valjean's approach with their gang of crooks, babet, brujon, clacquesous, montparnasse.
2027_Les_Miserables_01.34.03.675-01.34.07.069 	monsieur and madame thenardier are in the ground-floor bar, slyly watching a student smuggling some rifles up the stairs disguised in a piece of cloth.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.04.00.025-01.04.02.418 	harry's donned hermione's scarf and ron's hat to disguise himself.
2054_Harry_Potter_and_the_prisoner_of_azkaban_02.06.35.768-02.06.38.601 	unable to disguise his shock at lupin's appearance.
