0004_Charade_00.05.50.616-00.05.51.523 	CAMERA PANS down to include JEAN-LOUIS, his hand held firmly by the man in the mask.
0005_Chinatown_01.43.48.279-01.43.51.967 	VIEW WIDENS TO INCLUDE Escobar, Gittes, and two Plain clothesmen, standing and staring at the empty pipe as if they expect it to talk.
0009_Forrest_Gump_00.05.46.334-00.05.50.940 	The General is in full Ku Klux Klan garb, including his horse.
0014_Ist_das_Leben_nicht_schoen_00.35.52.053-00.35.53.259 	The group, including Ruth Dakin.
0017_Pianist_00.05.13.204-00.05.15.444 	On the sidewalk of the street, with its buildings in ruins, smoke still rising, stand onlookers, including Szpilman and Henryk, and a little behind them, Father, craning to see.
0017_Pianist_00.19.35.726-00.19.37.498 	Jewish policemen and German soldiers are clearing a space, shoving Jews out of the way, including Szpilman, Henryk and the nervous man.
0017_Pianist_00.41.43.780-00.41.49.130 	People, including the Szpilmans, are dressing or dressed, packing up their belongings.
0021_Rear_Window_00.43.33.857-00.43.35.857 	THE CAMERA CONTINUES ITS PAN to the left, to include the couple who sleep on the fire escape in the hot weather.
0026_The_Big_Fish_00.08.29.771-00.08.30.687 	Most of the PASSENGERS are asleep, including Josephine.
0026_The_Big_Fish_01.53.11.830-01.53.13.801 	Amos Calloway is here with the circus folk, including Mr. Soggybottom.
0033_Amadeus_00.22.34.213-00.22.35.457 	He smiles and bows uneasily, as they include him in the small ovation.
0033_Amadeus_01.32.00.263-01.32.02.323 	Listening to him is a sizable audience, including the Emperor, flanked by Strack and Von Swieten.
0049_Hannah_and_her_sisters_01.10.20.384-01.10.27.124 	A group of theater executives, including the producer, the director, and two assistants, sit in a cluster in the empty audience, talking; they look up at the offscreen Holly, who is auditioning on the stage.
0050_Indiana_Jones_and_the_last_crusade_00.08.42.150-00.08.49.618 	The men, including Roscoe, pull Indy through the hole in the roof.
1001_Flight_01.21.17.864-01.21.21.410 	The majority in the room lift their hands, including Nicole.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.00.01.227-01.00.05.710 	Ron is kitted out in his Quidditch gear, including his leather helmet.
1010_TITANIC_00.33.24.122-00.33.42.193 	while ruth, rose, and cal lunch with several guests including molly brown and a brown-haired man with a mustache.
1010_TITANIC_01.55.07.176-01.55.08.359 	the passengers on deck, including rose and cal, gaze up.
1019_Confessions_Of_A_Shopaholic_00.31.44.865-00.31.52.202 	at home, her head shoveled, she sits contemplating the mountain of shopping bags in front of her, including the gucci boots.
