0009_Forrest_Gump_00.59.27.466-00.59.31.051 	The balls at land in a bed pan positioned on a chair.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.33.22.137-01.33.24.281 	MIGHTY WOODEN CATAPULTS positioned within the walls of MINAS TIRITH are fired.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.34.49.379-01.34.57.044 	MIGHTY WOODEN CATAPULTS positioned within the walls of MINAS TIRITH are fired!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.27.40.359-02.27.45.938 	He positions his troops about half a mile from the.
0030_The_Hustler_00.15.47.071-00.15.50.042 	Players drag their chairs across the floor and position them around the main table.
1001_Flight_00.15.58.130-00.16.08.926 	She positions the needle and injects.
1005_Signs_01.00.48.057-01.00.56.410 	Glancing up, he reaches forward and positions the knife at a downward sloping angle at the base of the door.
1006_Slumdog_Millionaire_00.01.48.295-00.01.53.813 	Jamal and the host walk to their chairs positioned at the center of the studio stage.
1014_2012_00.22.22.617-00.22.24.454 	big tripods have been positioned within the cordon.
1019_Confessions_Of_A_Shopaholic_01.04.39.226-01.04.44.009 	as he positions himself on the other side of the lift, she steals a look at him.
1028_No_Reservations_00.38.55.380-00.38.58.614 	kate picks up a delicate spun-sugar cage, and gently positions it over a white chocolate mousse on a bed of sliced strawberries.
1047_Defiance_01.49.59.717-01.50.01.976 	asael glance his sideways and sees chaya positioning her rifle.
1058_The_Damned_united_00.15.43.751-00.15.52.999 	blowing dust off, he reverentially positions the bottle to the right of the glasses, then turns the label to face peter by the door.
1058_The_Damned_united_00.15.43.751-00.15.52.999 	blowing dust off, he reverentially positions the bottle to the right of the glasses, then turns the label to face peter by the door.
