0006_Clerks_01.27.29.197-01.27.31.452 	randal gets up, leaving dante to contemplate his strong words alone.
0016_O_Brother_Where_Art_Thou_00.07.36.618-00.07.40.198 	the old man pumps - reek-a reek-a reek-a - as all contemplate his words.
0023_THE_BUTTERFLY_EFFECT_01.06.48.661-01.06.52.003 	evan sits in silence for a moment, contemplating this.
0033_Amadeus_00.47.17.018-00.47.20.728 	the emperor contemplates her prone body and steps back a pace.
0033_Amadeus_02.21.57.072-02.21.58.505 	salieri contemplates them both.
0043_Thelma_and_Luise_00.14.56.826-00.15.00.649 	they both drift off momentarily, contemplating their domestic problems, until the waitress comes over.
1004_Juno_00.00.35.642-00.00.45.231 	a teenage girl with short brown hair tied back in a small ponytail swigs from a little size plastic bottle as she contemplates an armchair standing on the lawn, in front of her.
1004_Juno_00.32.40.190-00.32.47.330 	she wonders into vanessa's en suite bathroom and contemplates herself in the large mirror above the basin, smoothing the front of her hair.
1005_Signs_01.00.37.190-01.00.40.919 	graham contemplates the knife for a moment the reaches out and grabs it.
1009_Spider-Man3_01.06.58.801-01.06.59.950 	he contemplates the black spider suit inside.
1019_Confessions_Of_A_Shopaholic_00.31.44.865-00.31.52.202 	at home, her head shoveled, she sits contemplating the mountain of shopping bags in front of her, including the gucci boots.
1028_No_Reservations_00.05.29.345-00.05.31.355 	holding two plates of food, kate turns around, her lips pursed as she contemplates their response.
1047_Defiance_01.19.10.846-01.19.14.096 	as tuvia contemplates the cabin full of sick people, lilka comes in.
1053_Harry_Potter_and_the_philosophers_stone_01.25.58.940-01.26.02.339 	ron contemplates the board.
1053_Harry_Potter_and_the_philosophers_stone_02.03.49.325-02.03.50.390 	ron contemplates his next move.
2004_Juno_00.06.15.331-00.06.31.140 	she stops and loops the super rope over a low-hanging tree branch, contemplating how to fashion a noose.
2004_Juno_01.15.13.663-01.15.19.145 	juno lays on the hood of her previa, contemplating her future.
2026_Legion_00.07.49.352-00.07.51.903 	a beat as jeep contemplates the sign.
2026_Legion_01.18.15.768-01.18.19.294 	michael lets go of jeep's hand and turns away to face gabriel, leaving jeep to contemplate those final words.
2054_Harry_Potter_and_the_prisoner_of_azkaban_02.02.48.926-02.02.51.603 	hermione contemplates this.
