0020_Raising_Arizona_00.29.01.778-00.29.02.358 	we are rocketing toward her.
0020_Raising_Arizona_00.49.17.269-00.49.17.944 	the carton rockets straight at the camera.
0020_Raising_Arizona_00.49.19.216-00.49.21.678 	the force makes him stumble one fatal step backwards - into the back aisle - where: crash - he is hit broadside and bowled over by a rocketing shopping cart, propelled by an hysterically screaming shopper.
0020_Raising_Arizona_01.15.24.354-01.15.25.319 	the camera is locked down on the roof of the rocketing squad car, looking past its flashing gumballs.
0050_Indiana_Jones_and_the_last_crusade_01.19.30.657-01.19.34.088 	the flaming fuselage continues to rocket through the tunnel like a bullet down the muzzle of a gun.
0051_Men_in_black_01.17.18.664-01.17.19.133 	as the ltd rockets toward the traffic jam up ahead, it begins to evolve, its shape actually changing.
1014_2012_01.04.33.097-01.04.36.650 	the plane rockets from the swirling cloud and flies away from the fireballs.
1051_Harry_Potter_and_the_goblet_of_fire_01.37.50.804-01.38.02.382 	he rockets out of the water onto the landing stage, gasping for air.
2026_Legion_01.11.22.763-01.11.26.548 	charlie pulls her legs in close then rockets them out at the boy's chest.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.09.47.654-00.09.51.032 	ernie rockets away and the beds -- as one -- slide six inches to the rear.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.10.51.359-00.10.51.975 	the bus rockets forward once more.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.12.32.940-00.12.36.382 	as the knight bus rockets off, tom and harry are revealed, harry glances up, reads the sign above: the leaky cauldron.
2054_Harry_Potter_and_the_prisoner_of_azkaban_02.02.52.016-02.02.52.897 	the cell door rockets to the sky.
