0006_Clerks_00.10.31.665-00.10.32.178 	he quickly flees.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.53.54.783-00.53.57.709 	faramir and a few survivors flee west osgiliath, desperately riding toward minas tirith.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.32.59.951-01.33.02.515 	gandalf gallops down the winding labyrinthine streets on shadowfax against the flow of fleeing soldiers.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.56.27.580-01.56.41.600 	as orc run through the streets, men, women, and children flee.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.03.27.895-02.03.35.829 	denethor's death plunge to the rohirrim gaining the upper hand -- vast numbers of orcs are slain, or are fleeing.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.45.46.913-02.46.42.285 	the orcs are fleeing in all directions.
0043_Thelma_and_Luise_01.35.20.707-01.35.25.067 	louise looks as if she is looking for a way to flee.
0050_Indiana_Jones_and_the_last_crusade_00.35.37.627-00.35.40.069 	this is followed by thousands of rats fleeing from around the corner of the narrow passageway, stampeding toward elsa and indy -- shrieking and squealing as they approach.
1006_Slumdog_Millionaire_00.18.18.443-00.18.26.462 	jamal and salim flee down an alley and come face to face with a young boy dressed as the hindu god rama.
1006_Slumdog_Millionaire_00.58.12.055-00.58.14.634 	the three children flee the scene.
1019_Confessions_Of_A_Shopaholic_01.05.48.603-01.05.50.550 	she flees.
1023_Horrible_Bosses_01.05.14.523-01.05.19.873 	he ducks down in his car as harken flees the scene in his 4x4.
1030_Public_Enemies_01.27.50.369-01.27.55.036 	inside baby face flees past homer and leaps through a bay window!
1033_Sherlock_Holmes_A_Game_of_Shadows_00.29.50.233-00.29.54.571 	the corsac tries to flee, but holmes yanks him back with the rope connecting them.
1034_Super_8_00.18.02.209-00.18.07.105 	the kids flee frantically through the debris as explosions mushroom around them.
1034_Super_8_01.26.47.382-01.26.54.285 	soldiers flee from their own malfunctioning machines which randomly spray shells, missiles, and bullets around them.
1034_Super_8_01.26.59.532-01.27.02.199 	the boys flee through a playground from an out of control tank.
1034_Super_8_01.35.19.334-01.35.24.622 	the alien runs along the dark tunnel in pursuit of cary, who flees up ahead of it.
1034_Super_8_01.36.02.187-01.36.05.325 	the others flee.
1035_The_Adjustment_Bureau_01.35.02.658-01.35.07.735 	as they flee, three more intervention officers come out from two doors ahead.
1037_The_Curious_Case_Of_Benjamin_Button_02.04.00.773-02.04.10.030 	they remained seated at the picnic branch as people flee from an advancing storm.
1047_Defiance_00.44.50.394-00.45.00.718 	zus and tuvia, their guns up and ready, urge the men and women to flee.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.21.22.816-00.21.26.218 	guards and goblins flee the flames.
