0005_Chinatown_00.30.51.650-00.30.52.710 	the chain link fence with its keep out sign is open and there are people milling around.
0011_Gandhi_03.01.08.701-03.01.16.729 	she shoots him against the door -- the crowd milling distantly, waiting -- then she lowers her camera.
0020_Raising_Arizona_00.30.43.349-00.30.46.264 	the room is filled with policemen milling about in several different uniforms: local police, state troopers, plainclothes detectives.
0020_Raising_Arizona_00.32.47.163-00.32.48.684 	we are pulling back to reveal the feet-the shiny black patent leather shoes and blue pants cuffs - becoming quickly spattered - of several policemen milling about the hole.
0020_Raising_Arizona_00.33.08.101-00.33.08.255 	the dogs milling around the hole also react, snapping to attention, a split second after the biker.
0031_The_Lost_Weekend_01.14.35.416-01.14.35.895 	sitting on them and milling aimlessly around, are some thirty alcoholics.
1007_Spider-Man1_00.43.13.729-00.43.15.811 	peter sees a crowd of people milling around on the sidewalk.
1029_Pride_And_Prejudice_Disk_One_00.12.15.276-00.12.23.205 	whilst people are milling around on the main street, a grand carriage pulls up outside the assembly rooms, led by men bearing torches.
1037_The_Curious_Case_Of_Benjamin_Button_01.14.48.430-01.14.54.141 	when he wakes, people are milling around the lobby.
1043_Vantage_Point_01.22.55.985-01.23.01.557 	the helicopter rises off the road as a crowd mills around the upturned ambulance at the underpass.
1058_The_Damned_united_00.28.50.000-00.28.54.000 	jimmy and brian stroll towards the team milling about on the training pitch.
1062_Day_the_Earth_stood_still_00.58.52.008-00.58.56.068 	video footage shows people milling around a sphere in south america.
