0004_Charade_01.40.45.246-01.40.47.188 	Featuring ADAM as he hurries from the car.
0004_Charade_01.51.44.342-01.51.46.390 	Featuring the door as REGGIE enters.
0004_Charade_01.51.47.108-01.51.47.699 	Featuring the desk.
0011_Gandhi_01.41.05.166-01.41.09.739 	Featuring the two British soldiers -- later -- on the edge of the crowd, staring off, their faces now brightly lit by darting flames.
0011_Gandhi_01.45.06.355-01.45.11.704 	Featuring the faces of six Indian police constables as a torch light parade passes them.
0011_Gandhi_01.56.20.876-01.56.22.097 	Featuring two English court reporters.
0011_Gandhi_01.56.44.298-01.56.45.904 	Featuring the reporters shrugging incredulously to each other, as they sit once more.
0011_Gandhi_02.00.29.789-02.00.41.358 	Featuring Walker, now too entranced by the ceremony, by the depth of layered emotions in Gandhi and Ba's voices and eyes to take any notes.
0011_Gandhi_02.01.40.265-02.01.42.264 	Featuring Gandhi, sitting on a promontory watching the sunrise in solemn meditation.
0011_Gandhi_02.03.52.958-02.04.07.409 	Featuring Gandhi staring out to sea, his mind locked in reflection, and suddenly his head lifts, his eyes become alert, he is caught by some excitement which he weighs for a moment, then he stands, his manner suddenly tingling with optimism.
0011_Gandhi_02.36.54.624-02.36.56.975 	Featuring Godse waving a black flag and shouting.
0011_Gandhi_02.54.03.379-02.54.09.007 	Featuring the Muslim leader Suhrawardy, leaning against a wall, watching an action out of shot with evident tension.
