0002_As_Good_As_It_Gets_01.49.31.452-01.49.34.951 	he struggles with the cast, and then decides to struggle no more.
0012_Get_Shorty_00.43.54.187-00.43.58.163 	karen smiles, decides to wait a moment.
0021_Rear_Window_00.25.13.398-00.25.16.498 	he starts to answer her back, but decides better of it, and instead, leaves the room.
0026_The_Big_Fish_01.25.05.736-01.25.07.331 	he decides he better go.
0038_Psycho_00.31.15.067-00.31.34.767 	she glances down into it, pauses, drops the dress, reaches into the handbag, takes out the money-filled envelope, stares at it, almost with regret, filled contemplates hiding it, decides to, starts looking for a reasonable hiding place.
0043_Thelma_and_Luise_00.06.39.711-00.06.41.739 	reveal thelma, standing in front of a closet, trying to decide what else to bring, as if she's forgotten something.
0043_Thelma_and_Luise_00.07.00.097-00.07.02.691 	she decides not to and closes the suitcase.
0043_Thelma_and_Luise_00.41.50.979-00.41.58.435 	the guy does seem really nice and thelma is really frustrated that louise wouldn't give him a ride, but decides not to confront her.
0050_Indiana_Jones_and_the_last_crusade_00.47.05.681-00.47.10.252 	he studies the situation for a moment, then decides to enter one of the other doors.
0051_Men_in_black_00.12.36.226-00.12.37.880 	he decides.
1017_Bad_Santa_00.45.21.341-00.45.22.464 	having decided it's not too bad, she notes it down on her shopping list.
1044_Pride_And_Prejudice_Disk_Two_00.49.10.167-00.49.12.355 	he pauses for a moment, trying to decide which direction to go.
2012_Unbreakable_01.22.37.746-01.22.45.350 	david lets him get about twenty feet away before deciding to follow him.
2034_Super_8_01.04.19.605-01.04.22.081 	alive is still looking back at the car -- so she doesn't see the shape that is coming behind her -- and just as she decides: i'm not going back, she turns to begin riding on.
2040_The_Ugly_Truth_01.10.43.347-01.10.46.833 	mike sighs, deciding to level with her.
