0014_Ist_das_Leben_nicht_schoen_02.03.37.659-02.03.40.522 	George comes dashing in the front door.
0017_Pianist_00.56.23.482-00.56.27.958 	He jumps down, is about to dash towards Janina, but stops dead.
0032_The_Princess_Bride_01.23.16.922-01.23.19.311 	And he's running, dashing through corridors and as he glances back.
0033_Amadeus_01.13.16.802-01.13.21.831 	The hall is full of dogs, at least five, all jumping up and dashing about and making a terrific racket.
1010_TITANIC_00.26.18.643-00.26.21.430 	carrying sacks over their shoulder, jack and, fabrizio dashed into the ship.
1010_TITANIC_00.30.05.567-00.30.11.173 	men dashed along catwalks as turning gears pumped huge pistons up and down.
1010_TITANIC_01.31.21.808-01.31.22.365 	they dash into the elevator.
1059_The_devil_wears_prada_00.02.58.568-00.03.03.457 	andi makes her way down a busy city street, as smartly dressed businesspeople dash this way and that.
1059_The_devil_wears_prada_00.02.58.568-00.03.03.457 	andi makes her way down a busy city street, as smartly dressed businesspeople dash this way and that.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.49.01.702-00.49.10.052 	the students dash to the landing, where all the paintings whisper fearfully.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.30.28.782-01.30.36.552 	they dash to the stairs.
