0004_Charade_01.48.52.083-01.48.52.237 	it is marked c-4.
0004_Charade_01.48.52.393-01.48.54.061 	he looks at the lever marked d-4.
0016_O_Brother_Where_Art_Thou_00.43.12.464-00.43.18.463 	the unearthly singing, full volume here, comes from the three women, beautiful but marked by an otherworldly langor as they dunk clothes in the stream and beat them against rocks.
0016_O_Brother_Where_Art_Thou_00.44.21.649-00.44.52.591 	none of the women respond but, as all continue to sing, one brings a jug marked with three xes to everett.
0020_Raising_Arizona_00.00.32.732-00.00.34.534 	the hatch marks on the wall behind him are apparently height markers.
0020_Raising_Arizona_01.28.20.571-01.28.21.642 	we have been isolating in on one of the children peeling the wrappings off a package marked to nathan jr.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.19.23.186-00.19.26.414 	dark clouds mark the sky.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.12.51.753-01.12.53.159 	gimli's eyes travel to a row of ancient standing stones that mark the entrance to a road leading away from the encampment and into the mountain.
0041_The_Sixth_Sense_01.09.25.180-01.09.31.296 	malcolm's eyes scan the room and come to a stop on a box marked with the label.
0051_Men_in_black_00.30.09.471-00.30.13.120 	giant models of rockets mark the fair's theme of space travel; most prominent in the construction are two tall towers, with the flying saucers now mounted at the top of each.
1004_Juno_00.43.43.790-00.43.45.370 	she shows mark the image.
1011_The_Help_00.07.15.976-00.07.26.293 	at her home, a well groomed brunette in a flowery, sleeveless, '60s style dress pulls out a length of toilet paper and marks it with dots.
1011_The_Help_01.53.05.611-01.53.11.097 	her fingers trace the lines on the door where she had marked skeeter and rachel's heights as they grew.
1029_Pride_And_Prejudice_Disk_One_00.09.49.573-00.09.53.574 	he marks up a book, puts his quill back in its pot,
1035_The_Adjustment_Bureau_00.39.02.826-00.39.07.493 	he opens a door marked mr. richardson and finds the veteran officer at his desk.
1035_The_Adjustment_Bureau_00.51.51.174-00.51.52.210 	later, he stands before double doors marked mr. donaldson.
1049_Harry_Potter_and_the_chamber_of_secrets_00.53.38.543-00.53.43.565 	marking an opponent, harry swoops around the back of a tower.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.26.20.270-01.26.21.721 	hermione stops at a grave marked with a horizontal slab.
1053_Harry_Potter_and_the_philosophers_stone_00.22.54.701-00.22.58.955 	he hands over an envelope marked top secrete.
1053_Harry_Potter_and_the_philosophers_stone_00.35.35.000-00.35.51.450 	harry takes a bean out of his mouth then opens a box marked chocolate frog.
1058_The_Damned_united_00.13.12.000-00.13.16.691 	the groundsman trudges along, marking white lines.
2012_Unbreakable_00.41.49.812-00.41.52.942 	the man in the army jacket turns as he reaches a subway entrance that marks the end of the parking lot.
2026_Legion_00.07.26.141-00.07.34.029 	a single strand of colored christmas lights dot the trailers roof lines, marking the season.
