0021_Rear_Window_01.38.25.840-01.38.26.350 	he lowers the long-focus lens and he is sweating with anxiety.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.46.22.896-00.46.24.939 	he is drawing the ring out of his pocket, with trembling hands.his face fevered and sweating as if in the grip of some terrible internal struggle.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.59.50.464-00.59.52.047 	saruman stands in rain looking out into the dark night.the orc overseer sidles up to him, axe in hand, sweating with exertion.
0028_The_Crying_Game_00.44.45.389-00.44.46.870 	he is sweating.
0028_The_Crying_Game_01.23.05.334-01.23.06.418 	fergus is sweating.
0053_Rendezvous_mit_Joe_Black_00.30.56.852-00.31.25.455 	the young man steps closer to parrish, his face is inches from a shaking, sweating parrish's face, the young man daring parrish to identify him.
1006_Slumdog_Millionaire_01.04.30.052-01.04.35.997 	back in the police station, the inspector and srinivas stare at the sweating jamal.
1017_Bad_Santa_00.06.18.585-00.06.22.669 	the snowman pulls his head off, revealing a santa's profusely sweating little helper.
1030_Public_Enemies_01.34.05.278-01.34.10.906 	red leans, sweating and bloody, in the corner of the back seat.
1046_Australia_01.19.29.021-01.19.33.471 	sweating in the oppressive darwin heat, he looks up as the drove thunders into town.
1052_Harry_Potter_and_the_order_of_phoenix_00.07.53.850-00.07.57.429 	cedric's face looms out of the darkness sweating with fear.
2017_Bad_Santa_00.16.35.726-00.16.45.519 	through the heat ripples rising off the pavement two mirage- like figures cross the infinite asphalt of the saguaro square mall parking lot -- willie and marcus in santa and elf regalia, sweating and panting in the heat.
