0007_DIE_NACHT_DES_JAEGERS_00.05.51.904-00.05.52.897 	ben harper half-falls out of the far door, his shoulder blood- stained, his eyes wild.
0011_Gandhi_00.03.54.064-00.03.56.859 	gandhi's white shawl is stained with blood as he falls.
0011_Gandhi_00.15.33.972-00.15.37.908 	the sergeant draws a breath, grasping the club, but he bites his lip as he sees gandhi lift his head feebly, his shaking hands, stained with his own blood, groping for another card.
0019_Pulp_Fiction_01.57.40.701-01.57.46.292 	when vincent is finished drying his hands, the towel is stained with red.
0020_Raising_Arizona_00.06.32.433-00.06.35.394 	hi is working the drill press, wearing goggles and sweat- stained overalls.
0021_Rear_Window_00.06.26.506-00.06.26.982 	his shirt is stained with sweat underneath.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.52.07.586-00.52.14.680 	sam indicates a brooding stranger who sits alone at a table in the far corner, smoking a curiously carved long stemmed pipe, peering from beneath a travel stained cowl with gleaming eyes.
0027_The_Big_Lebowski_01.35.12.294-01.35.13.494 	dried rust-colored blood stains the tip of the bandage.
0031_The_Lost_Weekend_01.03.03.552-01.03.05.015 	they barely stain the bottom of the glass.
0049_Hannah_and_her_sisters_01.35.41.098-01.35.43.959 	the film then moves to the outside of a charming glass and stained wood caffe.
0050_Indiana_Jones_and_the_last_crusade_01.54.49.592-01.54.53.278 	finally indy pours the water over the wound and everyone watches in astonishment as the wound and the blood stain disappear before their eyes.
1008_Spider-Man2_00.25.39.188-00.25.40.701 	the white is now stained with blue and red from the costume.
1027_Les_Miserables_00.11.05.901-00.11.08.162 	blood stains his temple where he was hit.
1031_Quantum_of_Solace_00.15.04.899-00.15.12.943 	blood stains the cellar floor, but the prisoner, mr. white, is gone.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.03.53.683-01.03.57.445 	the workmen open a bottle of wine and some is spilled, staining the floor.
1034_Super_8_00.20.37.878-00.20.41.175 	joe turns back to the blood stained wreckage.
1037_The_Curious_Case_Of_Benjamin_Button_01.22.51.249-01.22.54.304 	benjamin, his face stained with blood, stares at his lifeless skipper.
1046_Australia_00.03.01.000-00.03.08.811 	he floats lifelessly over where the boy is lying, his blood staining the water.
1049_Harry_Potter_and_the_chamber_of_secrets_02.31.09.648-02.31.23.602 	through the magnificent stained glass windows of the great hall of hogwarts school, a glow of soft candlelight shines out into the night.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.05.04.404-01.05.09.505 	her hands stained with blood, hermione sighs with relief.
2005_Signs_00.54.35.312-00.54.42.394 	graham's eyes gently move back to ray and drift down to the two blood stained area on his shirt.
2012_Unbreakable_00.42.54.209-00.42.58.524 	he comes to a stop in a pile on the dirty gum stained floor of the subway landing.
2017_Bad_Santa_01.32.43.054-01.32.57.844 	we are fading in on a shelf in the kid's bedroom where the stuffed elephant sits, in a place of honor, its fur indeed stiff and stained with dried blood.
2026_Legion_00.10.35.105-00.10.37.027 	he deftly rolls an engraved silver zippo back and forth over the nicotine stained fingers of his right hand.
