0003_CASABLANCA_00.04.04.431-00.04.11.604 	the rear doors are opened and people stream out.
0005_Chinatown_01.35.45.606-01.35.48.060 	he walks over to the window where morning light is streaming in.
0007_DIE_NACHT_DES_JAEGERS_00.43.38.309-00.43.47.124 	we pan, with slowly streaming weeds, and bring in willa in close profile; the current, coming from behind her, drifts her long hair across her throat.
0011_Gandhi_01.08.01.219-01.08.08.556 	a car is pulling hurriedly in near the clubhouse, an officer in it, and people are streaming toward it.
0013_Halloween_01.25.52.545-01.25.53.456 	in f.g. sits laurie, slumped against the door frame, staring out at nothing, tears streaming down her face.
0016_O_Brother_Where_Art_Thou_00.18.18.056-00.18.21.139 	behind him a line of robed singers lengthens steadily as people stream out of the woods.
0016_O_Brother_Where_Art_Thou_01.31.44.525-01.31.46.290 	people stream out of the concert into the warm summer night.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.47.14.227-02.47.24.105 	frodo and sam look at each other, out of breath, tears and water streaming down both their faces.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.47.34.536-02.47.35.054 	the volcano is erupting, fire belches from it's riven summit, sending lava streaming down it's sides.
0028_The_Crying_Game_01.24.26.120-01.24.27.432 	there are tears streaming down her face.
0028_The_Crying_Game_01.27.00.821-01.27.06.381 	tears stream down her cheeks.
0028_The_Crying_Game_01.45.44.526-01.45.51.001 	fade up to reveal a large interior, with light streaming in the windows.
0029_The_Graduate_00.56.13.704-00.56.20.449 	his hair streaming up, his eyes open.
0031_The_Lost_Weekend_00.29.57.738-00.30.01.088 	a crowd of people is streaming into the building.
0043_Thelma_and_Luise_01.57.20.860-01.57.22.996 	louise has tears streaming down her face as she realizes there is absolutely no escape.
0051_Men_in_black_01.10.08.490-01.10.10.817 	half a dozen cockroaches stream out of his sleeve.
1009_Spider-Man3_01.44.18.708-01.44.31.057 	later in his room, peter is in the shower with the water streaming over his tightly closed eyes.
1010_TITANIC_00.37.28.754-00.37.41.067 	tears streaming down her face, rose runs onto the poop deck at the rear of the ship.
1010_TITANIC_01.58.10.377-01.58.15.925 	water floods a staircase and streams down a long corridor leading to the office.
1010_TITANIC_02.40.55.780-02.40.58.598 	blood streaming down his forehead, lovejoy grips a side railing as it splits apart
1012_Unbreakable_00.53.33.713-00.53.36.379 	the crowd streams past him, laughing and smiling.
1012_Unbreakable_01.11.03.793-01.11.08.223 	she turns toward the door and sees the rain streaming down the window.
1030_Public_Enemies_02.10.32.121-02.10.33.975 	she looks down and sniffles, letting tears stream down her cheeks.
1034_Super_8_01.39.20.686-01.39.45.077 	joe, alice and cary pick themselves up and watch as a steady stream of metallic bits and pieces stream up towards the water tower and are melded into the ever growing structure on top of it.
1046_Australia_01.23.26.386-01.23.34.036 	the cattle are streaming onto a ship.
1046_Australia_02.29.29.358-02.29.32.290 	fletcher grimly watches the boys, streaming towards the trucks.
1047_Defiance_01.00.53.980-01.01.01.225 	under a cover of darkness, as the ghetto people stream out of a house tearing off their yellow stars.
1049_Harry_Potter_and_the_chamber_of_secrets_00.54.04.366-00.54.06.107 	their green cloaks streaming behind them.
1051_Harry_Potter_and_the_goblet_of_fire_00.08.29.648-00.08.32.786 	green and white smoke streaming from their broomsticks.
1052_Harry_Potter_and_the_order_of_phoenix_00.27.50.924-00.27.59.017 	as evening falls, the hogwarts express speeds along the coast, a plume of white smoke streaming from the funnel.
1058_The_Damned_united_00.41.18.853-00.41.34.000 	he bows his head against the wall, then paces in the light streaming through the windows, his hands on his head.
2012_Unbreakable_01.01.32.243-01.01.34.480 	joseph looks up, tears streaming down his cheeks.
2026_Legion_00.58.36.985-00.58.43.940 	tears stream down his face.
2034_Super_8_01.41.41.302-01.41.44.247 	and joe looks at his mother -- and in this moment, she at him and jack's eyes suddenly well with tears -- alice, too, tears streaming down her face and finally jack reaches out -- and puts his hand on his son's shoulder -- which was all joe needed, really.
