0004_Charade_00.09.49.010-00.09.51.806 	Satisfied, he recovers the foot, then moves to the other end to uncover the head.
0011_Gandhi_01.56.08.577-01.56.10.064 	He has recovered a bit more, but he still moves slowly.
0016_O_Brother_Where_Art_Thou_01.35.22.258-01.35.25.076 	The goons recover their leering grins and resume their happy task.
0017_Pianist_01.10.20.582-01.10.24.072 	He and his comrade find this hilarious; recovering from his laughter.
0021_Rear_Window_00.26.50.400-00.26.52.863 	A faint shade of disappointment is seen on Lisa's face; but she quickly recovers and looks down at the table.
0021_Rear_Window_01.13.52.613-01.13.53.213 	Doyle stares after her, ignoring her remark, still not recovered from the fist sight of her attractiveness.
1010_TITANIC_02.59.50.160-02.59.50.728 	later, titanic survivors recover on one of the ships lower decks as nurses and crewmen flit amongst them.
1010_TITANIC_03.02.31.348-03.02.38.621 	at the surface, crewmen work to recover the submersibles.
1024_Identity_Thief_00.57.56.406-00.58.01.395 	sandy recovers on the other side, facing oncoming traffic.
1031_Quantum_of_Solace_00.19.01.738-00.19.04.311 	the man recovers and swings again.
1034_Super_8_01.08.59.420-01.09.04.813 	they pass the military container lorries carrying the white cubes recovered from the crash site on their way into town.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.59.00.374-01.59.02.392 	he recovers and runs on.
2026_Legion_00.01.54.815-00.01.57.979 	a beat then slowly he climbs to his feet, recovering from what seems to have been quite a fall.
2026_Legion_00.01.54.815-00.01.57.979 	a beat then slowly he climbs to his feet, recovering from what seems to have been quite a fall.
