0004_Charade_00.49.20.124-00.49.20.523 	it is already occupied by a middle-aged.
0004_Charade_01.46.03.376-01.46.08.652 	seeing carson otherwise occupied, she turns and runs toward the open stage door of the com die fran aise behind her.
0021_Rear_Window_00.43.50.757-00.43.53.757 	the camera drops down to the apartment below, occupied by the elderly lady with the hearing aid.
0031_The_Lost_Weekend_00.19.55.833-00.19.56.267 	the place is about half filled -- eight customers at the bar, five tables occupied.
0038_Psycho_00.04.32.144-00.04.42.420 	throughout remainder of this scene, they occupy themselves with dressing, hair-combing, etc.
0053_Rendezvous_mit_Joe_Black_00.46.14.944-00.46.29.912 	joe turns to the towels, but one hand is occupied with the spoonful of peanut butter, he shifts it to the other hand, can't manage the huge turkish towel one-handed, now implants the spoon in his mouth, lifts the towel with both hands and presents it to susan.
1015_27_Dresses_01.28.03.244-01.28.08.101 	she idly toys with a flower in one of the many vases which occupy every available surface.
1030_Public_Enemies_00.35.53.450-00.35.55.712 	open suitcases occupy every inch, filled to the brim with neatly packed clothes.
1035_The_Adjustment_Bureau_00.36.15.569-00.36.17.486 	his hopeful eyes find the empty pair of seats occupied three years earlier by elise.
1038_The_Great_Gatsby_02.09.44.440-02.09.50.412 	the art deco screen slowly recedes occupying the black space.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.09.16.585-00.09.20.062 	on the lower deck is a row of beds, one of which is occupied.
1057_Seven_pounds_00.21.40.815-00.21.47.170 	most of the tables, which have vases of yellow flowers on them, are occupied.
2004_Juno_00.19.01.927-00.19.16.800 	the waiting room is semi-crowded, occupied mostly by pregnant women, teens and ill-behaved children.
