0004_Charade_00.12.04.109-00.12.24.988 	He begins to take them out, placing them on the desk, identifying each item as he does.
0004_Charade_01.26.37.895-01.26.39.399 	SEVERAL DELEGATES identified by little plaques in front of them listing their respective nations, and their AIDES, sit around the large table.
0011_Gandhi_02.35.05.949-02.35.18.100 	English and Indians watch as Mountbatten approaches a group of microphones identified as NBC, CBS, BBC, etc.
0016_O_Brother_Where_Art_Thou_00.41.31.751-00.41.34.184 	The crude black label identifies it as 'Man of Constant Sorrow' by the Soggy Bottom Boys.
0016_O_Brother_Where_Art_Thou_00.59.11.185-00.59.13.256 	The pencil-neck is identified on posters as 'Homer Stokes, Friend of the Little Man', and, in life as in the pictures, he shakes a broom over his head.
0021_Rear_Window_00.07.34.826-00.07.35.178 	He is easy to identify through the color of his garish necktie.
0053_Rendezvous_mit_Joe_Black_00.30.56.852-00.31.25.455 	The Young Man steps closer to Parrish, his face is inches from a shaking, sweating Parrish's face, the Young Man daring Parrish to identify him.
1026_Legion_00.06.57.007-00.06.59.929 	the squad car identified by the number 1127 on it's roof drives past buildings.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.39.12.543-01.39.15.553 	he identifies and welcomes the new arrival.
1047_Defiance_00.00.54.077-00.00.55.429 	others, identifying labels on their backs.
2017_Bad_Santa_00.12.53.053-00.12.57.198 	as he rounds the corner into the lot he pushes on the various key fobs, identifying various cars when their alarms chirp.
2017_Bad_Santa_00.12.53.053-00.12.57.198 	as he rounds the corner into the lot he pushes on the various key fobs, identifying various cars when their alarms chirp.
