0002_As_Good_As_It_Gets_00.16.35.270-00.16.37.742 	she comforts him.
0004_Charade_00.39.27.518-00.39.32.394 	she falls in his arms to be comforted.
0007_DIE_NACHT_DES_JAEGERS_01.21.01.310-01.21.15.173 	after a moment we see her mouth open; and either to comfort herself or to drown out preacher's voice, she joins in the hymn.
0011_Gandhi_00.43.51.974-00.43.53.174 	he grins boyishly, in part to comfort, in part unable to contain his amusement at gandhi and his evident confusion.
0013_Halloween_00.56.04.389-00.56.05.926 	laurie bends down to comfort her.
0017_Pianist_00.13.37.828-00.13.43.142 	halina tries to comfort her.
0017_Pianist_00.30.10.684-00.30.14.837 	mother screams, father shrinks back, halina comforts him and regina comforts mother.
0017_Pianist_00.45.37.080-00.45.41.670 	mother comforts her.
0020_Raising_Arizona_01.25.03.476-01.25.06.381 	hi murmurs something to comfort her.
0023_THE_BUTTERFLY_EFFECT_00.20.22.328-00.20.23.262 	he reaches to comfort her.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.35.16.052-01.35.22.286 	bilbo sobs and frodo moves to comfort him.
0053_Rendezvous_mit_Joe_Black_01.47.57.172-01.48.02.064 	her head nestles underneath his arm, she has a sense of his comforting her without knowing that he is doing so.
1011_The_Help_01.24.20.623-01.24.25.076 	with a somber expression, skeeter flips back to the front cover of the life magazine, which shows the distraught widow comforting her young son.
1038_The_Great_Gatsby_01.49.31.934-01.49.34.848 	looking a little awkward, tom rubs wilson's back, comforting him.
1039_The_Queen_01.28.38.872-01.28.41.107 	a tearful man is comforted by two women either side of him.
1044_Pride_And_Prejudice_Disk_Two_00.06.53.762-00.07.04.655 	when the door has closed behind wickham, georgiana turns her sorrowful gaze to darcy, then slowly walks over to be comforted by him.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.35.47.729-00.35.50.298 	bill comforts fleur.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.27.23.487-01.27.33.619 	comforting him, hermione rests her head on his shoulder.
1052_Harry_Potter_and_the_order_of_phoenix_01.34.02.131-01.34.15.666 	he hears crying in the corridor and finds the twins comforting a small boy.
1056_Rambo_00.27.31.500-00.27.32.672 	michael gives him a comforting pat.
1062_Day_the_Earth_stood_still_01.34.38.364-01.34.43.050 	he looks round at helen comforting jacob.
