0003_CASABLANCA_01.40.27.087-01.40.32.735 	Rick now SHOOTS at Strasser, who crumples to the ground.
0008_Fargo_00.32.01.903-00.32.04.399 	His headlights show the car up ahead off the road, crumpled around a telephone pole, having failed to hold a turn.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.09.42.557-02.09.43.897 	The huge CREATURE crumples to the ground, VAST WINGS out-stretched, sending the WITCH-KING sprawling!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.29.21.524-02.29.33.133 	FRODO crumpling to the ground as the RED LIGHT hits him like a SEARCHLIGHT.
0027_The_Big_Lebowski_01.39.09.670-01.39.16.707 	He shoves the big Lebowski forward and he crumples to the floor, weeping.
0029_The_Graduate_00.30.26.978-00.30.43.412 	Ben writes his name on the card and then stares at it for a moment, crumples it up and fills out a second card.
0030_The_Hustler_00.38.01.523-00.38.04.108 	The residue of a full day's traveling is in evidence: crumpled paper towels, cigarette butts, etc.
0030_The_Hustler_01.07.14.999-01.07.22.098 	He thinks for a moment, then angrily crumples the paper in his hands and throws it at her.
1009_Spider-Man3_02.02.13.153-02.02.24.500 	as his huge left arm crumples into the ground leaving out of dust, the crowd whoop their delight.
1011_The_Help_01.09.23.825-01.09.30.328 	her face crumples with the pain of the recollection.
1011_The_Help_01.27.01.901-01.27.07.720 	in the bed, celia's face crumples in a tearful grimace.
1015_27_Dresses_01.12.52.117-01.12.56.415 	jane crumples up the paper, throws it at kevin, and leaves.
1051_Harry_Potter_and_the_goblet_of_fire_00.43.02.151-00.43.07.471 	he crumples up the newspaper and throws it into the fireplace.
2004_Juno_01.15.26.433-01.15.35.692 	she hops off the hood and scurries into the previa where she finds a crumpled up jiffy lube receipt.
2004_Juno_01.15.26.433-01.15.35.692 	she hops off the hood and scurries into the previa where she finds a crumpled up jiffy lube receipt.
