0014_Ist_das_Leben_nicht_schoen_01.27.59.673-01.28.00.775 	zuzu (aged six) is sitting up in her bed, the lamp burning beside her.
0017_Pianist_01.37.09.995-01.37.19.022 	the door opens and michal enters, accompanied by a man, aged about thirty, szalas, confident, a little brash.
0020_Raising_Arizona_00.58.15.335-00.58.16.343 	the door swings open and nathan stands looking in, his middle- aged secretary hanging at his elbow.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.17.04.311-01.17.05.191 	bilbo has aged significantly since we last saw him.
0032_The_Princess_Bride_00.05.59.684-00.06.02.631 	three others standing behind him: an old couple with crowns, the aging king and queen, and a dark bearded man who seems the prince's match in strength: this is count rugen.
0033_Amadeus_00.03.22.552-00.03.25.646 	as the fast music returns, we see old salieri being carried out of his house on a stretcher by two attendants, and placed in a horse-drawn wagon under the supervision of a middle- aged doctor in a tall hat.
0033_Amadeus_00.24.49.540-00.24.50.060 	first kapellmeister giuseppe bonno: very italian, cringing and time-serving, aged about seventy.
0041_The_Sixth_Sense_00.04.50.768-00.04.52.301 	it's printed on aged parchment-type paper.
1003_How_to_Lose_Friends_and_Alienate_People_00.23.09.684-00.23.13.545 	he peers at the contact sheet through a magnifying eye-glass to see two portly middle aged gentlemen holding glasses of wine.
1005_Signs_00.24.12.433-00.24.16.681 	morgan's in a bookshop watching the news coverage with the middle aged proprietors.
1006_Slumdog_Millionaire_00.42.18.858-00.42.23.923 	a middle aged couple approached jamal.
1011_The_Help_00.05.05.533-00.05.18.529 	a cigarette smoking receptionist leads the way through the sprawling open plan office to the editor's office, where a short, middle aged man is dwarfed by his big desk.
1012_Unbreakable_01.15.21.194-01.15.24.861 	as his head comes up, light falls on the face of david, aged about 20.
1014_2012_00.39.01.453-00.39.03.087 	a well dressed, middle aged man approaches the boxes corner of the ring.
1015_27_Dresses_01.03.50.178-01.03.54.035 	headlights blazing, the aging volvo speeds through the rainy night.
1024_Identity_Thief_00.34.58.880-00.35.00.695 	the aging man sits in a jail cell.
1024_Identity_Thief_00.37.04.990-00.37.08.305 	now in his brand new van the aging man arrives at the strip mall.
1031_Quantum_of_Solace_01.05.36.181-01.05.42.538 	the ageing dc-3 dakota lumbers down the runway, raising a cloud of dust in it.
1037_The_Curious_Case_Of_Benjamin_Button_01.58.51.988-01.58.55.578 	her aged mother meets her eye.
1041_This_is_40_01.11.05.036-01.11.09.751 	the crowd springs to its feet as the aging rockers take the stage.
2026_Legion_01.05.10.072-01.05.10.823 	she seems to have aged years overnight.
