0001_American_Beauty_01.31.11.094-01.31.19.495 	something outside catches his eye, and he cranes his neck to get a better look at.
0002_As_Good_As_It_Gets_00.32.52.476-00.32.55.004 	melvin is craning periodically to keep an eye of his dog.
0009_Forrest_Gump_00.35.53.496-00.35.58.286 	he cranes his head up for a closer look.
0009_Forrest_Gump_02.14.26.674-02.14.35.442 	the camera cranes down, revealing the feather as it lies at forrest's feet.
0013_Halloween_00.07.00.585-00.07.15.895 	craning up past his parents standing there, up from the neighbor's house to a high shot of the neighborhood as the sounds of police sirens rise in the distance.
0017_Pianist_00.05.13.204-00.05.15.444 	on the sidewalk of the street, with its buildings in ruins, smoke still rising, stand onlookers, including szpilman and henryk, and a little behind them, father, craning to see.
0020_Raising_Arizona_00.05.07.973-00.05.11.727 	we begin to crane down to tighten on the absently staring hi.
0020_Raising_Arizona_00.27.26.202-00.27.26.394 	we are craning down.
0020_Raising_Arizona_00.27.31.340-00.27.32.400 	still craning down.
0020_Raising_Arizona_00.27.33.432-00.27.33.845 	craning down.
0020_Raising_Arizona_00.28.32.710-00.28.33.612 	of the biker approaching, craning down as he draws near.
0020_Raising_Arizona_00.57.21.845-00.57.26.456 	we are craning up over the biker's back to reveal what he is looking at: we are on a bluff overlooking the trailer park.
0020_Raising_Arizona_01.27.34.243-01.27.41.360 	we start to crane down.
0020_Raising_Arizona_01.29.18.181-01.29.30.179 	still craning down, now very close to the sleeping hi.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.28.17.179-02.28.34.032 	craning up past the statues vast crumbling heads, to reveal a large lake only a mile down river.
1010_TITANIC_00.02.07.470-00.02.13.853 	a brown-haired man cranes his neck, as he stares out of one of the submersible portals
1037_The_Curious_Case_Of_Benjamin_Button_01.45.35.508-01.45.39.777 	daisy strikes an elegant pose then turns to the audience and cranes a swan-like neck.
1043_Vantage_Point_00.41.43.466-00.41.45.133 	howard cranes the camera on him.
1057_Seven_pounds_01.55.40.510-01.55.48.916 	she cranes her neck to keep track of ezra as he leaves the stage and moves effortlessly towards members of the audience.
2027_Les_Miserables_02.28.13.375-02.28.20.385 	as they disappear we crane up, high over the cloister, high over the walls of the convent and we see the paris streets outside.
2034_Super_8_00.03.21.107-00.03.39.243 	then the house back door bursts open -- joe cranes his neck -- and what he sees he'll never forget: his father, jack, leading an in-pain and hand-cuffed louis dainard from the house and into the rear of the squad car.
