0027_The_Big_Lebowski_00.31.08.528-00.31.09.468 	As the picture fades in the bowling noises continue, but filtered and faint.
1027_Les_Miserables_02.05.22.298-02.05.27.702 	dim light filtering through gratings above, washes over the curved brick work.
1030_Public_Enemies_01.45.57.991-01.46.00.812 	daylight filters into a bare room through an open window.
1046_Australia_00.22.48.663-00.22.51.182 	sarah is asleep in bed, moonlight filtering through the curtains.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.03.33.919-01.03.42.031 	sunlight filters down through a leafy canopy.
1053_Harry_Potter_and_the_philosophers_stone_01.31.57.545-01.32.03.545 	the moon light, filtering through the snow on the window panes, gives the empty classroom a mysterious air.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.36.33.969-00.36.42.663 	the silvery sun filters down through the storm clouds turning the waters of a vast lake below them to a steely gray.
1062_Day_the_Earth_stood_still_01.37.30.413-01.37.34.238 	intense light filtering out through the swirling mist within.
1053_Harry_Potter_and_the_philosophers_stone_01.31.57.545-01.32.03.545 	the moon light, filtering through the snow on the window panes, gives the empty classroom a mysterious air.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.36.33.969-00.36.42.663 	the silvery sun filters down through the storm clouds turning the waters of a vast lake below them to a steely gray.
1062_Day_the_Earth_stood_still_01.37.30.413-01.37.34.238 	intense light filtering out through the swirling mist within.
