0002_As_Good_As_It_Gets_01.10.34.306-01.10.37.115 	a last defiant snort from carol -- and then she is overwhelmed.
0011_Gandhi_00.42.27.800-00.42.30.227 	he speaks with an uncertainty and tentativeness that he had lost in south africa, patently overwhelmed by the reception.
0023_THE_BUTTERFLY_EFFECT_01.04.28.656-01.04.35.263 	kayleigh looks overwhelmed as she sits down.
0026_The_Big_Fish_00.33.30.645-00.33.37.848 	the gathered citizens of spectre cheer for edward, who is confused and overwhelmed.
0026_The_Big_Fish_01.01.35.632-01.01.36.455 	on sandra, overwhelmed.
0026_The_Big_Fish_01.52.51.479-01.52.54.156 	will gets out of the chevrolet, overwhelmed by the crowd.
0041_The_Sixth_Sense_01.14.42.371-01.14.50.787 	malcolm turns and looks up at his home with unchecked anger and overwhelming pain erupting his eyes.
1009_Spider-Man3_00.49.56.020-00.49.59.034 	sandman punches a hole on the roof and board inside, overwhelming the guards with a torrent of sand.
1027_Les_Miserables_01.42.01.316-01.42.02.982 	the students overwhelm him.
1049_Harry_Potter_and_the_chamber_of_secrets_02.30.36.000-02.30.41.236 	overwhelmed, he stretches out and shakes as many hands as he could reach.
1052_Harry_Potter_and_the_order_of_phoenix_01.38.02.855-01.38.17.457 	harry is overwhelmed by an image of sirius being tortured by voldemort.
