0002_As_Good_As_It_Gets_01.03.58.102-01.03.59.227 	the fabric clinging to her breasts, like the old movie poster of the deep.
0007_DIE_NACHT_DES_JAEGERS_01.28.10.834-01.28.12.361 	john and pearl flank rachel, clinging to her wide skirts.
0011_Gandhi_00.04.17.239-00.04.19.025 	people everywhere, clinging to monuments, lamp standards, trees -- and as the camera pulls back from the funeral cortege it reveals more and more.
0011_Gandhi_00.54.37.255-00.54.38.851 	people cling to the outside of each door and many more are seated on the central wooden planks on the roofs of the two coaches.
0016_O_Brother_Where_Art_Thou_01.40.46.866-01.40.51.367 	tommy has indeed just surfaced downstream, clinging to a half-submerged piece of furniture.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.56.22.647-00.56.30.326 	they are so steep that frodo and sam climb as if on a ladder -- their desperate fingers clinging to the steps above -- trying not to look at the long black fall below them.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.40.53.815-01.40.57.135 	he falls, trapped in the sticky substance which clings to him.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.44.19.348-02.44.22.104 	frodo clinging onto the rock face with his one.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.44.42.470-02.44.44.874 	he can't reach with his bleeding hand, and falls back, still clinging valiantly to the rock with his good hand.
0026_The_Big_Fish_00.36.14.716-00.36.16.934 	he pulls up his pant legs to reveal three shiny leeches clinging to his skin.
0031_The_Lost_Weekend_00.43.48.598-00.43.51.930 	don, clinging to wick's arm, pulls himself up.
0032_The_Princess_Bride_00.16.19.434-00.16.21.814 	the man in black, hanging suspended hundreds of feet in the air, holding to the jagged rocks, desperately trying to cling to life.
0032_The_Princess_Bride_00.18.48.424-00.18.50.821 	the man in black, as his grip loosens a moment, trying to cling to the side of the cliff.
0032_The_Princess_Bride_00.27.47.785-00.27.48.819 	and the power of the charge is terrible, the pain enormous, but he clings to his grip at fezzik's windpipe.
0050_Indiana_Jones_and_the_last_crusade_00.06.01.853-00.06.05.421 	he clings to the side of a boxcar, as halfbreed and rough rider leap from the truck onto the train.
0051_Men_in_black_01.17.27.554-01.17.28.025 	instead of banging off the wall of the tunnel, the ltd actually clings to it.
0051_Men_in_black_01.17.28.704-01.17.28.908 	it keeps going, turning all the way over and driving upside down, wheels clinging to the roof of the tunnel.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.02.28.044-00.02.31.689 	they cling on, desperately.
1003_How_to_Lose_Friends_and_Alienate_People_00.33.31.174-00.33.35.998 	she pulls herself up out of the water, her wet dress clinging to the sinuous curves of her lean, shapely body.
1005_Signs_01.14.05.870-01.14.09.819 	bo remains motionless, clinging to her brother.
1007_Spider-Man1_00.27.42.272-00.27.50.708 	clinging for dear life to the web, he swings to the air like tarzan on a creeper and lands running on the roof opposite.
1007_Spider-Man1_01.20.09.593-01.20.10.195 	spider-man, without his mask, is clinging to a wall.
1007_Spider-Man1_01.44.48.117-01.44.51.681 	the cable car lands safely on the barge, mj still clinging to it.
