0004_Charade_00.55.40.781-00.55.42.606 	Now they grapple with one another, each trying to break free and reach for the gun.
0014_Ist_das_Leben_nicht_schoen_01.56.21.753-01.56.25.186 	George dashes out of the house and down the street, as Bert grapples with Clarence, and they fall to the ground, wrestling.
0050_Indiana_Jones_and_the_last_crusade_00.37.34.968-00.37.36.455 	Indy grapples with the Turkish Agent.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.07.45.532-02.07.52.554 	He grapples with it as they sink deeper and deeper.
1003_How_to_Lose_Friends_and_Alienate_People_00.46.49.648-00.46.53.115 	They grapple for it.
1003_How_to_Lose_Friends_and_Alienate_People_01.40.41.482-01.40.43.709 	A close-up shows them grappling on the floor.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.42.01.676-00.42.03.342 	watson grapples with the steward.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.44.15.336-00.44.22.955 	as watson grapples with holmes, he rips his blouse off.
1051_Harry_Potter_and_the_goblet_of_fire_00.30.41.708-00.30.49.247 	they grapple with each other, rolling over and over on the stone floor.
1056_Rambo_00.18.42.839-00.18.54.795 	pirates in vests and bandannas cast ropes with grappling hooks tied to the ends over to rambo's boat.
1056_Rambo_00.18.42.839-00.18.54.795 	pirates in vests and bandannas cast ropes with grappling hooks tied to the ends over to rambo's boat.
