0001_American_Beauty_00.16.33.396-00.16.34.929 	The light on Angela grows stronger, and the other girls DISAPPEAR entirely.
0001_American_Beauty_00.16.33.396-00.16.34.929 	The light on Angela grows stronger, and the other girls DISAPPEAR entirely.
0001_American_Beauty_00.42.14.379-00.42.15.775 	He disappears down the hall.
0002_As_Good_As_It_Gets_02.07.07.244-02.07.09.970 	She disappears into her room.
0003_CASABLANCA_01.41.27.868-01.41.44.014 	They both watch the plane take off, maintaining their gaze until it disappears into the clouds.
0008_Fargo_01.05.35.804-01.05.38.206 	The reverse shows a disappearing waiter and the backs of many, many people sitting at tables between us and the very distant stage.
0011_Gandhi_00.32.40.489-00.32.42.352 	Gandhi watches the disappearing car worriedly, then turns and signals the miners on.
0013_Halloween_00.14.24.103-00.14.44.505 	CLOSE TO CAMERA the DARK SHAPE MOVES INTO FRAME, watching Laurie disappear around the corner.
0013_Halloween_00.22.16.580-00.22.21.988 	Then it takes off down the street and disappears around a corner.
0014_Ist_das_Leben_nicht_schoen_00.04.50.681-00.04.53.177 	The ice breaks, and Harry disappears into the water.
0014_Ist_das_Leben_nicht_schoen_00.43.13.596-00.43.15.176 	But Mary has disappeared from the window.
0014_Ist_das_Leben_nicht_schoen_01.56.29.056-01.56.31.041 	Suddenly Clarence disappears from under Bert's hands.
0016_O_Brother_Where_Art_Thou_00.05.26.406-00.05.30.128 	The convict running outside the boxcar door stumbles and disappears and the middle convict is yanked out immediately after.
0017_Pianist_01.44.21.889-01.44.23.364 	The pedestrians have scattered except for the old man, gasping for breath, hobbling on his walking stick, who eventually manages to disappear inside a building.
0019_Pulp_Fiction_01.41.41.638-01.41.48.641 	As Marsellus is dragged away, he locks eyes with Butch before he disappears behind the door of Russell's old room.
0020_Raising_Arizona_01.27.23.863-01.27.25.637 	He has disappeared into the hall.
0020_Raising_Arizona_01.27.58.718-01.28.05.483 	Evelle has disappeared and Gale starts climbing in.
0021_Rear_Window_00.22.42.931-00.22.45.933 	Then she shows him to a seat at the table, disappears into an unseen kitchen and returns with a bottle and two glasses.
0021_Rear_Window_00.42.24.886-00.42.40.086 	They disappear from sight as he lays them on the newspaper and proceeds to wrap them up.
0021_Rear_Window_01.29.37.285-01.29.38.555 	She disappears down the lower corridor, as Thorwald searches his fire escape.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.10.35.134-00.10.37.735 	The children stand deflated, watching Gandalf disappear up the lane.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.12.35.896-00.12.48.726 	Bilbo disappears into the kitchen as Gandalf looks around.enjoying the familiarity of Bag End.he turns, knocking his head on the light and then walking into the wooden beam.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.43.16.906-00.43.22.401 	Sam is looking up.Frodo has disappeared around a corner in the lane.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.49.12.520-00.49.16.641 	The Ringwraiths wheel their horses towards the north and Gallop away along the river bank, quickly disappearing into the fog.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.48.58.356-01.49.02.541 	The path splits into three passages.each disappearing into dark tunnels.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.48.11.085-02.48.16.610 	Suddenly the boat drops away from camera as it plunges over the massive falls of Rauros, disappearing into the vapor below.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.01.16.300-00.01.31.514 	DEAGOL pulls on his ROD, but is HAULED OVERBOARD and disappears underwater with a SPLASH!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.06.16.102-00.06.17.510 	The DARK MORGUL VALLEY disappears up towards the MOUNTAINS.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.21.19.387-01.21.23.752 	ARAGORN, LEGOLAS and GIMLI disappear into the SHADOWS of the MOUNTAINS.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.03.12.635-02.03.18.059 	Now a SCREAMING, unguided BALL OF FLAME, he runs across the CHAMBER, disappearing out of the door.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.43.52.093-02.43.54.032 	SAM watches in HORROR as FRODO and GOLLUM disappear into the CHASM!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_03.10.07.527-03.10.16.484 	The WHITE BOAT sails away towards the HEADLANDS, disappearing into the GOLDEN LIGHT of the SETTING SUN.
0026_The_Big_Fish_00.40.17.091-00.40.18.125 	The silver key disappears into the mud.
0026_The_Big_Fish_01.08.29.232-01.08.30.328 	Looking down, he can see the white parachutes disappearing into the darkness.
0026_The_Big_Fish_01.20.50.503-01.20.51.698 	Will is so startled that he drops the pole, which disappears into the murky water.
0033_Amadeus_00.17.15.778-00.17.22.665 	Watched by an astonished Salieri, Mozart disappears under the cloth and obviously pounces upon Constanze.
0038_Psycho_01.35.06.964-01.35.10.978 	She watches Sam disappear into the office, waits until she hears the door close, then looks about for another way to reach the house.
0041_The_Sixth_Sense_00.55.49.806-00.55.51.966 	His legs disappear as the bedsheets flap closed behind him.
0041_The_Sixth_Sense_01.14.38.382-01.14.41.746 	Malcolm watches the car disappear down the next street.
0049_Hannah_and_her_sisters_01.16.22.237-01.16.27.612 	They disappear inside.
0050_Indiana_Jones_and_the_last_crusade_00.30.28.364-00.30.33.311 	Then Indy disappears into the hole.
0050_Indiana_Jones_and_the_last_crusade_00.36.04.858-00.36.07.682 	Indy disappears under the water and swims out from under the coffin.
0050_Indiana_Jones_and_the_last_crusade_01.01.47.042-01.01.48.988 	As they struggle they fall against the rotating wall and disappear into the next room, leaving a frightened Henry behind.
0050_Indiana_Jones_and_the_last_crusade_01.01.49.373-01.01.52.241 	As he disappears into the next room, a DEAD NAZI RADIOMAN swivels into the room.
0050_Indiana_Jones_and_the_last_crusade_01.54.49.592-01.54.53.278 	Finally Indy pours the water over the wound and everyone watches in astonishment as the wound and the blood stain disappear before their eyes.
0053_Rendezvous_mit_Joe_Black_00.15.49.954-00.15.52.972 	Parrish disappears into his office.
0053_Rendezvous_mit_Joe_Black_02.48.10.662-02.48.14.540 	In tandem they continue on and disappear over the crest of the hill.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.18.46.140-00.18.51.234 	Outside, a mechanical man makes the rabbit on his head disappear under a big top hat.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.56.17.710-00.56.21.044 	Malfoy disappears from the map.
1005_Signs_01.31.20.588-01.31.24.783 	Merrill turns left and disappears from Graham's view.
1006_Slumdog_Millionaire_00.53.54.933-00.53.57.709 	Jamal disappears running through the smoke.
1052_Harry_Potter_and_the_order_of_phoenix_02.00.32.098-02.00.38.593 	voldemort suddenly disappears in whirlwind of sand, which ruffles dumbledore's white beard.
1052_Harry_Potter_and_the_order_of_phoenix_02.03.20.652-02.03.22.922 	he disappears in a spiral of black smoke.
1053_Harry_Potter_and_the_philosophers_stone_00.32.58.000-00.33.01.350 	he disappears through the wall followed by his identical twin brother.
1053_Harry_Potter_and_the_philosophers_stone_01.09.08.461-01.09.19.590 	as the students follow quickly into the hall, snape disappears through a side door.
1053_Harry_Potter_and_the_philosophers_stone_01.37.10.545-01.37.22.518 	flying higher and higher, until it disappears into the snow laden sky.
