1003_How_to_Lose_Friends_and_Alienate_People_00.17.14.274-00.17.18.876 	attractive women dwarf him in an elevator.
1003_How_to_Lose_Friends_and_Alienate_People_01.19.48.635-01.19.55.110 	sydney's building is dwarfed by the skyscrapers on the horizon.
1011_The_Help_00.05.05.533-00.05.18.529 	a cigarette smoking receptionist leads the way through the sprawling open plan office to the editor's office, where a short, middle aged man is dwarfed by his big desk.
1014_2012_00.00.36.725-00.00.41.375 	the curving edge of planet earth is illuminated dwarfing further planets in the distance.
1030_Public_Enemies_00.37.55.558-00.38.00.280 	we watch the agents from afar as they prepare, dwarfing their trench-coated forms.
1037_The_Curious_Case_Of_Benjamin_Button_00.30.26.177-00.30.29.912 	dwarfed by philomena, mr. oti walks away.
1038_The_Great_Gatsby_00.52.01.718-00.52.02.822 	nick sits, dwarfed by extravagant flower arrangements.
1039_The_Queen_01.01.20.003-01.01.25.595 	the vast landscape dwarfs the figure of the queen, who sits on the riverbank, by the vehicle.
1047_Defiance_00.48.03.602-00.48.11.013 	many of the women with shawls on their heads tramp through the forest, dwarfed by the tall, thin, bare trees.
1053_Harry_Potter_and_the_philosophers_stone_00.38.07.343-00.38.18.891 	wearing black cloaks over their school uniforms, the pupils are dwarfed by the giant hagrid.
1053_Harry_Potter_and_the_philosophers_stone_01.44.24.595-01.44.33.541 	even the huge giant is dwarfed by the tall trees, which rise up and disappear into the darkness above their heads.
