0006_Clerks_01.24.29.341-01.24.30.473 	RANDAL tumbles into the cakes as Entenman's products scatter beneath and around him.
0006_Clerks_01.24.45.852-01.24.50.655 	M&M's scatter wildly across the empty floor, and the ruckus is heard O.C.
0007_DIE_NACHT_DES_JAEGERS_01.23.41.015-01.23.43.476 	They scatter out of shot; RUBY lingers.
0014_Ist_das_Leben_nicht_schoen_01.22.44.551-01.22.48.939 	The office is in a mess, drawers are opened, and papers scattered on the floor and on the desk.
0017_Pianist_01.21.30.110-01.21.33.637 	Corpses lie scattered on the pavement.
0017_Pianist_01.44.21.889-01.44.23.364 	The pedestrians have scattered except for the old man, gasping for breath, hobbling on his walking stick, who eventually manages to disappear inside a building.
0020_Raising_Arizona_01.19.43.924-01.19.44.161 	As he slaloms through the wildly scattering hayseeds.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.07.25.192-00.07.29.857 	Rising out of the LONG, OVERGROWN white flowers are scattered among the Well seeded grasses.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.43.55.884-00.43.58.658 	a variety of vegetables have scattered everywhere.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.17.36.606-01.17.38.257 	A SUDDEN WIND rushes through the TENT, lifting HANGINGS, scattering MAPS, knocking over GOBLETS.
0027_The_Big_Lebowski_01.23.14.499-01.23.17.651 	We hit the pins, scattering them, and rush on into black.
0029_The_Graduate_01.29.23.689-01.29.26.024 	There are many other students scattered around the room.
0030_The_Hustler_02.06.36.571-02.06.37.831 	The one ball rolls in, while others scatter about the table.
0033_Amadeus_01.02.13.986-01.02.14.561 	More pages fall than he can read, scattering across the floor in a white cascade, as he circles the room.
0049_Hannah_and_her_sisters_00.35.49.229-00.35.50.209 	Papers are scattered on the floor.
1001_Flight_00.14.30.794-00.14.33.889 	She flings her bag on a table, and it hits a box which falls and scatters its contents.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.59.27.776-01.59.31.623 	Dark clouds scattered behind them, spray and spume washed over them.
1005_Signs_00.20.56.138-00.21.00.643 	17 circles are scattered across a map of India.
1006_Slumdog_Millionaire_00.01.15.857-00.01.26.602 	Hands scatter Rupee notes onto the floor.
1006_Slumdog_Millionaire_01.46.03.600-01.46.09.967 	Salim scatters thousands of rupee notes into a bath tub.
1009_Spider-Man3_00.00.46.547-00.00.50.979 	a spinning war vortex of blue light becomes a silver blue spider's web which scatters the words the opening credits.
1009_Spider-Man3_01.37.55.799-01.38.02.233 	grabbing a martini from a customer, peter swings across the room on a chandelier, puts his legs around the chair, and slides back across the dance floor, scattering customers.
1009_Spider-Man3_01.56.57.402-01.57.03.669 	the crowd scatters as the huge, hulking, king kong-like figure slams a car sized fist into the ground, narrowly missing spiderman,
1011_The_Help_01.18.48.566-01.18.50.740 	toilets are scattered on the yard.
1011_The_Help_01.19.02.626-01.19.03.813 	mae mobley, with her knickers down, proudly sits on one of the many toilets scattered across the lawn.
1012_Unbreakable_01.23.34.521-01.23.42.187 	the spreading light falls on mail scattered over a tiled floor, and on clothes strewn on the floor further inside.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.30.48.632-00.30.54.003 	holmes smashes through a window and crashes into watson, scattering all the money.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.31.08.872-00.31.13.374 	watson notices the other players eyeing his winnings, which are now scattered on the floor.
1043_Vantage_Point_01.15.02.523-01.15.09.913 	pedestrians scatter as barnes is sandwiched between the truck and the near by wall.
1049_Harry_Potter_and_the_chamber_of_secrets_00.33.52.009-00.33.58.910 	swooping low over the table, it heads for ron, but collides with a bowl, scattering crisps everywhere.
1049_Harry_Potter_and_the_chamber_of_secrets_01.50.08.078-01.50.12.077 	the car rises into the air smashing into a branch and scattering spiders.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.56.26.122-00.56.33.035 	they scatter among the desks in the open plan office.
1051_Harry_Potter_and_the_goblet_of_fire_00.59.54.327-01.00.00.018 	he bursts out through the stands over the heads of the startled onlookers, wings tearing through the canopy, scattering professors.
1052_Harry_Potter_and_the_order_of_phoenix_01.36.11.826-01.36.21.513 	the multicolored fireworks spiral down and explode, scattering the papers in all directions.
1053_Harry_Potter_and_the_philosophers_stone_00.07.38.459-00.07.44.539 	visitors scatter in all directions.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.00.06.161-02.00.09.435 	a blast of air scatters the dry leaves at their feet.
1055_Marley_and_me_00.19.10.000-00.19.17.528 	up scatters the birds, hops down the beach full of sun bathers, and runs along the shoreline with john in pursuit.
1057_Seven_pounds_00.46.55.233-00.47.01.128 	metal debris spins and scatters in slow motion.
1053_Harry_Potter_and_the_philosophers_stone_00.07.38.459-00.07.44.539 	visitors scatter in all directions.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.00.06.161-02.00.09.435 	a blast of air scatters the dry leaves at their feet.
1055_Marley_and_me_00.19.10.000-00.19.17.528 	up scatters the birds, hops down the beach full of sun bathers, and runs along the shoreline with john in pursuit.
1057_Seven_pounds_00.46.55.233-00.47.01.128 	metal debris spins and scatters in slow motion.
