0003_CASABLANCA_00.05.16.460-00.05.19.738 	It taxis to a stop as a group of officers march into formation in front of it.
0007_DIE_NACHT_DES_JAEGERS_01.27.52.727-01.28.04.783 	Now there are no mob voices; only the ominous sound of fifty-odd people marching in step.
0011_Gandhi_00.04.56.629-00.04.59.131 	As the cortege continues on its way, we get shots of the marching soldiers, of the faces of Sikhs, and Tamils, Anglo- Indians, Moslems from the north, Marathas from the south, blue-eyed Parsees, dark-skinned Keralans.
0011_Gandhi_00.14.04.414-00.14.11.453 	He gestures to a constable, who turns from the crowd and marches to Khan, seizing him by the arm and marching him to the paddy wagon.
0011_Gandhi_00.31.14.538-00.31.24.776 	A prison door slams: we are close on one face, another slam, another face, and again and again in the rhythm of marching feet.
0011_Gandhi_00.33.40.424-00.33.41.903 	Gandhi screws up his courage, marching on.
0011_Gandhi_00.37.36.153-00.37.39.460 	Gandhi -- now manacled -- is being marched down the pavement before two guards.
0011_Gandhi_00.43.12.432-00.43.17.902 	There is a great cheer, but in the silence that follows we hear the military band from across the way as the troops prepare to march off.
0011_Gandhi_01.24.50.611-01.25.00.018 	The sound of a car, and marching feet.
0011_Gandhi_01.26.14.691-01.26.16.042 	At the sound of the armored car and marching feet, a few turn in curiosity.
0014_Ist_das_Leben_nicht_schoen_01.15.13.689-01.15.16.132 	A group of men, obviously just drafted, marching along in a camp.
0016_O_Brother_Where_Art_Thou_01.14.33.856-01.14.34.129 	The ranks of hooded men, chanting in a high hillbilly wail, intersect and shuffle like a marching band at halftime.
0017_Pianist_00.44.53.161-00.45.00.218 	More Jews are being unloaded from trucks and are marched through the gates.
0017_Pianist_00.55.08.014-00.55.12.848 	They are being marched out of the ghetto gates.
0017_Pianist_01.10.44.281-01.10.47.982 	They march on, singing lustily.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.26.52.584-02.26.56.752 	thousands of ORCS can be seen marching away from MT.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.31.32.285-02.31.35.306 	The MASSIVE ORC ARMY marching towards ARAGORN'S.
1009_Spider-Man3_00.43.29.343-00.43.34.605 	a marching band cuts through the workers waving placards and balloons.
1020_Crazy_Stupid_Love_00.25.49.514-00.25.53.805 	slapped him on the cheek and marched off.
1020_Crazy_Stupid_Love_00.27.05.566-00.27.06.668 	jacob marched off.
1027_Les_Miserables_01.35.42.641-01.35.47.231 	soldiers march down the street followed by cavalry.
1030_Public_Enemies_00.00.47.351-00.00.52.792 	wearing 50 black and white stripped uniforms, prisoners march in lockstep single file across the dirt.
1030_Public_Enemies_00.01.09.924-00.01.11.458 	they march toward a stark building, where a smoke stack reaches into the sky.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.15.53.222-01.15.59.889 	holmes and watson crouch low in the darkness as six armed guards march past.
1034_Super_8_01.17.39.876-01.17.42.678 	the soldiers march the boys into a corridor.
1035_The_Adjustment_Bureau_01.32.56.894-01.32.59.401 	bureau members stare as they march down the center aisle.
1038_The_Great_Gatsby_01.18.59.431-01.19.01.857 	four of gatsby's men march slagle out through the gates.
1046_Australia_01.56.30.000-01.56.34.047 	sarah drives past lines of marching troops.
1046_Australia_02.18.18.589-02.18.26.015 	they look around fearfully, as armed figures march out of the jungle through the smoke.
1047_Defiance_02.03.06.983-02.03.12.115 	his men spread across the field in alarmed marching in step and fire on the remaining germans.
1051_Harry_Potter_and_the_goblet_of_fire_02.22.08.073-02.22.18.352 	cheered by the hogwarts students, the elegant beauxbatons girls march away along the cloisters.
1053_Harry_Potter_and_the_philosophers_stone_00.41.34.612-00.42.07.704 	the first-years march down the center of the room, watched curiously by the rest of the school who was sitting at long tables.
1056_Rambo_00.10.50.254-00.11.01.584 	in darkness, save for the glow of headlights on jeeps and beams from hand torches, the army drag people from their homes and march them away at gunpoint, under the supervision of the cigarette -smoking commander.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.34.40.713-00.34.54.143 	closely watched by death eater amycus carrow, lines of students march across the courtyard and tramp down the staircase towards the great hall.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.42.15.750-00.42.29.190 	the stone warriors march down steps to the courtyard.
1053_Harry_Potter_and_the_philosophers_stone_00.41.34.612-00.42.07.704 	the first-years march down the center of the room, watched curiously by the rest of the school who was sitting at long tables.
1056_Rambo_00.10.50.254-00.11.01.584 	in darkness, save for the glow of headlights on jeeps and beams from hand torches, the army drag people from their homes and march them away at gunpoint, under the supervision of the cigarette -smoking commander.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.34.40.713-00.34.54.143 	closely watched by death eater amycus carrow, lines of students march across the courtyard and tramp down the staircase towards the great hall.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.42.15.750-00.42.29.190 	the stone warriors march down steps to the courtyard.
2027_Les_Miserables_01.35.38.033-01.35.40.522 	an entire battalion of infantry, marching with weapons reversed.
2027_Les_Miserables_02.28.23.428-02.28.29.282 	and there marching among them we see ghosts from the past - enjolras and the students who died - and fantine - and eponine - and out of the crumbling elephant peers another ghost: the grinning face of gavroche.
