0002_As_Good_As_It_Gets_02.12.11.051-02.12.12.977 	they separate.
0004_Charade_00.10.55.862-00.11.06.351 	she begins separating the shells with her thumb nail and eating the nuts, depositing the shells in the ashtray.
0004_Charade_00.54.25.765-00.54.26.484 	on the street side, the roof angles down abruptly into a steep, slate-covered pitch, broken only by two widely separated oval-shaped dormer windows.
0010_Frau_Ohne_Gewissen_01.24.19.355-01.24.24.108 	she stops beside him, facing the same way, with a couple of feet separating them.
0011_Gandhi_00.42.08.972-00.42.10.642 	third class passengers are disembarking here, and on shore, separated by a wire fence from the rest of the pier.
0016_O_Brother_Where_Art_Thou_01.18.35.257-01.18.37.448 	everett, pete, tommy and delmar, bearing the confederate flag, are retreating across the neutral ground separating the mob of klansmen from the burning cross.
0017_Pianist_00.40.15.908-00.40.17.861 	a large room with an improvised partition of blankets to separate the men from the women.
0021_Rear_Window_00.42.39.786-00.42.40.186 	for a moment he is lost behind the wall that separates the kitchen recess from the living room.
0023_THE_BUTTERFLY_EFFECT_01.12.23.951-01.12.26.202 	four inches of plexiglas separate the two and they talk on monitored phones.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.59.43.259-02.59.47.944 	a world of experience now separates from their fellow hobbits.
0026_The_Big_Fish_01.29.04.745-01.29.08.744 	when they separate, she has tears hanging in her eyes.
0049_Hannah_and_her_sisters_00.47.58.197-00.48.02.923 	as the camera pulls back from mickey, his taped head under the scan, two technicians can be seen through the window separating the scanner from the control room.
0053_Rendezvous_mit_Joe_Black_00.26.15.858-00.26.20.178 	a beautiful, classic room, areas of dim, warm light, club chairs, books reaching to the ceiling, a rolling library ladder, a weathered dictionary on a stand, a model boat carved of bone set into the stacks which are separated from the reading area by a seven-foot high partition of obscured glass.
0053_Rendezvous_mit_Joe_Black_02.39.10.772-02.39.12.746 	now parrish spots allison, he wraps her in a tight embrace, they hold each other close for a moment, but then are separated by a surge of guests.
1006_Slumdog_Millionaire_01.18.01.630-01.18.06.926 	he sees latika behind the glass partition separating the room from a kitchen and approaches.
1007_Spider-Man1_00.28.46.433-00.28.49.379 	the backyard of the houses are separated by a small wire fence.
1024_Identity_Thief_01.31.15.339-01.31.22.233 	diana glances over at sandy, then leans toward the grated divider separating them from the officers.
1029_Pride_And_Prejudice_Disk_One_01.29.54.058-01.29.56.971 	they separate to allow a couple to move between them.
1029_Pride_And_Prejudice_Disk_One_01.31.03.393-01.31.06.803 	they separate, then come back.
1030_Public_Enemies_00.12.51.087-00.12.58.059 	three men in fedoras and overcoats ascend a wide staircase, separated from each other by two center railings.
1035_The_Adjustment_Bureau_00.31.12.739-00.31.17.170 	now our view hovers above a stately, high-ceilinged reading room, where a center aisle separates dozens of large tables arranged perpendicularly to it.
1047_Defiance_00.02.04.956-00.02.08.099 	families are separated.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.25.08.947-01.25.11.177 	they separate.
1062_Day_the_Earth_stood_still_01.09.59.924-01.10.07.887 	the suited agent steps into the operations room separated from a circular chamber by thick windows.
2017_Bad_Santa_01.30.38.902-01.30.42.736 	a brief open space separates him from a stairwell; he dashes across as gunfire redoubles and plunges down the stairs.
2034_Super_8_01.22.27.542-01.22.45.163 	on the other side of the glass, nelec rights himself, momentarily disoriented -- breathing heavily, he moves away from the bus door to the locked glass separating him from the kids; he tries the handle, but it won't open for him either.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.49.58.426-00.50.05.064 	dementors appear, covering frame, then separate like a curtain.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.27.05.139-01.27.10.714 	-- the crows shriek excitedly and the executioner separates from the others, disappears behind a low stand of trees.
