0001_American_Beauty_00.02.30.954-00.02.32.949 	in the fenced front yard of the house next door, a dog barks repeatedly.
0002_As_Good_As_It_Gets_00.01.24.159-00.01.25.124 	the dog sensing a kindred spirit starts to growl and bark.
0002_As_Good_As_It_Gets_00.11.39.328-00.11.40.623 	she barks a mirthless though hearty laugh.
0002_As_Good_As_It_Gets_00.17.16.131-00.17.17.996 	she barks a laugh to cover her embarrassment but speaks the truth.
0013_Halloween_00.43.52.494-00.43.53.957 	from the darkness of the back yard lester springs forward into camera, snarling and barking viciously.
0020_Raising_Arizona_00.49.23.392-00.49.23.979 	beyond her we can see the pack of furiously barking dogs, nipping at her heels.
0022_Reservoir_Dogs_01.12.01.205-01.12.02.541 	the dog is barking.
0023_THE_BUTTERFLY_EFFECT_01.20.23.622-01.20.26.988 	reverberant sounds of barking break the sound barrier and the image of aryans storming the cell behind him become a frenetic blur.
0031_The_Lost_Weekend_01.26.13.727-01.26.15.519 	sophie, standing beside her, is barking wildly.
0050_Indiana_Jones_and_the_last_crusade_01.01.58.929-01.02.01.781 	he barks an order, and two more nazis fall into step with him.
0051_Men_in_black_00.07.57.407-00.08.03.279 	kay barks a few orders to them.
1005_Signs_00.34.45.500-00.34.52.167 	agitated, isabel shifts and jumps about, pulling at the chain, and barking into the quivering field of maize.
1026_Legion_00.02.15.831-00.02.19.091 	he holds out a broad-bladed dagger and points it in the direction of the dog which barks from behind the wire fence.
1057_Seven_pounds_00.07.24.971-00.07.29.068 	a black and white great dane stands barking at him in the garden.
2005_Signs_00.04.57.682-00.05.00.133 	the dogs keep running and barking as we pull back and reveal .
2034_Super_8_01.09.34.172-01.09.35.803 	orders are being barked -- residents can be heard, complaining and arguing.
