0001_American_Beauty_01.52.12.796-01.52.15.696 	a pool of blood is forming on the kitchen table.
0004_Charade_01.38.18.251-01.38.18.401 	the jumble of advertising posters as it passes rapidly, forming a moving band of letters, women, cartoons and colors.
0013_Halloween_00.17.02.439-00.17.07.305 	the other boys form a circle around tommy and taunt him.
0014_Ist_das_Leben_nicht_schoen_00.04.58.195-00.05.00.030 	the other boys lie flat on the ice, forming a human chain.
0014_Ist_das_Leben_nicht_schoen_00.35.02.548-00.35.15.400 	the same stars we saw in the opening sequence are once more twinkling as we hear the voices form heaven.
0016_O_Brother_Where_Art_Thou_00.25.23.433-00.25.27.192 	the three singing convicts form a semi-circle behind tommy, who plays his guitar into a can microphone.
0016_O_Brother_Where_Art_Thou_01.08.09.916-01.08.13.987 	with his mouth forming an o around his dropping cigar, pappy looks sadly from one to the other, like a spectator at a particularly boring tennis match.
0016_O_Brother_Where_Art_Thou_01.39.29.757-01.39.32.772 	the inundated valley shows only the occasional roof- or treetop poking out of the newly formed river.
0019_Pulp_Fiction_00.34.28.660-00.34.30.646 	dotted lines appear on the screen, forming a sqaure.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.43.39.213-01.43.45.544 	the lines grow broader and clearer, forming a glowing arch of interlacing ancient letters and symbols.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.08.16.895-01.08.21.543 	faramir's knights fan out to form one straight line of 200 horsemen.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.27.54.490-01.27.58.449 	the fog suddenly rolls back, forming a retreating wall of grey vapour.
0026_The_Big_Fish_01.02.48.795-01.02.54.604 	we lead edward as he walks away, tears just starting to form.
0026_The_Big_Fish_01.14.04.766-01.14.06.000 	sandra hangs sheets to dry on the clotheslines, forming a tunnel of fabric.
0031_The_Lost_Weekend_00.56.51.326-00.56.56.153 	don looks around the room, his plan forming.
0041_The_Sixth_Sense_00.19.14.820-00.19.22.134 	her gaze stops on the two tiny hand prints of sweat formed on the table's surface.
0041_The_Sixth_Sense_01.24.21.531-01.24.24.085 	her father's face forms the most heartbreaking of smiles as he watches the performance.
0050_Indiana_Jones_and_the_last_crusade_01.02.24.059-01.02.31.535 	indy grabs a railing to keep from falling, but loses his grip and plunges through the opening which has formed a spiral staircase.
0053_Rendezvous_mit_Joe_Black_00.53.51.831-00.53.57.635 	they stride on, cutting through the crowd, joe all at home in his new surrounding, but parrish just the opposite, un- characteristically uncomfortable, phrases forming on his lips but unspoken, then suddenly he blurts out.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.20.22.310-01.20.25.092 	they form a circle, back-to-back, wands poised.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.02.26.232-02.02.33.520 	a dip in a rock pedestal forms a crystal basin filled with liquid.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.16.35.090-02.16.41.538 	harry looks up at the glowering clouds forming the shape of a skull.
1009_Spider-Man3_00.27.33.068-00.28.03.432 	the sand forms a curving shape, almost like a human body.
1010_TITANIC_00.57.34.104-00.57.37.771 	couples wearing forming evening wear stroll or stand about chatting.
1010_TITANIC_01.28.16.191-01.28.23.625 	gradually, wrinkles form around her eyes, and she transforms into her older self.
1011_The_Help_01.42.35.637-01.42.40.115 	celia leans forward to reapply her lipstick, turning her perfectly formed behind in their direction.
1012_Unbreakable_00.07.59.179-00.08.07.086 	outside, trees and shrubs form a green backdrop along the track side.
1012_Unbreakable_00.11.37.333-00.11.46.163 	the other body heaves as blood forms a pool on top of the bandages.
1014_2012_00.50.37.166-00.50.40.033 	up a head two high rised towers falling down forming an upside down v shape.
1014_2012_01.40.36.582-01.40.39.831 	they form a group hug.
1017_Bad_Santa_01.04.23.463-01.04.27.998 	the next day, a very large queue of excited children and their mothers has formed at the western-themed christmas corral grotto.
1029_Pride_And_Prejudice_Disk_One_01.28.49.662-01.28.54.057 	they form a straight line with another couple before releasing hands,
1029_Pride_And_Prejudice_Disk_One_01.30.36.463-01.30.44.912 	the dancers move in intricate and formal patterns, circling their partners, then crossing to form lines.
1029_Pride_And_Prejudice_Disk_One_01.30.48.124-01.30.58.334 	the women hold out their arms gracefully forming delicate arcs before gliding back into their starting positions.
1031_Quantum_of_Solace_00.00.01.845-00.00.11.164 	a lion's head looks out from a crest formed by a garland of film, metro-goldman-mayer, which features the words.
1031_Quantum_of_Solace_00.06.19.908-00.06.24.632 	forming circles of bodies which are animated into a flickering blur.
