0004_Charade_01.46.47.665-01.46.47.819 	Inside, huddling down, is a terrified REGGIE, holding her breath as she watches him.
0011_Gandhi_02.15.16.506-02.15.17.772 	He watches, looking tensely from one group to the other, almost terrified by what seems about to happen.
0011_Gandhi_02.51.54.220-02.51.56.690 	The crowd has spread from him all along the street; they stand against the walls of the houses staring at him, terrified to move.
0014_Ist_das_Leben_nicht_schoen_00.06.59.989-00.07.01.501 	She draws back quickly and looks down, terrified at what she has said.
0017_Pianist_01.08.11.245-01.08.20.198 	Szpilman tries to untie the string, but he's too terrified and can't manage it.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.13.57.321-01.14.00.077 	MERRY exhales -- excited and terrified in equal measure.
0041_The_Sixth_Sense_01.03.38.977-01.03.41.368 	Cole is too terrified to move.
0051_Men_in_black_00.06.39.852-00.06.40.743 	From behind Mikey, they hear a terrified GASP.
0053_Rendezvous_mit_Joe_Black_00.32.00.566-00.32.07.000 	Parrish is shocked, stunned, terrified at the word, by what he has comprehended.
1003_How_to_Lose_Friends_and_Alienate_People_01.32.50.944-01.32.56.958 	Stripped to his socks and boxer shorts, a terrified Sydney tries to gather the courage to leap between two high hotel balconies.
1005_Signs_01.18.36.859-01.18.40.214 	Morgan's terrified eyes focused on the gap at the bottom of the front door as green gray fingers appear underneath it.
1056_Rambo_00.02.19.416-00.02.27.671 	brandishing rifles, the troops order a group of terrified and cowering peasants off the truck and onto the road.
1056_Rambo_00.54.54.248-00.54.58.970 	the soldier on stage continues to humiliate a terrified dancing woman by pouring his can of drink over her head.
1056_Rambo_00.02.19.416-00.02.27.671 	brandishing rifles, the troops order a group of terrified and cowering peasants off the truck and onto the road.
1056_Rambo_00.54.54.248-00.54.58.970 	the soldier on stage continues to humiliate a terrified dancing woman by pouring his can of drink over her head.
2034_Super_8_01.03.57.897-01.04.02.952 	alice gasps -- stops pedaling -- looks back at her father's car, wide-eyed and terrified -- should she go back?.
2034_Super_8_01.17.58.658-01.18.01.952 	joe's terrified as overmyer pulls from joe's pocket a couple coins, half a pack of bubble yum and his mother's necklace.
