0007_DIE_NACHT_DES_JAEGERS_00.43.24.309-00.43.26.878 	icey is happy to let her mouth fall open and let out a gasp.
0012_Get_Shorty_00.44.05.985-00.44.35.832 	keeps mouthing the dialogue.
0016_O_Brother_Where_Art_Thou_01.27.25.415-01.27.28.246 	a disgruntled audience member yanks out the microphone plug; stokes continues to mouth the inaudible words.
0049_Hannah_and_her_sisters_00.28.50.755-00.28.56.410 	the camera stays on his face as he looks off into the distance, mouthing indistinctly the line of poetry lee next reads.
0049_Hannah_and_her_sisters_00.36.36.322-00.36.41.147 	holly mouths a thank you, glancing around.
0049_Hannah_and_her_sisters_01.20.39.853-01.20.53.820 	they mouth hello, smiling, and begin to walk off together.
0049_Hannah_and_her_sisters_01.24.10.872-01.24.21.160 	the man takes one, mouthing his thanks, as the camera travels past the open bookshelf, past two boys in suits who are drinking soda and munching, to reveal lee.
1003_How_to_Lose_Friends_and_Alienate_People_00.27.43.494-00.27.48.316 	steam leaks off the window as doe-eyed sidney stares open mouthed at the passing illuminations.
1005_Signs_01.25.02.950-01.25.10.497 	merrill wheels morgan on, mouthing silent words of earnest prayer.
1006_Slumdog_Millionaire_00.45.58.350-00.46.00.700 	she mouths the word money to her husband.
1009_Spider-Man3_00.05.22.156-00.05.29.120 	peter grins proudly and mouths the lyrics.
