0021_Rear_Window_00.23.04.348-00.23.06.392 	she lifts her drink in a toast to the imaginary man opposite her.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.24.47.235-00.24.52.271 	summoned by pansy and blaise, a surly boy with short cropped hair, draco sits down opposite them.
1003_How_to_Lose_Friends_and_Alienate_People_00.38.56.834-00.38.58.854 	a sheepish-looking sidney sits opposite an indignant clayton.
1003_How_to_Lose_Friends_and_Alienate_People_01.25.50.249-01.25.59.220 	dressed in a sharp pin-striped suit and dark glasses, sydney sits opposite vincent in a sushi bar, hurriedly taking notes and smiling enthusiastically at vincent's comments.
1007_Spider-Man1_00.26.43.951-00.26.45.991 	opposite him and across the road is a crane.
1008_Spider-Man2_01.35.53.126-01.35.57.056 	peter strolls in, and sits opposite her.
1014_2012_00.10.00.876-00.10.06.543 	inside the opulent suite, isaac sits opposite a saudi prince who holds an electronic document in his hands.
1020_Crazy_Stupid_Love_01.16.36.219-01.16.40.154 	cal looks over at a balding guy opposite him and of a similar age.
1029_Pride_And_Prejudice_Disk_One_02.07.51.326-02.07.56.961 	mary prepares to play and the men quickly take their places opposite their partners.
1029_Pride_And_Prejudice_Disk_One_02.08.30.309-02.08.35.695 	the men stand in one line with the ladies opposite them, then briefly touch hands as they move around the other dancers.
1049_Harry_Potter_and_the_chamber_of_secrets_01.17.49.435-01.17.54.756 	hermione carries her meal down the hall and sits opposite them.
1055_Marley_and_me_01.11.12.961-01.11.18.280 	he sits opposite her and she eyes him, shaking her head.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.57.20.856-01.57.25.630 	he sits by the window, next to his elder brother, james and, opposite his cousin, rose.
