0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.26.45.660-01.26.49.591 	thousands of flaming torches light the snarling, slathering morgul orcs.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.46.31.997-01.46.34.635 	flaming missiles rain down on the city.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.01.53.869-02.01.57.669 	servants are holding flaming torches, awaiting their orders.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.03.24.475-02.03.27.895 	and plummets straight over the 700 foot sheer drop into the flaming city below.
0032_The_Princess_Bride_00.41.54.338-00.41.57.810 	westley, instantly forcing buttercup to sit, gathering her flaming hem in his hands, doing his best to suffocate the fire.
1012_Unbreakable_01.15.59.795-01.16.02.985 	beyond him, flames rise up into the night sky.
1026_Legion_00.05.10.065-00.05.16.375 	and they watch, as the man from the sky, steps into the flaming surround.
1027_Les_Miserables_01.43.14.117-01.43.14.739 	marius grabs a barrel of gunpowder, which flames up.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.04.57.903-01.05.01.570 	leading the way with his flaming torch, holmes heads off down a dark corridor.
1043_Vantage_Point_00.50.15.105-00.50.21.858 	ashton peers down at strewn bodies and flaming debris.
1046_Australia_01.17.06.913-01.17.14.446 	king george sings, jumps and dances with his spears against the flaming sky of sunset.
1046_Australia_02.10.17.200-02.10.24.872 	the flickering flames illuminate the calm figure of king george, as others mill around trying to help.
1049_Harry_Potter_and_the_chamber_of_secrets_01.11.57.930-01.12.19.552 	lit by flaming torchlight, he sees the ghost of nearly headless nick hanging stiffly in mid-air, and a boy, justin, lying petrified on the ground, his eyes wide open, his arms stuck out in front of him.
1049_Harry_Potter_and_the_chamber_of_secrets_01.31.44.949-01.31.58.844 	he turns into a wide corridor licked by flaming torches, and hurries along until he reaches the top of a narrow flight of stone steps.
1051_Harry_Potter_and_the_goblet_of_fire_00.10.51.191-00.10.57.757 	harry sees ominous cloaked figures with skeleton masks and tall pointed hats, carrying flaming torches.
1053_Harry_Potter_and_the_philosophers_stone_01.07.52.028-01.07.56.934 	the great hall is lit with flaming torches.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.17.13.521-00.17.15.600 	the dragon belches flame as they enter the vault and close the door.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.53.36.685-00.53.42.178 	scabior catches one of the flaming embers on the tip of his wand.
2051_Harry_Potter_and_the_goblet_of_fire_00.58.24.200-00.58.35.641 	harry's forced to retreat behind a rock as the dragon flames him.
