0005_Chinatown_00.09.02.817-00.09.03.825 	he kneels down in the mud and stares at it.
0010_Frau_Ohne_Gewissen_01.46.27.673-01.46.30.832 	he kneels down beside neff.
0011_Gandhi_00.25.05.530-00.25.07.097 	she moves and kneels before him.
0017_Pianist_01.07.27.130-01.07.27.672 	szpilman has unloaded the sacks of potatoes into the corner and is kneeling, about to untie the string on the smallest sack.
0017_Pianist_01.42.01.993-01.42.18.088 	dorota goes to the kitchen, wets a towel, comes back to the bed, kneels it, places the towel on szpilman's brow.
0021_Rear_Window_00.08.09.062-00.08.10.228 	he kneels down, inspects them, touches them affectionately and with some pride.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.57.32.512-02.57.36.653 	aragorn drops on one knee, kneeling before the hobbits, his head bowed.
0031_The_Lost_Weekend_01.28.22.389-01.28.25.496 	she kneels down beside don.
0032_The_Princess_Bride_00.06.51.148-00.06.54.965 	great waves of people kneeling.
0032_The_Princess_Bride_00.34.38.632-00.34.41.425 	camera pulls back to reveal the prince, kneeling, inspecting every grain of misplaced sand.
0032_The_Princess_Bride_00.36.04.666-00.36.06.762 	camera pulls back to reveal the prince kneeling by the body as the others ride up.
0032_The_Princess_Bride_00.53.39.701-00.53.42.576 	the crowd, suddenly going to its knees, wave after wave of silent kneeling people.
0032_The_Princess_Bride_01.07.23.392-01.07.24.880 	he kneels, the sword held tight between his hands.
0033_Amadeus_00.50.42.978-00.50.54.425 	the young salieri is kneeling in desperation before the cross.
0033_Amadeus_00.51.47.253-00.51.50.138 	we see leopold kneeling now not to the cross but to archbishop colloredo, sitting impassively on his throne.
0033_Amadeus_00.52.28.589-00.52.30.021 	the camera pulls back to see that he is in fact kneeling beside constanze.
0041_The_Sixth_Sense_01.03.42.740-01.03.48.393 	lynn is kneeling on the kitchen floor trying to coax the puppy out of the broom closet.
0049_Hannah_and_her_sisters_00.36.00.410-00.36.06.564 	onstage, the soprano in the title role sings a mournful aria as she kneels by the ruins of a wagon.
0049_Hannah_and_her_sisters_01.39.03.502-01.39.06.429 	the marx brothers kneel, strumming their banjos, and the movie cuts back to central park.
