0002_As_Good_As_It_Gets_01.09.15.553-01.09.16.569 	an enormous sheaf of completed pages sit next to her.
0006_Clerks_00.04.54.108-00.04.57.669 	dante leans behind the counter, the morning routine completed.
0007_DIE_NACHT_DES_JAEGERS_00.12.27.930-00.12.30.279 	the artist completes in chalk, a large simple sketch of a man hanging from gallows.
0011_Gandhi_00.59.17.859-00.59.19.427 	the ashram is only half-finished, the ground unworked, the buildings only partially completed and the whole looking like some primitive frontier outpost.
0011_Gandhi_02.24.45.342-02.24.47.084 	ba and mirabehn are struggling along behind him, desai and pyarelal completing the little group.
0020_Raising_Arizona_01.18.57.487-01.18.58.812 	smoking as it skids around in the foreground, completing its turn.
0021_Rear_Window_00.39.29.173-00.39.30.673 	the salesman completes his searching glance at the neighborhood.
0021_Rear_Window_00.40.43.422-00.40.43.922 	the salesman has completed his cleaning of the case.
0021_Rear_Window_00.42.36.586-00.42.40.086 	having completed his job, he emerges from the kitchen carrying the newspaper- wrapped parcel.
0021_Rear_Window_01.02.28.092-01.02.31.177 	jeff lowers the long-focus lens, and turns his head to the right as he hears the first notes of the songwriter's melody which we have heard him trying to complete.
0021_Rear_Window_01.06.05.311-01.06.09.974 	having completed his call, thorwald returns to the bedroom carrying the handbag.
0021_Rear_Window_01.31.04.114-01.31.06.279 	he puts the handbag into one of the suitcases -- the one which he has almost completed filling.
0030_The_Hustler_01.51.52.313-01.52.04.052 	findley completes a shot, then lays his cue gently on the table and goes to the bar.
0050_Indiana_Jones_and_the_last_crusade_00.14.45.142-00.14.46.879 	he peers through the window in the door to see indy completing his lecture.
0050_Indiana_Jones_and_the_last_crusade_00.35.15.369-00.35.18.942 	the missing portion of the rubbing is completed by the shield.
0050_Indiana_Jones_and_the_last_crusade_01.35.36.138-01.35.39.914 	as indy winds up to punch vogel he catches brody in the face on the backswing, then completes the movement and knocks vogel down.
0053_Rendezvous_mit_Joe_Black_00.52.46.143-00.53.03.357 	he has now, with some difficulty, completed the tying of joe's tie, adjusts it beautifully on joe's collar, then spins him around in front of a mirror.
1007_Spider-Man1_00.33.05.008-00.33.08.520 	next to complete the join, red checks all over the head mask show the blades, center strip down the chest and round the waist and a touch of red along the arm.
1008_Spider-Man2_00.27.23.196-00.27.29.362 	peter leaps in the air over the convertible, completes a backwards somersault and lands, poised.
1014_2012_01.33.33.498-01.33.41.193 	the ship keels over to the starboard side then completes a hundred and eight degree turn.
1028_No_Reservations_01.24.10.509-01.24.20.620 	in the kitchen, nick completes a vegetable garnish on a dish and lays it out for a waiter.
1056_Rambo_01.14.37.365-01.14.44.806 	rambo completes his reload and fires into the remaining troops.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.22.14.144-01.22.16.673 	snape raises his wand, and completes two circles, in the air.
2027_Les_Miserables_00.02.34.354-00.02.37.306 	foreground convicts are at work on another ship that is almost completed, labouring in the crashing spray.
2027_Les_Miserables_02.28.44.304-02.28.45.164 	the triumphal column has long been completed, but the great elephant is sadly dilapidated and has become incorporated into an immense barricade - three stories high, seven hundred feet long.
2034_Super_8_01.42.32.490-01.42.40.555 	street as the majestic ship completes its formation -- and that's when joe sees the creature, leaving -- climbing up the.
