0001_American_Beauty_00.01.57.944-00.02.01.546 	Lester thrusts his face directly into a steaming hot shower.
0001_American_Beauty_00.01.57.944-00.02.01.546 	Lester thrusts his face directly into a steaming hot shower.
0007_DIE_NACHT_DES_JAEGERS_00.59.22.583-00.59.23.524 	Woman leaves shot briefly (we HOLD on CHILDREN) She re-enters and goes to them with a bowl of steaming potatoes.
0008_Fargo_00.27.24.675-00.27.31.586 	The trooper walks up the shoulder, one hand resting lightly on top of his holster, his breath steaming in the cold night air.
0017_Pianist_01.13.26.781-01.13.29.016 	Szpilman lies in a steaming bath, eyes closed, as though he's in a trance.
0019_Pulp_Fiction_01.09.03.404-01.09.08.399 	A young woman, with Spanish looks, sits parked, drinking a steaming hot cup of coffee out of a white styrofoam cup.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.15.45.668-00.16.05.409 	with glowing flowers as they rain down from the branches.evaporating just above the up turned faces of the delighted party-goers 144 Hobbits, feasting and drinking Carts of beer and wine are scattered about, and the tables are piled high with steaming scones and savories.
0027_The_Big_Lebowski_01.25.50.020-01.25.50.588 	The Chief hurls his steaming mug of coffee at the Dude.
0032_The_Princess_Bride_01.02.28.494-01.02.29.867 	TWO LARGE TUBS, one filled with steaming water, the other with water clearly of an icy nature.
0032_The_Princess_Bride_01.02.29.867-01.02.33.502 	Without a word FEZZIK stuffs Inigo's head into the icy water, then, after a reasonable amount of time, pulls him out, ducks him into the steaming stuff, and, a short time after that, puts him back in the cold again, then back in the hot.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.24.01.726-00.24.06.611 	The train steams across vast, brown landscape, illuminated by the evening sun.
1010_TITANIC_01.38.40.667-01.38.45.769 	in the engine room, the chief engineer spots the telegraph shift and drops a pot of steaming soup.
1010_TITANIC_02.57.20.543-02.57.32.177 	her breath steaming out in clouds, rose swims to the frozen crewman and pulls the whistle from his lips.
1024_Identity_Thief_01.03.18.933-01.03.26.465 	sandy steps out and approaches the steaming hood as diana duct tapes the unconscious skiptracer.
1026_Legion_00.58.00.568-00.58.01.497 	howard's stomach explodes in a shower of steaming liquid.
1037_The_Curious_Case_Of_Benjamin_Button_01.20.44.983-01.20.49.618 	captain mike grits his teeth, then sets the engines full ahead and steams towards the u-boat.
1051_Harry_Potter_and_the_goblet_of_fire_00.15.15.878-00.15.30.577 	the snowy owl flies out of the train window, and sows away over a lake, as the express steams on towards hogwarts.
1053_Harry_Potter_and_the_philosophers_stone_00.34.06.120-00.34.21.157 	the train steams through the countryside.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.57.32.428-01.57.40.858 	the children wave to their parents and siblings as the train steams out of platform 9 3/4.
2026_Legion_00.29.03.545-00.29.08.280 	bob is hunched over the steaming sink, pounding a can of light beer.
1053_Harry_Potter_and_the_philosophers_stone_00.34.06.120-00.34.21.157 	the train steams through the countryside.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.57.32.428-01.57.40.858 	the children wave to their parents and siblings as the train steams out of platform 9 3/4.
2026_Legion_00.29.03.545-00.29.08.280 	bob is hunched over the steaming sink, pounding a can of light beer.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.13.44.667-00.13.46.738 	harry glances warily from the steaming tureen of green to tom, who works a grimy thumb into his gum, frees a walnut sliver.
