0002_As_Good_As_It_Gets_01.49.43.890-01.49.44.997 	he roars ironically, a lion's roar of liberation.
0008_Fargo_00.30.53.417-00.30.55.561 	the car accelerates and roars past and away.
0009_Forrest_Gump_00.21.35.702-00.21.35.741 	the crowd roars with excitement as a football is kicked off.
0009_Forrest_Gump_01.10.53.050-01.10.56.576 	a hippie gives jenny a sugar cube of acid as they sit in front of a roaring fire.
0016_O_Brother_Where_Art_Thou_00.32.05.401-00.32.10.792 	the car roars up to the three men as delmar waggles a hopeful thumb.
0020_Raising_Arizona_00.07.52.806-00.07.58.390 	a squad car, its siren wailing, kicks up dust as it roars into the foreground.
0020_Raising_Arizona_00.27.26.394-00.27.31.340 	for a brief moment we see a wall of flames and hear it roar.
0020_Raising_Arizona_00.27.40.714-00.27.41.387 	a huge low-rider motorcycle bursts through the flames, its engine roaring even louder than the fire.
0020_Raising_Arizona_00.27.41.993-00.27.43.375 	the biker roars out of frame.
0020_Raising_Arizona_00.27.43.375-00.27.46.831 	as the biker roars into frame, his rear tire laying down a wake of fire.
0020_Raising_Arizona_00.27.46.831-00.27.51.294 	as he roars along a ribbon of desert highway.
0020_Raising_Arizona_00.27.56.166-00.27.58.375 	tracking with and also in on the biker from behind as he roars along a strip of highway.
0020_Raising_Arizona_00.28.24.388-00.28.24.991 	the biker roars into frame.
0020_Raising_Arizona_00.28.24.991-00.28.25.979 	as the biker roars away, the foreground flower bends with his draft and then bursts into flame.
0020_Raising_Arizona_00.28.33.612-00.28.35.185 	with the crane down we momentarily lose him from view over the rise; then suddenly - roar - he tops the rise and, wheels spinning, is airborne.
0020_Raising_Arizona_00.28.35.185-00.28.36.798 	as he crashes back down to earth in the foreground and roars away.
0020_Raising_Arizona_00.41.01.625-00.41.03.950 	he roars with laughter and slaps hi heartily on the back.
0020_Raising_Arizona_00.54.57.488-00.55.00.955 	flame is boiling in each exhaust pipe as the hog roars.
0020_Raising_Arizona_00.57.29.644-00.57.31.589 	roaring at the cut.
0020_Raising_Arizona_00.57.37.968-00.57.38.188 	although his eyes are unblinkingly open we do not see eyeballs, but only fire - either a reflection of the campfire or something roaring - burning-inside.
0020_Raising_Arizona_00.58.03.875-00.58.04.768 	the match erupts into roaring flame.
0020_Raising_Arizona_01.17.54.129-01.17.54.510 	roaring along.
0020_Raising_Arizona_01.18.21.893-01.18.26.375 	as lenny roars past the back window he casually flips something in.
0020_Raising_Arizona_01.18.46.251-01.18.46.386 	as the bike is roaring by.
0020_Raising_Arizona_01.19.50.144-01.19.51.140 	he roars after her.
0020_Raising_Arizona_01.19.51.140-01.19.52.354 	roaring down the alley.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.12.27.567-00.12.38.405 	a roaring fire; a lamb roasting on spit; long tables laden with food; barrels of wine; a banquet is-laid ready for the returning soldiers.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.10.56.182-02.10.58.708 	aragorn leaping from the leading ship and charging across the docks, roaring at the top of his lungs!
0027_The_Big_Lebowski_00.43.23.438-00.43.25.136 	as it roars overhead he ducks, and spins to watch it pass.
0028_The_Crying_Game_01.39.09.399-01.39.12.708 	fergus strains and roars from the bed.
0032_The_Princess_Bride_00.15.14.467-00.15.15.929 	the man in black, roaring up the rope
0032_The_Princess_Bride_00.33.47.486-00.34.12.831 	he laughs and roars and cackles and whoops and is in all ways quite cheery until he falls over dead.
0032_The_Princess_Bride_01.25.39.137-01.25.46.790 	and as this blow comes he's trying to use the wall for support in forcing himself to his feet, and it's not a roaring success of an attempt, but he does at least make some progress, and again he manages to parry the thrust, as this time rugen's sword runs through his right arm.
0050_Indiana_Jones_and_the_last_crusade_00.05.26.429-00.05.30.775 	and a vintage truck and automobile come roaring out from behind the pueblo (driven by two more gang members).
0050_Indiana_Jones_and_the_last_crusade_01.19.14.829-01.19.20.029 	as the messerschmidt roars by overhead, bullets explode around them, narrowly missing the car.
0050_Indiana_Jones_and_the_last_crusade_01.56.29.271-01.56.38.748 	a rumbling sound is heard and the ground roars and shifts.
1007_Spider-Man1_01.22.10.840-01.22.12.453 	flames are roaring out of the top floors.
1009_Spider-Man3_01.50.46.906-01.50.53.458 	up in his mansion harry turns off the tv and paces past a roaring fire with a hand clasped to his forehead.
1028_No_Reservations_00.59.14.748-00.59.27.358 	sitting on cushions in front of a roaring fire, under a sheet stretched out like a safari tent, the trio share the pizza.
1046_Australia_02.21.40.858-02.21.52.633 	flames roar into the air and king george, watching the soldiers work in the ruin, rubs dye into his cheeks.
1052_Harry_Potter_and_the_order_of_phoenix_00.04.26.289-00.04.28.119 	traffic roars past on the road above.
1058_The_Damned_united_00.39.55.000-00.39.58.000 	the derby players leap to their feet and roar, red-faced.
1062_Day_the_Earth_stood_still_01.19.02.282-01.19.06.747 	a massive jet of flame roars up a chamber.
2017_Bad_Santa_01.26.35.670-01.26.38.024 	willie is back over the safe, battering it with the sledgehammer, roaring with each swing.
2017_Bad_Santa_01.31.00.059-01.31.02.651 	he roars up the road as policemen leap for their vehicles, crank up their sirens and pursue.
2026_Legion_00.06.49.343-00.07.06.416 	he gets in the car and floors it, roaring away, as the flickering street lamps finally go out in rapid succession, a wave chasing him, plunging the entire city into darkness.
2034_Super_8_00.46.10.607-00.46.13.455 	the town roars its approval -- jack, impotent, tries.
2034_Super_8_01.29.31.738-01.29.33.928 	a jeep roars past.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.16.07.500-00.16.10.686 	the book roars angrily, muffled beneath the pillow.
