0001_American_Beauty_01.06.11.435-01.06.14.412 	Jane does so, surprised and intimidated by the power in his voice.
0004_Charade_01.19.27.619-01.19.31.023 	On benches by the water's edge, lovers are surprised by the bright light which suddenly and without warning discovers them in various attitudes of mutual affection.
0020_Raising_Arizona_01.24.37.416-01.24.39.407 	Hi does a small take, surprised at this much integrity.
0023_THE_BUTTERFLY_EFFECT_00.03.46.960-00.03.51.465 	Evan is surprised to see his mother enter with Mrs. Boswell, but continues playing with Kayleigh, now seven, a quiet, sweet-looking girl.
0026_The_Big_Fish_01.09.41.770-01.09.44.426 	UP ON THE CATWALK, Edward is surprised by an ENEMY SOLDIER.
0038_Psycho_00.05.01.567-00.05.03.375 	She stares at him, surprised at his willingness to continue the affair on her terms, as girls are so often surprised when they discover men will continue to want them even after the sexual bait has been pulled in.
0043_Thelma_and_Luise_01.45.15.840-01.45.18.437 	Max, still holding the phone, is surprised by this outburst.
0043_Thelma_and_Luise_01.45.58.630-01.46.00.595 	Louise is surprised to be hearing this from Thelma.
0051_Men_in_black_00.10.03.079-00.10.05.543 	EDWARDS is surprised by this maneuver, but doesn't waste a second.
1006_Slumdog_Millionaire_00.53.41.858-00.53.45.252 	Jamal looks happily surprised with the news.
1056_Rambo_00.54.10.536-00.54.14.581 	diaz creeps between two huts and is surprised by rambo, who's waiting there.
1059_The_devil_wears_prada_01.20.15.571-01.20.23.729 	she puts them down and is surprised to see miranda sitting on the couch with her glasses in her hand, just staring into space.
2026_Legion_01.04.40.370-01.04.46.886 	and with that, jeep walks away, leaving charlie to stare after him, disturbed and surprised by his response.
