0004_Charade_00.19.21.080-00.19.22.654 	It bears the Great Seal as a letterhead and the typed message reads:
0009_Forrest_Gump_00.43.27.847-00.43.28.753 	Another relative, wearing a civil war uniform and bearing a striking resemblance to Lt. Dan, falls down dead.
0011_Gandhi_00.04.21.925-00.04.25.524 	We see the two hundred men of the Army, Navy and Air Force drawing the Army weapon-carrier that bears the body of Gandhi.
0011_Gandhi_00.34.02.916-00.34.04.526 	Close on Gandhi, his arms crossed in front of his face, staring up, frightened, but determined to bear it.
0011_Gandhi_02.40.24.020-02.40.25.733 	It bears the stamp of undeniable truth.
0014_Ist_das_Leben_nicht_schoen_02.05.59.357-02.06.01.764 	Mr. Martini comes in bearing a mixing bowl overflowing with cash.
0016_O_Brother_Where_Art_Thou_01.18.35.257-01.18.37.448 	Everett, Pete, Tommy and Delmar, bearing the Confederate flag, are retreating across the neutral ground separating the mob of Klansmen from the burning cross.
0016_O_Brother_Where_Art_Thou_01.39.27.274-01.39.29.048 	The men hang onto the coffin, which bears them downstream.
0017_Pianist_00.29.55.712-00.29.57.385 	The NCO bears down on him.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.03.16.759-00.03.18.519 	THE HUGE, DARK FIGURE OF SARURON, bearing the ONE RING on his finger, looms over the field of battle.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.09.13.678-00.09.16.501 	Hobbits look up exclaiming in wonder and excitement as the cart bearing Gandalf and Frodo rolls past the Green Dragon Inn.towards.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.09.55.370-01.09.58.181 	Asfaloth springs away, bearing Arwen and Frodo into the night.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.30.52.453-01.30.56.062 	DENETHOR bends to the STRETCHER bearing his SON.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.50.23.753-02.50.27.778 	He bears GANDALF on his back, and is followed by TWO MORE.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.55.51.946-02.55.55.035 	A BANNER carried aloft bearing the WHITE TREE of GONDOR in FULL FLOWER.
0026_The_Big_Fish_00.05.33.858-00.05.34.940 	He's born to the water.
0033_Amadeus_00.00.42.521-00.00.46.369 	By his side is Salieri's COOK, bearing a large dish of sugared cakes and biscuits.
0033_Amadeus_00.15.47.286-00.15.50.805 	Then suddenly a servant bearing a large tray of cakes and pastries stalks past.
0033_Amadeus_00.15.52.284-00.15.56.638 	The servant marches along bearing his tray of pastries aloft.
0046_Chasing_Amy_00.03.04.140-00.03.07.728 	Beside it is a large mock-up of the comic book cover which features two stoner super-heroes who bear a striking resemblance to a pair of very familiar friendly neighborhood drug dealers, Holden hands the book back to the Fan.
0049_Hannah_and_her_sisters_00.48.18.001-00.48.22.502 	The stretcher, bearing Mickey, slowly moves out of the module.
0050_Indiana_Jones_and_the_last_crusade_00.24.29.306-00.24.35.292 	A LIMO is parked beside a PRIVATE AIRLINER that bears the DONOVAN CORPORATE LOGO.
0050_Indiana_Jones_and_the_last_crusade_01.10.48.516-01.10.56.294 	A Plainclothes Agent distributes leaflets bearing HENRY'S PICTURE to Nazi Soldiers inside the terminal.
0050_Indiana_Jones_and_the_last_crusade_01.19.27.867-01.19.29.850 	The Messerschmidt bears down on Indy's car, machine guns.
0050_Indiana_Jones_and_the_last_crusade_01.38.49.366-01.38.52.654 	Suddenly the FEDORA, borne on the wind, BLOWS INTO SCENE and lands at Indy's feet.
1008_Spider-Man2_01.38.51.812-01.38.57.651 	peter sees the three-pronged pincers at the end of a mechanical limb clomp towards the cafe, bearing up otavious with him.
1011_The_Help_01.24.42.635-01.24.49.647 	at the foot mansion, minnie is hoovering down a stuffed standing grizzly bear on a corner dice.
1014_2012_00.51.48.578-00.51.54.704 	the californian coastline bears up slowly and slips into the sea.
1026_Legion_00.38.29.283-00.38.32.102 	two columns of cars bear down on them.
1029_Pride_And_Prejudice_Disk_One_00.12.15.276-00.12.23.205 	whilst people are milling around on the main street, a grand carriage pulls up outside the assembly rooms, led by men bearing torches.
1035_The_Adjustment_Bureau_01.35.54.176-01.36.00.102 	a view of the outlying cityscape flushes golden as morning light comes to bear from a break in the clouds.
1035_The_Adjustment_Bureau_01.36.12.658-01.36.15.096 	harry arrives bearing an envelope.
1047_Defiance_00.15.43.200-00.15.48.016 	tuvia standing nearby sees the old man bearing his daughter.
1048_Gran_Torino_00.54.24.435-00.54.27.381 	later, he opens his door to more of the neighbors bearing food.
1051_Harry_Potter_and_the_goblet_of_fire_00.12.02.788-00.12.08.210 	the young man bears his teeth with an evil smile of satisfaction.
1056_Rambo_00.18.20.601-00.18.21.516 	a warning shot and the boat bears down on them.
1056_Rambo_00.59.46.828-00.59.49.583 	he bears down on her and reaching for his belt buckle.
1056_Rambo_00.18.20.601-00.18.21.516 	a warning shot and the boat bears down on them.
1056_Rambo_00.59.46.828-00.59.49.583 	he bears down on her and reaching for his belt buckle.
