0014_Ist_das_Leben_nicht_schoen_01.30.12.083-01.30.20.033 	but before he can think of an insult to top welch's, we hear a click on the phone.
0020_Raising_Arizona_00.28.33.612-00.28.35.185 	with the crane down we momentarily lose him from view over the rise; then suddenly - roar - he tops the rise and, wheels spinning, is airborne.
0020_Raising_Arizona_00.44.59.245-00.44.59.737 	the squad car tops a rise to bounce into view, its siren wailing.
0020_Raising_Arizona_01.17.41.376-01.17.43.568 	as they top a rise coming from the other direction.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.00.22.487-01.00.26.367 	strider stops before a distant hill, topped by an ancient ruin.
0027_The_Big_Lebowski_00.01.21.960-00.01.31.837 	we top the rise and the smoggy vastness of los angeles at twilight stretches out before us.
0051_Men_in_black_01.16.30.423-01.16.31.410 	most prominent in the mural are two tall towers that rise dramatically from the ground, topped by -- -- the two flying saucers from the very first alien contact.
1009_Spider-Man3_01.41.07.932-01.41.13.540 	a flash of lightning illuminates a gothic church with a tall studded aspire topped by a stone crucifix.
1028_No_Reservations_00.37.54.537-00.37.55.712 	a delicate chocolate teardrop, topped with a swirl of cream.
1031_Quantum_of_Solace_00.48.05.353-00.48.14.868 	the boat is heading towards a promontory topped by a grand villa overlooking the turquoise blue sea.
1049_Harry_Potter_and_the_chamber_of_secrets_00.08.33.079-00.08.36.262 	a faint light appears far away above the roof tops gradually getting nearer.
1062_Day_the_Earth_stood_still_00.45.50.574-00.45.54.981 	evacuees file through the city past fences topped with barbed wire.
1062_Day_the_Earth_stood_still_01.24.13.000-01.24.17.078 	an iron gate is topped with ornate spikes.
1062_Day_the_Earth_stood_still_01.24.28.715-01.24.32.901 	jacob climbs over a low wall also topped with iron railings.
