21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	someone shifts his frustrated gaze.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS538 	01:23:03,00 --> 01:23:09,50 	the boyish young man shifts his humbled gaze.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS266 	01:03:34,00 --> 01:03:40,50 	someone shifts his gaze then nods understandingly.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS82 	00:06:22,00 --> 00:06:28,50 	someone's stony expression softens as he shifts his gaze.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS159 	00:14:40,00 --> 00:14:46,50 	shifting his gaze, someone's eyes linger on its protruding front end.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS285 	00:24:36,00 --> 00:24:44,50 	elsewhere, someone continues down a highway, shifting his glaring eyes between his mirror and the road.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS402 	00:37:05,00 --> 00:37:11,50 	someone shifts his exasperated gaze as his son helps someone to his feet and urges him onward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS702 	01:11:47,00 --> 01:11:52,50 	shifting her weight, she approaches her father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS728 	01:13:23,00 --> 01:13:31,50 	someone glances toward the doorway then steps forward, shifting his gaze across the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS779 	01:17:33,00 --> 01:17:41,50 	someone shifts his gaze between them.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS922 	01:28:48,00 --> 01:28:52,50 	someone shifts his weight and grimaces.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS445 	01:04:07,00 --> 01:04:13,50 	someone shifts his sorrowful gaze and someone heads out.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS568 	01:19:17,00 --> 01:19:22,50 	he shifts his gaze.
BAD_TEACHER.srt 	BAD_TEACHER_DVS60 	00:18:39,00 --> 00:18:45,50 	he shifts his baffled gaze.
BAD_TEACHER.srt 	BAD_TEACHER_DVS116 	00:30:56,00 --> 00:31:02,50 	shifting her bewildered gaze the student shrugs.
BAD_TEACHER.srt 	BAD_TEACHER_DVS301 	01:20:16,00 --> 01:20:22,50 	frowning, someone nervously shifts his eyes.
BLINDDATING.srt 	BLINDDATING_DVS44 	00:13:57,00 --> 00:14:03,50 	someone shifts his wide-eyed gaze.
BRUNO.srt 	BRUNO_DVS44 	00:08:13,00 --> 00:08:23,50 	someone swallows, and shifts his wounded gaze.
BRUNO.srt 	BRUNO_DVS52 	00:10:13,00 --> 00:10:31,50 	his script at his side, someone shifts his haunted wide-eyed gaze.
BRUNO.srt 	BRUNO_DVS218 	01:01:13,00 --> 01:01:22,50 	someone glances at robert, then shifts his eyes to someone and someone on his other side.
BRUNO.srt 	BRUNO_DVS238 	01:05:29,00 --> 01:05:40,50 	later in the house, he shifts uncomfortably as two men and a woman give another woman oral sex.
BURLESQUE.srt 	BURLESQUE_DVS271 	00:38:01,00 --> 00:38:06,50 	someone's eyes shift to her makeup,
