21_JUMP_STREET.srt 	21_JUMP_STREET_DVS222 	00:37:48,00 --> 00:37:54,50 	he extends a hand, but someone pinches his face.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS671 	01:41:40,00 --> 01:41:45,50 	someone extends a hand.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS44 	00:12:53,00 --> 00:12:57,50 	someone extends his hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS289 	00:42:08,00 --> 00:42:27,50 	someone grabs the shaft, extends it to reveal a hidden trigger, then shoots someone through his good eye.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS280 	00:47:59,00 --> 00:48:06,50 	someone closes his magazine and extends his hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS292 	00:49:09,00 --> 00:49:13,50 	she extends his arm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS425 	01:08:08,00 --> 01:08:12,50 	he extends his hand.
BRUNO.srt 	BRUNO_DVS117 	00:26:25,00 --> 00:26:36,50 	his sits exhaustedly at the table, and someone extends his hand.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS445 	00:43:04,00 --> 00:43:08,50 	he looks up at them with extended arms.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS946 	01:33:11,00 --> 01:33:17,50 	blond extends his fist and someone gives it a friendly bump.
CHRONICLE.srt 	CHRONICLE_DVS78 	00:10:00,00 --> 00:10:05,50 	crouching, someone extends his hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS441 	01:45:37,00 --> 01:45:46,50 	stepping before someone, someone extends his hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS442 	01:45:45,00 --> 01:45:49,50 	someone extends his hand.
COLOMBIANA.srt 	COLOMBIANA_DVS137 	00:12:24,00 --> 00:12:29,50 	someone extends his hand.
DEAR_JOHN.srt 	DEAR_JOHN_DVS106 	00:15:41,00 --> 00:15:45,50 	she extends a hand.
DEAR_JOHN.srt 	DEAR_JOHN_DVS399 	01:01:28,00 --> 01:01:35,50 	someone extends his hand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS225 	00:36:35,00 --> 00:36:52,50 	he extended his gun's telescopic handle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS524 	01:14:44,00 --> 01:14:52,50 	gazing down on the stage, we find a shadow extending from someone's body as if reaching for someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS617 	01:27:38,00 --> 01:27:45,50 	someone extends his mystical burning skeletal hand toward someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	someone enters the home and his host extends a hand.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	he faces someone and extends a pointing finger.
IN_TIME.srt 	IN_TIME_DVS205 	00:21:28,00 --> 00:21:39,50 	as they draw closer, someone extends his hand.
IN_TIME.srt 	IN_TIME_DVS424 	00:45:35,00 --> 00:45:44,50 	as their sirens sound, white bars of light repeatedly extend across their grills and upper windshields.
IN_TIME.srt 	IN_TIME_DVS538 	00:57:59,00 --> 00:58:04,50 	she gives him an uneasy look, then extends her arm.
IRON_MAN_2.srt 	IRON_MAN_2_DVS459 	01:24:12,00 --> 01:24:22,50 	the accelerator extends across the entire house.
KARATE_KID.srt 	KARATE_KID_DVS958 	01:18:31,00 --> 01:18:37,50 	balancing on his staff, as he extends his other leg, parallel to the ground.
KARATE_KID.srt 	KARATE_KID_DVS971 	01:19:29,00 --> 01:19:42,50 	the disciple tucks her extended leg in briefly, and folds her arms across her torso, then lifts her knee up to her chest, and extends her arms in a slanted t, pointing down at the serpent.
KARATE_KID.srt 	KARATE_KID_DVS1090 	01:29:56,00 --> 01:30:21,50 	under his stunned gaze, she hops her feet out and in, and extends her arms to match.
KARATE_KID.srt 	KARATE_KID_DVS1477 	02:00:04,00 --> 02:00:11,50 	someone draws one fist back and extends a straightened hand forward.
KARATE_KID.srt 	KARATE_KID_DVS1570 	02:07:24,00 --> 02:07:50,50 	someone pulls his fist back, extending his flattened hand forward.
KARATE_KID.srt 	KARATE_KID_DVS1589 	02:09:35,00 --> 02:09:48,50 	the official extends a red flag.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS43 	00:07:08,00 --> 00:07:15,50 	as someone extends one gloved hand, other performers stack their hands atop hers.
KNOCKED_UP.srt 	KNOCKED_UP_DVS18 	00:17:06,00 --> 00:17:13,50 	she extends her foot and touches someone's side.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS169 	00:22:44,00 --> 00:22:50,50 	someone extends a handful of meat between the bars.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS174 	00:23:14,00 --> 00:23:20,50 	his ears point backward as he extends his nose to the meat.
