40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS74 	00:40:18,00 --> 00:40:24,50 	she yawns as she places books on shelves.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS166 	01:22:53,00 --> 01:23:00,50 	someone takes the last packaged figures of the high shelf and places them in a box
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS171 	01:23:32,00 --> 01:23:37,50 	he places the figure in a bubble.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS520 	01:26:16,00 --> 01:26:20,50 	she places her hand on his
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS151 	00:14:11,00 --> 00:14:18,50 	the soldiers place someone and someone in adjacent thick glass holding cells.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS84 	00:22:44,00 --> 00:22:50,50 	someone places his hands together.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS298 	00:55:06,00 --> 00:55:15,50 	someone leans close to the blond woman, picks up a french fry from her plate, places it halfway into his mouth, then smiles at her.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS327 	00:58:39,00 --> 00:58:43,50 	someone places his palms together.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS406 	01:10:37,00 --> 01:10:42,50 	and places it over his mouth again.
BRUNO.srt 	BRUNO_DVS135 	00:31:46,00 --> 00:31:56,50 	he raises their hands, and places them each on their own heads.
BURLESQUE.srt 	BURLESQUE_DVS539 	01:14:28,00 --> 01:14:34,50 	someone places a chair center stage and straddles it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS40 	00:05:42,00 --> 00:05:48,50 	placing both hands on the thick stone lid, he pushes it open.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS107 	00:17:54,00 --> 00:18:06,50 	the nazi officer places the box he removed from the tower onto a table.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS446 	01:20:09,00 --> 01:20:19,50 	dernier runs onto the road, rolls underneath the armored vehicle, and places a detonator on its frame.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS494 	01:26:12,00 --> 01:26:18,50 	as he places the tray on a table, someone sits.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS98 	00:07:42,00 --> 00:07:50,50 	later, he places a wooden cigar box on his bed and sets the unopened envelope inside.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS202 	00:42:10,00 --> 00:42:19,50 	the hefty man places a someone in someone's cap.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS333 	01:23:47,00 --> 01:24:20,50 	later, at the chestnut haired clerk's window, he places a form on the counter then sets down a roll of cash bound in rubber bands.
COLOMBIANA.srt 	COLOMBIANA_DVS56 	00:03:28,00 --> 00:03:33,50 	he places his free hand on his mentor.
COLOMBIANA.srt 	COLOMBIANA_DVS216 	00:18:30,00 --> 00:18:39,50 	his older colleague watches in disbelief as he cleans it off and places it in a disk which he then inserts into his computer.
COLOMBIANA.srt 	COLOMBIANA_DVS599 	00:56:39,00 --> 00:56:44,50 	she places a steak in each of their bowls.
COLOMBIANA.srt 	COLOMBIANA_DVS728 	01:09:08,00 --> 01:09:13,50 	then leans forward and places a gentle peck on her cheek.
DEAR_JOHN.srt 	DEAR_JOHN_DVS239 	00:37:25,00 --> 00:37:50,50 	on a college campus, a mailman takes a few letters from his satchel and places them into one of many po boxes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS571 	01:21:17,00 --> 01:21:24,50 	someone pulls his hand away and places his palm against someone's cheek.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS360 	01:27:00,00 --> 01:27:09,50 	someone stacks the various dioramas into a pyramid and places a mouse flying a kite on the top.
DISTRICT_9.srt 	DISTRICT_9_DVS359 	00:39:45,00 --> 00:39:56,50 	the head doctor places someone's alien hand on the gun.
DISTRICT_9.srt 	DISTRICT_9_DVS463 	00:53:30,00 --> 00:53:45,50 	rolling up his sleeve, he places his alien arm on the block and raises the ax.
FLIGHT.srt 	FLIGHT_DVS45 	00:06:51,00 --> 00:06:57,50 	she walks to a car and places the massage table in the trunk.
FLIGHT.srt 	FLIGHT_DVS153 	00:28:44,00 --> 00:28:50,50 	the ntsb officer places a recorder on someone's bed.
FLIGHT.srt 	FLIGHT_DVS170 	00:38:09,00 --> 00:38:15,50 	someone places his hand on someone's head, and leaves.
