21_JUMP_STREET.srt 	21_JUMP_STREET_DVS218 	00:36:47,00 --> 00:36:57,50 	he pushes an auditioning kid off stage.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS222 	01:49:49,00 --> 01:49:55,50 	the potbelly custodian resumes pushing the buffer.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS203 	00:17:34,00 --> 00:17:41,50 	someone grabs a pistol from a deceased officer and pushes someone forward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS254 	00:22:08,00 --> 00:22:17,50 	as the van spins a 180 degrees, someone's truck pushes a sideway sedan into his front end.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS467 	00:45:27,00 --> 00:45:35,50 	someone pushes someone behind him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS512 	00:50:01,00 --> 00:50:06,50 	someone pushes someone into a crystal chandelier.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS688 	01:10:44,00 --> 01:10:49,50 	he pushes someone aside.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS145 	00:29:56,00 --> 00:30:03,50 	wide-eyed someone runs after the man and pushes him out of the way of a bus.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS201 	00:38:51,00 --> 00:38:56,50 	the teacher pushes tyler in a rocket-shaped swing.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS264 	00:49:26,00 --> 00:49:31,50 	she pushes him onto the bed.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS386 	01:08:23,00 --> 01:08:29,50 	someone tries to clap his hands over someone's mouth, but someone pushes him away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS287 	00:41:33,00 --> 00:41:55,50 	he tries to bite someone's exposed neck, but the vampire hunter blocks the bite with his ax and pushes them off the horse.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS575 	01:20:10,00 --> 01:20:15,50 	she pushes her hood back a few inches.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS604 	01:23:45,00 --> 01:24:02,50 	someone lunges pushing the ghoul to the next rail car ahead.
BAD_TEACHER.srt 	BAD_TEACHER_DVS287 	01:17:46,00 --> 01:17:51,50 	he pushes him away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS219 	00:36:38,00 --> 00:36:42,50 	he tries to push it down.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS294 	00:49:14,00 --> 00:49:19,50 	the teacher pushes someone down into a deep knee bend.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS596 	01:33:40,00 --> 01:33:47,50 	someone pushes back and someone's guys knock him down.
BLINDDATING.srt 	BLINDDATING_DVS103 	00:28:20,00 --> 00:28:26,50 	someone pushes it away.
BRUNO.srt 	BRUNO_DVS188 	00:49:16,00 --> 00:49:29,50 	wearing pants, cowboy boots, and a dark tee, someone pushes a shopping cart.
BURLESQUE.srt 	BURLESQUE_DVS127 	00:17:19,00 --> 00:17:27,50 	someone pushes the beads aside.
BURLESQUE.srt 	BURLESQUE_DVS202 	00:30:18,00 --> 00:30:22,50 	he pushes the door shut.
BURLESQUE.srt 	BURLESQUE_DVS276 	00:38:12,00 --> 00:38:17,50 	the blonde pushes her eyelashes up with a brush
BURLESQUE.srt 	BURLESQUE_DVS333 	00:45:47,00 --> 00:45:51,50 	someone pushes someone.
BURLESQUE.srt 	BURLESQUE_DVS360 	00:49:35,00 --> 00:49:40,50 	someone's backup dancers push her forward.
BURLESQUE.srt 	BURLESQUE_DVS395 	00:55:12,00 --> 00:55:25,50 	as she pushes on one panel, it spins and she disappears behind it.
BURLESQUE.srt 	BURLESQUE_DVS429 	00:59:18,00 --> 00:59:25,50 	she pushes the pianist's head past her lap, then shimmies her pearls.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS35 	00:04:38,00 --> 00:04:45,50 	inside the tower, helmeted german soldiers push on the lid of a large sarcophagus.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS37 	00:04:51,00 --> 00:04:58,50 	the soldiers stop pushing and turned to face the nazi officer as he strides into the tower.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS40 	00:05:42,00 --> 00:05:48,50 	placing both hands on the thick stone lid, he pushes it open.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS50 	00:07:01,00 --> 00:07:07,50 	the nazi officer pushes the snake's eye.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS78 	00:11:52,00 --> 00:11:57,50 	they push through the crowd toward a stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS498 	01:27:08,00 --> 01:27:14,50 	someone pushes a document to someone who reads it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS514 	01:32:23,00 --> 01:32:44,50 	someone pushes a button and flames shoot out of his tailpipe, setting a pursuing trooper on fire.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS516 	01:32:59,00 --> 01:33:04,50 	someone pushes a button, firing missiles which destroy the tank.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS566 	01:38:38,00 --> 01:38:44,50 	driving the car, someone glances down and pushes a button on the dashboard.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS635 	01:46:39,00 --> 01:46:47,50 	he stares at the photo then pushes down on the steering yoke causing the plane to dive steeply.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS65 	00:05:37,00 --> 00:05:44,50 	as someone pushes his bike, he turns back to see the van park a few doors down the street.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS164 	00:13:01,00 --> 00:13:07,50 	another wave of froth rushing into him, pushing him back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS412 	00:38:57,00 --> 00:39:04,50 	using his arms, someone pushes up and floats over the crest of a modest wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS428 	00:40:38,00 --> 00:40:44,50 	he pushes up over several small waves and continues further out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1005 	01:37:48,00 --> 01:37:53,50 	someone pushes up on the next swell.
COLOMBIANA.srt 	COLOMBIANA_DVS386 	00:34:40,00 --> 00:34:45,50 	eyeing her wristwatch, she pushes a button.
COLOMBIANA.srt 	COLOMBIANA_DVS410 	00:36:23,00 --> 00:36:30,50 	finding the prisoner asleep, he shuffles to the cell block door and pushes a button.
COLOMBIANA.srt 	COLOMBIANA_DVS420 	00:37:01,00 --> 00:37:08,50 	crouched in the hallway, someone creeps in after him and gently pushes the door shut.
COLOMBIANA.srt 	COLOMBIANA_DVS513 	00:46:42,00 --> 00:46:50,50 	she pauses, most of her hair tucked under a hat and her features disguised by large sunglasses pushing them up on her nose, she crosses the sunny atrium.
COLOMBIANA.srt 	COLOMBIANA_DVS628 	00:59:17,00 --> 00:59:24,50 	someone nears the opposite end of the pool and pushes up one of the thick glass panels.
COLOMBIANA.srt 	COLOMBIANA_DVS631 	00:59:31,00 --> 00:59:37,50 	pushing herself out of the pool, she draws a gun at her hip.
COLOMBIANA.srt 	COLOMBIANA_DVS710 	01:06:47,00 --> 01:06:52,50 	he gently pushes her away and she takes a seat in front of him.
COLOMBIANA.srt 	COLOMBIANA_DVS837 	01:20:27,00 --> 01:20:33,50 	she sets a charge on the tiled wall and pushes a button.
COLOMBIANA.srt 	COLOMBIANA_DVS976 	01:33:49,00 --> 01:33:54,50 	he pushes a statue on the wall.
COLOMBIANA.srt 	COLOMBIANA_DVS977 	01:33:54,00 --> 01:34:00,50 	a panel behind the statue pushes inward to reveal a hidden compartment.
COLOMBIANA.srt 	COLOMBIANA_DVS1041 	01:38:14,00 --> 01:38:24,50 	pushing himself to his feet, someone moves to someone and pulls her hair.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS350 	01:24:33,00 --> 01:24:40,50 	unsettled, everyone pushes their plates away except someone, who tucks in.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS429 	01:45:03,00 --> 01:45:08,50 	someone pushes the door open.
DISTRICT_9.srt 	DISTRICT_9_DVS831 	01:37:49,00 --> 01:38:07,50 	someone unsteadily pushes himself up on his elbows, then crawls with strained effort over the littered ground.
EASY_A.srt 	EASY_A_DVS233 	01:12:33,00 --> 01:12:38,50 	she pushes him away.
FLIGHT.srt 	FLIGHT_DVS81 	00:15:50,00 --> 00:15:56,50 	then pushes out a small drop that slides down the needle.
FLIGHT.srt 	FLIGHT_DVS94 	00:16:47,00 --> 00:16:51,50 	her fingers reach out, but only push it away.
FLIGHT.srt 	FLIGHT_DVS139 	00:26:24,00 --> 00:26:31,50 	he sees a seated man on the tv gesturing, as rescue workers push a stretcher behind him.
FLIGHT.srt 	FLIGHT_DVS371 	00:59:43,00 --> 00:59:47,50 	someone pushes fran to the floor.
FLIGHT.srt 	FLIGHT_DVS398 	01:03:06,00 --> 01:03:09,50 	she pushes herself towards him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS249 	01:07:47,00 --> 01:07:56,50 	she pushes it open, caressing his chest and looks up at him coyly.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS278 	01:13:14,00 --> 01:13:21,50 	he angrily pushes away from the table and stands, then trips and falls.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS346 	01:32:15,00 --> 01:32:25,50 	through a wall of windows he watches his dad get pushed up a boarding ramp in a wheel chair.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS179 	00:29:11,00 --> 00:29:18,50 	his hand finds his seat belt buckle and pushes the release button.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS252 	00:40:05,00 --> 00:40:13,50 	sitting in the control seat between two levers, he pulls one back and pushes the other forward.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS333 	00:50:31,00 --> 00:50:39,50 	someone sets a bent knee at the rear of his seat then straightens it, pushing his weight onto his back foot.
HUGO.srt 	HUGO_DVS66 	00:08:42,00 --> 00:08:50,50 	the inspector shoves past the man, then pushes his way into a throng of travelers standing on a train platform.
HUGO.srt 	HUGO_DVS67 	00:08:47,00 --> 00:08:54,50 	he limps up the platform along the edge of the tracks, pushing people out of the way as he goes.
HUGO.srt 	HUGO_DVS180 	00:25:17,00 --> 00:25:24,50 	nearby, the brown-haired flower seller smiles as she pushes her cart through the station.
HUGO.srt 	HUGO_DVS236 	00:34:19,00 --> 00:34:25,50 	in the attic, he pushes a mechanism's gear with his thumb, spinning a tiny propeller.
HUGO.srt 	HUGO_DVS301 	00:46:36,00 --> 00:46:42,50 	someone pushes her way through the crowd after him.
HUGO.srt 	HUGO_DVS342 	00:52:00,00 --> 00:52:06,50 	someone stares at the illegible characters then pushes himself away from the table.
HUGO.srt 	HUGO_DVS438 	01:03:50,00 --> 01:03:57,50 	he pushes open a door to the train station, steps inside, then collides with the bookseller.
HUGO.srt 	HUGO_DVS626 	01:31:05,00 --> 01:31:12,50 	a group of female sailors push a bullet-shaped capsule into a giant cannon.
HUGO.srt 	HUGO_DVS680 	01:38:27,00 --> 01:38:34,50 	they hide behind a panel of scenery then retreat as men push the dragon puppet along on a track.
HUGO.srt 	HUGO_DVS697 	01:42:37,00 --> 01:42:47,50 	outside, someone pushes past pedestrians as he races toward the train station.
HUGO.srt 	HUGO_DVS736 	01:48:10,00 --> 01:48:16,50 	he pushes open a hinged window pane and stares at the street far below.
HUGO.srt 	HUGO_DVS805 	01:57:28,00 --> 01:57:40,50 	in other clips, revelers push a chariot across the sky.
IN_TIME.srt 	IN_TIME_DVS75 	00:08:39,00 --> 00:08:48,50 	the stranger bumps a table, then rushes nauseously into the back hall where he pushes his way in to a men's room.
IN_TIME.srt 	IN_TIME_DVS249 	00:25:41,00 --> 00:25:54,50 	a porter pushes a luggage cart down a walkway along a skyscraper's facade.
IN_TIME.srt 	IN_TIME_DVS448 	00:48:17,00 --> 00:48:28,50 	losing control, someone leans forward and protectively pushes someone's head down.
IN_TIME.srt 	IN_TIME_DVS453 	00:49:02,00 --> 00:49:10,50 	someone pushes past his men and grabs someone's arm.
IN_TIME.srt 	IN_TIME_DVS607 	01:05:04,00 --> 01:05:11,50 	someone pushes past the disgruntled dayton residents gathering around him.
IN_TIME.srt 	IN_TIME_DVS652 	01:10:45,00 --> 01:10:51,50 	then pushes his chair out from his desk and stands.
IN_TIME.srt 	IN_TIME_DVS725 	01:17:35,00 --> 01:17:41,50 	he pauses, pushes himself up, and looks to the window.
IN_TIME.srt 	IN_TIME_DVS848 	01:29:54,00 --> 01:30:01,50 	pushing aside two guards, someone emerges from behind their protective wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS55 	00:15:31,00 --> 00:15:37,50 	his father pushes him behind his back.
INSIDE_MAN.srt 	INSIDE_MAN_DVS387 	01:52:04,00 --> 01:52:10,50 	as a panel gets removed from the wall, someone pushes the stack of boxes out of his way.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	with his foot, someone - or iron man - pushes the limousine yards away with one foot.
IRON_MAN_2.srt 	IRON_MAN_2_DVS441 	01:21:46,00 --> 01:21:51,50 	someone lowers the holograph and pushes it out in front of himself.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS219 	01:04:47,00 --> 01:04:52,50 	she starts to push her tray away then leans back.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS402 	01:14:06,00 --> 01:14:12,50 	getting up, someone finds his melon boobs pushed at his shoulders.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS125 	00:45:05,00 --> 00:45:12,50 	a bespectacled someone kisses someone on the lips until she pushes him off.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS266 	01:28:29,00 --> 01:28:37,50 	someone pushes someone out of the way and poses again.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS280 	01:31:04,00 --> 01:31:11,50 	with their mouth under their coconut, someone pushes it up to someone's lips.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS340 	01:48:33,00 --> 01:48:38,50 	two push him through the water with their noses.
KARATE_KID.srt 	KARATE_KID_DVS214 	00:18:25,00 --> 00:18:33,50 	at their feet, someone wipes his eyes and pushes himself up.
KARATE_KID.srt 	KARATE_KID_DVS509 	00:46:09,00 --> 00:46:21,50 	he pushes the tangled boys to the ground.
KARATE_KID.srt 	KARATE_KID_DVS878 	01:12:13,00 --> 01:12:17,50 	he pushes on someone's forearm.
KARATE_KID.srt 	KARATE_KID_DVS882 	01:12:24,00 --> 01:12:31,50 	someone pushes on his crooked arm as someone holds the block.
KARATE_KID.srt 	KARATE_KID_DVS899 	01:13:19,00 --> 01:13:24,50 	someone pushes him away.
KARATE_KID.srt 	KARATE_KID_DVS964 	01:18:50,00 --> 01:18:56,50 	from a pair of twin platforms, he pushes himself up by his knuckles, and balances.
KARATE_KID.srt 	KARATE_KID_DVS1047 	01:24:57,00 --> 01:25:21,50 	now, someone limbers someone up, bending him over his knee, then pushing him into a full split.
KARATE_KID.srt 	KARATE_KID_DVS1159 	01:35:46,00 --> 01:35:53,50 	someone pushes a button and the display reads, message deleted.
KARATE_KID.srt 	KARATE_KID_DVS1596 	02:10:09,00 --> 02:10:20,50 	the injured boy pushes himself up on his elbows, then rolls himself onto his uninjured side.
KARATE_KID.srt 	KARATE_KID_DVS1602 	02:10:31,00 --> 02:10:41,50 	someone pushes himself up on his uninjured knee, then buckles.
KARATE_KID.srt 	KARATE_KID_DVS1607 	02:10:46,00 --> 02:10:52,50 	he pushes himself up, then stands on his good leg.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS192 	00:51:29,00 --> 00:51:36,50 	the trainer pushes on someone's left leg then presses down on her spread knees.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS270 	00:35:57,00 --> 00:36:07,50 	as we push through thick, churning storm clouds, deck lights illuminate a freighter in the night.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS472 	00:52:59,00 --> 00:53:15,50 	as he pushes it overboard, the tiger faces him with a snarl.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS506 	00:55:53,00 --> 00:56:03,50 	as someone slurps it down, someone jumps off the boat, he tries to push away on the raft but finds a line tethering him closely to the boat's prow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS509 	00:56:19,00 --> 00:56:25,50 	someone pushes off from the boat on his raft.
