21_JUMP_STREET.srt 	21_JUMP_STREET_DVS428 	01:11:37,00 --> 01:11:41,50 	someone catches up with him.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS160 	00:42:01,00 --> 00:42:09,50 	as he reaches the other side, someone arrives at the start of the bridge and stops to catch his breath.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS358 	01:05:03,00 --> 01:05:07,50 	someone catches it and someone grins.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS87 	00:09:57,00 --> 00:10:02,50 	catching his breath, someone lowers his pistol.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS146 	00:17:58,00 --> 00:18:12,50 	someone catches it and splits a tree trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS184 	00:25:04,00 --> 00:25:17,50 	the vampire hunter plunges through and a rope snare catches him around the ankle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS191 	00:26:05,00 --> 00:26:13,50 	he catches it in his feet then slashes the vampire's throat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS202 	00:27:39,00 --> 00:27:46,50 	from across the room, someone catches his gaze as she ignores her chattering fiance.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS295 	00:43:15,00 --> 00:43:22,50 	someone steps out from around a corner and catches his bloodsucking mentor in the act.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS300 	00:43:36,00 --> 00:43:41,50 	someone throws his ax, but someone catches it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS309 	00:44:42,00 --> 00:45:03,50 	he drops his dagger, catches it with his free hand, then slashes and leg sweeps his foe.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS394 	00:55:44,00 --> 00:55:59,50 	she backflips through the air catches it and lands in the seat on top of someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS404 	00:58:27,00 --> 00:58:39,50 	he and someone catch up to the carriage and climb on to the back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS567 	01:19:06,00 --> 01:19:15,50 	heading further into the car, a soot-smeared someone catches someone watching him and pauses with a frown.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS617 	01:26:53,00 --> 01:27:15,50 	someone catches someone's arm then flips him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS648 	01:31:45,00 --> 01:31:53,50 	the president helps his mentor to his feet, then they both remain hunched over, catching their breath.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS227 	00:37:40,00 --> 00:37:47,50 	he jogs over to a couch with the back of his skirt caught in the girdle.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS237 	00:38:46,00 --> 00:38:52,50 	someone shakes his head, then waves to catch his attention.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS613 	01:35:21,00 --> 01:35:26,50 	someone catches up to her.
BLINDDATING.srt 	BLINDDATING_DVS267 	01:05:37,00 --> 01:05:47,50 	someone hurries to catch up as he exits.
BRUNO.srt 	BRUNO_DVS150 	00:37:41,00 --> 00:37:45,50 	someone catches up to him.
BURLESQUE.srt 	BURLESQUE_DVS401 	00:55:44,00 --> 00:55:51,50 	two bartenders catch her and carry her to the chaise lounge.
