21_JUMP_STREET.srt 	21_JUMP_STREET_DVS185 	00:31:24,00 --> 00:31:32,50 	moving further inside the two undercover cops find the handsome, sensitive teen
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS341 	00:56:42,00 --> 00:56:49,50 	they move off together revealing a left behind someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS108 	00:27:06,00 --> 00:27:11,50 	now a red dot moves around the map.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS27 	00:12:34,00 --> 00:12:39,50 	someone's lips tense as his gaze moves around.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS129 	01:06:13,00 --> 01:06:18,50 	he takes it under the covers and moves it
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS125 	00:25:02,00 --> 00:25:06,50 	she moves away from the copier
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS264 	00:49:08,00 --> 00:49:12,50 	she moves close to him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS134 	00:12:41,00 --> 00:12:51,50 	elsewhere, three black sedans move through an alley, barely wide enough for cars.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS166 	00:15:10,00 --> 00:15:15,50 	then quickly moves on to the second.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS228 	00:19:03,00 --> 00:19:09,50 	moving to the driver's door, someone pulls on the locked handle.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS592 	01:01:19,00 --> 01:01:26,50 	now, our bird's eye view slowly moves toward the chernobyl power plant.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS604 	01:02:14,00 --> 01:02:21,50 	they move past the series of tall thin florescent lights in a heavy circular door.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS667 	01:08:42,00 --> 01:08:52,50 	inside, someone and his dad cautiously move down a corridor.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS716 	01:12:29,00 --> 01:12:36,50 	moving forward, they approach two masked guards, both facing the roof's edge.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS766 	01:15:50,00 --> 01:15:54,50 	someone moves through the vault.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS256 	00:48:36,00 --> 00:48:41,50 	someone moves to an open door.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS268 	00:49:50,00 --> 00:49:54,50 	someone moves his lips.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS473 	01:07:05,00 --> 01:07:11,50 	moving gingerly, someone gets to his feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS528 	01:14:36,00 --> 01:15:00,50 	now, union soldiers move in and out of wealthy residences bringing out bulging sacks and armloads of silver items.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS590 	01:21:37,00 --> 01:21:44,50 	he moves to a shuttered hatch and slides it open, aiming into the darkness.
BAD_TEACHER.srt 	BAD_TEACHER_DVS257 	01:09:36,00 --> 01:09:42,50 	they both move on.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS285 	00:48:28,00 --> 00:48:33,50 	someone moves his shoulders to the beat.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS304 	00:49:56,00 --> 00:50:01,50 	the frustrated teacher eyes someone's awkward moves.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS506 	01:20:28,00 --> 01:20:32,50 	the watchman looks around skeptically, then moves on.
BLINDDATING.srt 	BLINDDATING_DVS101 	00:28:06,00 --> 00:28:17,50 	with a self-satisfied smile, the woman moves next to him.
BRUNO.srt 	BRUNO_DVS115 	00:25:43,00 --> 00:26:13,50 	moving his head lower, someone simulates fondling someone's testicles.
BRUNO.srt 	BRUNO_DVS115 	00:25:43,00 --> 00:26:13,50 	he pretends to turn someone back to face him, and simulates oral sex, moving his head up and down.
BURLESQUE.srt 	BURLESQUE_DVS56 	00:05:28,00 --> 00:05:34,50 	she gives someone a polite smile, which instantly fades as she moves on.
BURLESQUE.srt 	BURLESQUE_DVS278 	00:38:16,00 --> 00:38:20,50 	someone moves beside her.
BURLESQUE.srt 	BURLESQUE_DVS325 	00:44:44,00 --> 00:44:51,50 	he locks his eyes with someone' desperate gaze, then moves forward to the couch where she sits.
BURLESQUE.srt 	BURLESQUE_DVS336 	00:46:12,00 --> 00:46:20,50 	someone watches someone leave, then moves to his soundboard.
BURLESQUE.srt 	BURLESQUE_DVS346 	00:47:26,00 --> 00:47:32,50 	someone moves closer.
BURLESQUE.srt 	BURLESQUE_DVS382 	00:53:11,00 --> 00:53:15,50 	someone moves to his side.
BURLESQUE.srt 	BURLESQUE_DVS488 	01:07:55,00 --> 01:08:09,50 	her backup dancers move upside-down on their chairs in acrobatic positions.
BURLESQUE.srt 	BURLESQUE_DVS658 	01:41:29,00 --> 01:41:36,50 	onstage, dancers move in unison while the seated band performs.
BURLESQUE.srt 	BURLESQUE_DVS716 	01:48:24,00 --> 01:48:29,50 	someone moves closer.
BURLESQUE.srt 	BURLESQUE_DVS731 	01:50:04,00 --> 01:50:10,50 	he moves in to kiss her again, then pulls back with a smile.
BURLESQUE.srt 	BURLESQUE_DVS749 	01:53:26,00 --> 01:53:34,50 	the male and female dancers now stand staggered on the staircase, moving in unison.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS443 	01:19:56,00 --> 01:20:04,50 	someone moves ahead into a small clearing, then turns and hurls the shield into a treetop.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS465 	01:23:18,00 --> 01:23:23,50 	someone follows someone as he moves through the empty compartment.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS466 	01:23:26,00 --> 01:23:33,50 	someone glances back at someone, then moves across a hallway into a connecting compartment.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS519 	01:33:07,00 --> 01:33:14,50 	grabbing his shield, someone leaps off the moving motorcycle and tackles a trooper.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS252 	00:19:48,00 --> 00:19:55,50 	the team moves along the ridge, keeping his eager gaze fixed on the older surfers.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS462 	00:44:54,00 --> 00:45:02,50 	his friend in a hunter's cap skateboards holding onto the moving bus and flashes the surfer a shaka sign.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS514 	00:50:06,00 --> 00:50:12,50 	he moves to the cliff's edge, staring out into the frothy white surf.
