40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS35 	00:15:14,00 --> 00:15:19,50 	door but it's locked.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS81 	00:09:10,00 --> 00:09:15,50 	someone hides in a shed but can't lock the door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS176 	00:24:00,00 --> 00:24:12,50 	as joshua leaves, someone locks up then throws down his apron and hurries to action.
BAD_TEACHER.srt 	BAD_TEACHER_DVS248 	01:07:50,00 --> 01:07:57,50 	someone mimes locking her lips.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS600 	01:34:26,00 --> 01:34:33,50 	he shoves someone inside and locks the door.
BLINDDATING.srt 	BLINDDATING_DVS106 	00:28:49,00 --> 00:28:54,50 	now, in a restroom, someone locks himself in.
BRUNO.srt 	BRUNO_DVS192 	00:50:11,00 --> 00:50:17,50 	someone gets to his feet, his gaze locked on the tvs.
BURLESQUE.srt 	BURLESQUE_DVS325 	00:44:44,00 --> 00:44:51,50 	he locks his eyes with someone' desperate gaze, then moves forward to the couch where she sits.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS108 	00:18:08,00 --> 00:18:18,50 	the nazi officer slides a clear canister into the box, then transfers the light source into a large machine, and locks it into place.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS192 	00:35:17,00 --> 00:35:24,50 	a technician plugs a hose into the pod and locks him into place.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS394 	01:11:57,00 --> 01:12:03,50 	still smiling, someone locks her eyes on someone as he gazes at the faces of the cheering soldiers all around him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1046 	01:40:45,00 --> 01:40:51,50 	someone takes a step forward, his eyes locked on the surf.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS27 	00:06:58,00 --> 00:07:04,50 	their lips still locked, someone rises and holds her in his arms.
DEAR_JOHN.srt 	DEAR_JOHN_DVS60 	00:07:55,00 --> 00:08:02,50 	they lock eyes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS83 	00:12:47,00 --> 00:12:53,50 	the oblivious man's gaze remains locked on his coin.
DEAR_JOHN.srt 	DEAR_JOHN_DVS101 	00:15:16,00 --> 00:15:22,50 	someone locks her in his sudden sobered gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS567 	01:20:48,00 --> 01:20:55,50 	someone's smoothly shaven jaw quivers as his eyes remain locked on his letter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS610 	01:23:52,00 --> 01:23:57,50 	someone quickly locks the horse into its stall.
DEAR_JOHN.srt 	DEAR_JOHN_DVS623 	01:25:05,00 --> 01:25:12,50 	someone swallows, dropping his gaze, then shakes his head and locks eyes with someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS660 	01:29:25,00 --> 01:29:29,50 	nodding, the two men lock gazes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS678 	01:31:46,00 --> 01:31:53,50 	someone tightens her rosebud lips, then locks eyes with her former lover.
DEAR_JOHN.srt 	DEAR_JOHN_DVS722 	01:36:44,00 --> 01:36:49,50 	she tearfully locks eyes with him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS771 	01:41:31,00 --> 01:41:38,50 	someone's reflection appears on an adjoining window, as he bends to lock his bike to a parking meter.
DISTRICT_9.srt 	DISTRICT_9_DVS835 	01:38:20,00 --> 01:38:40,50 	the module locks into place, locking out the radiant blue light.
DISTRICT_9.srt 	DISTRICT_9_DVS835 	01:38:20,00 --> 01:38:40,50 	the module locks into place, locking out the radiant blue light.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS250 	01:07:59,00 --> 01:08:03,50 	they lock gazes.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS47 	00:30:06,00 --> 00:30:13,50 	someone locks eyes with the rock-star.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS19 	00:03:05,00 --> 00:03:14,50 	someone jumps down to the dungeon floor and finds the door locked.
GREEN_ZONE.srt 	GREEN_ZONE_DVS193 	00:50:37,00 --> 00:50:44,50 	standing beside a humvee, they lock eyes.
GREEN_ZONE.srt 	GREEN_ZONE_DVS274 	01:03:42,00 --> 01:03:52,50 	someone turns away and wanders to a wall papered with photos and notes then fearfully locks eyes with the soldier.
HUGO.srt 	HUGO_DVS238 	00:34:30,00 --> 00:34:38,50 	in the attic, someone inserts the repaired mechanism into the automaton's chest cavity and locks it into place.
HUGO.srt 	HUGO_DVS716 	01:45:48,00 --> 01:45:53,50 	the inspector locks someone in a metal cage.
HUGO.srt 	HUGO_DVS718 	01:46:22,00 --> 01:46:27,50 	someone picks the cages lock with a tool.
