A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS161 	00:30:43,00 --> 00:30:48,50 	the doctor exhales.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS615 	01:26:38,00 --> 01:26:52,50 	meanwhile, someone exhales a puff of thick smoke.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS650 	01:02:36,00 --> 01:02:43,50 	someone watches as someone looks up at the shark again and exhales more air.
COLOMBIANA.srt 	COLOMBIANA_DVS509 	00:46:07,00 --> 00:46:15,50 	his boss exhales a plume of smoke as he crosses to a railing and gazes out over his grounds.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS199 	00:53:05,00 --> 00:53:15,50 	she exhales in someone's face.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS230 	01:07:33,00 --> 01:07:52,50 	lying tensely on the bed someone eyes his phone and exhales nervously.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS547 	01:48:50,00 --> 01:49:02,50 	someone exhales wearily through pursed lips, then picks up the box containing the manuscript and leans back in her chair.
KARATE_KID.srt 	KARATE_KID_DVS1571 	02:07:47,00 --> 02:08:11,50 	standing, someone exhales heavily and faces his opponent.
KARATE_KID.srt 	KARATE_KID_DVS1612 	02:11:08,00 --> 02:11:16,50 	someone watches with a knitted brow, he steels himself by exhaling through his pursed lips.
PROMETHEUS.srt 	PROMETHEUS_DVS553 	01:01:44,00 --> 01:01:49,50 	someone exhales smoke in his helmet.
SPARKLE_2012.srt 	SPARKLE_2012_DVS428 	01:11:01,00 --> 01:11:06,50 	she exhales one last long stream of smoke.
SPARKLE_2012.srt 	SPARKLE_2012_DVS483 	01:18:32,00 --> 01:18:38,50 	with his mouth open, he exhales a long breath and a short gasp.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS27 	00:06:12,00 --> 00:06:21,50 	one of the three students from the lunchroom, a blond girl, exhales smoke and meets his gaze.
THE_CALL.srt 	THE_CALL_DVS70 	00:04:01,00 --> 00:04:08,50 	looking at her computer, she exhales deeply and sets her arms down.
THE_CALL.srt 	THE_CALL_DVS123 	00:09:45,00 --> 00:09:49,50 	someone exhales deeply.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1173 	02:05:23,00 --> 02:05:30,50 	the clear plastic sticks to someone's face as he inhales, and puffs out as he exhales.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS778 	01:23:35,00 --> 01:23:39,50 	he exhales bracing, then taps the boy's elbow.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS446 	00:39:20,00 --> 00:39:26,50 	as someone faces someone, she exhales and lowers her chin.
ZOMBIELAND.srt 	ZOMBIELAND_DVS523 	01:01:30,00 --> 01:01:35,50 	then smiles through an exhaled laugh.
