21_JUMP_STREET.srt 	21_JUMP_STREET_DVS70 	00:07:48,00 --> 00:07:55,50 	pulling out in front of the bearded bikers, someone gets off his bike and draws his gun.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS139 	00:22:34,00 --> 00:22:41,50 	now, the camaro pulls into a high school parking lot bustling with teens.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS140 	00:22:45,00 --> 00:22:49,50 	they pull into a handicapped spot.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS311 	00:53:07,00 --> 00:53:14,50 	someone pulls the bloody blade from someone's back and someone pours vodka on the wound.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS325 	00:54:02,00 --> 00:54:07,50 	outside, his parents pull up.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS360 	00:59:52,00 --> 00:59:58,50 	someone gives her a kiss but she pulls away and hugs him.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS410 	01:09:18,00 --> 01:09:24,50 	someone pulls someone's head toward his lap.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS413 	01:09:49,00 --> 01:09:56,50 	the driver's ed car pulls up behind them.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS431 	01:11:57,00 --> 01:12:05,50 	someone pulls him out then gets behind the wheel.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS433 	01:12:12,00 --> 01:12:27,50 	a biker pulls out a handgun and takes aim.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS441 	01:13:14,00 --> 01:13:18,50 	he pulls the driver out.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS451 	01:14:16,00 --> 01:14:24,50 	yielding a silver revolver, the gang leader pulls up alongside the beetle and shoots out the driver side window.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS456 	01:14:49,00 --> 01:14:56,50 	someone grabs someone's pistol and pulls the trigger himself.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS576 	01:30:04,00 --> 01:30:09,50 	someone and someone pull off disguises.
