21_JUMP_STREET.srt 	21_JUMP_STREET_DVS85 	00:11:34,00 --> 00:11:39,50 	he leads his partner through the front gate.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS506 	01:19:54,00 --> 01:20:01,50 	later, in a rundown alley someone leads the pair away from his car.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS552 	01:25:25,00 --> 01:25:32,50 	now someone leads someone and someone out of an elevator and down the hotel hall.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS134 	00:37:27,00 --> 00:37:35,50 	later, someone leads someone around the side of a garage and tries a door.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS206 	00:35:03,00 --> 00:35:11,50 	someone leads toms through to the adult's only section.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS138 	00:13:10,00 --> 00:13:18,50 	at the courthouse, two police motorcycles lead the heavily guarded motorcade to the front entrance.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS195 	00:17:11,00 --> 00:17:16,50 	someone leads someone down a dark corridor.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS268 	00:23:13,00 --> 00:23:22,50 	further on, someone leads the way, weaving through oncoming traffic.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS355 	00:31:32,00 --> 00:31:38,50 	as he joins the others, his son leads someone into the safe house.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS407 	00:38:20,00 --> 00:38:26,50 	someone leads his companions to the edge of a construction site.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS409 	00:38:32,00 --> 00:38:39,50 	with a resentful sneer, someone leads someone with someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS416 	00:40:15,00 --> 00:40:21,50 	the agent retrieves his bag and leads them onward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS435 	00:42:07,00 --> 00:42:11,50 	taking point, someone cautiously scans his surroundings with his weapon ready, as he leads the others in.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS565 	00:54:35,00 --> 00:54:44,50 	in slow motion, someone hangs up his phone and leads a pack of lawyers and judges in suits and robes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS597 	01:01:43,00 --> 01:01:50,50 	their probing light leads back to a group of figures in black hazmat suits.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS603 	01:02:06,00 --> 01:02:11,50 	the group led by someone heads for the corridor.
