21_JUMP_STREET.srt 	21_JUMP_STREET_DVS348 	00:58:07,00 --> 00:58:12,50 	she waves from across the store.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS209 	01:42:06,00 --> 01:42:14,50 	with her eyes shut she waves her hands through the suds.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS46 	00:03:22,00 --> 00:03:26,50 	she waves to the camera
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS171 	00:15:31,00 --> 00:15:38,50 	at the checkpoint, the soldier finishes searching the third sedan and waves them through.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS290 	00:25:01,00 --> 00:25:07,50 	a large russian man exits the suv, waving his arms.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS733 	01:13:52,00 --> 01:14:00,50 	now shirtless, the bald muscular thug waves the truck driver on, as he jaunts to the chopper.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS738 	01:14:09,00 --> 01:14:16,50 	turning around, he waves the truck on board as it reverses into position.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS804 	01:20:32,00 --> 01:20:38,50 	someone waves a hand signal to his son.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS423 	01:00:07,00 --> 01:00:13,50 	as someone looks on anxiously, someone waves the search team on.
BAD_TEACHER.srt 	BAD_TEACHER_DVS84 	00:23:14,00 --> 00:23:23,50 	someone waves him into a stall, then uses a urinal like a chair.
BAD_TEACHER.srt 	BAD_TEACHER_DVS162 	00:44:13,00 --> 00:44:18,50 	someone waves to someone and she waves back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS61 	00:10:04,00 --> 00:10:08,50 	he exits and waves.
