21_JUMP_STREET.srt 	21_JUMP_STREET_DVS61 	00:06:17,00 --> 00:06:24,50 	reaching their destination, they climb off their bikes and lower their kickstands.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS116 	00:30:15,00 --> 00:30:21,50 	she climbs in his car, giving him a view of her butt.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS138 	00:37:58,00 --> 00:38:04,50 	he awkwardly climbs through the window and falls over a workbench onto the floor.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS208 	00:51:38,00 --> 00:51:42,50 	they climb out of the wreck.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS237 	00:56:24,00 --> 00:56:28,50 	someone climbs out.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS374 	01:07:58,00 --> 01:08:05,50 	expectations appears as a subtitle on a split screen as someone climbs the stairs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS186 	00:16:35,00 --> 00:16:41,50 	someone climbs to his feet and jumps through the chaos.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS283 	00:24:31,00 --> 00:24:36,50 	climbing down, someone lands hard on his back.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS825 	01:22:20,00 --> 01:22:27,50 	someone continues sprinting up the stairs, as someone climbs into the cargo hold.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS338 	00:59:45,00 --> 00:59:50,50 	someone climbs a ladder and reaches for the cat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS54 	00:05:20,00 --> 00:05:25,50 	someone climbs down from the loft.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS74 	00:08:27,00 --> 00:08:34,50 	as someone heads inside, someone climbs up a ladder to the dock.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS260 	00:38:06,00 --> 00:38:13,50 	someone climbs into his carriage then shakes someone's hand.
