21_JUMP_STREET.srt 	21_JUMP_STREET_DVS84 	00:11:25,00 --> 00:11:34,50 	getting out with him, someone reads a sign at the entrance printed in korean and english.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS177 	00:30:24,00 --> 00:30:30,50 	taking the quiz someone reads a question.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS273 	00:47:24,00 --> 00:47:33,50 	a cd reads, brads super awesome party mix.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS346 	00:57:27,00 --> 00:57:47,50 	it reads, "my peter pan costume.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS80 	00:10:48,00 --> 00:10:53,50 	a sign reads, happy engagement, someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS285 	00:53:22,00 --> 00:53:26,50 	subtitles read, "he is broken, more than broken, he is alone".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS424 	01:15:04,00 --> 01:15:10,50 	someone exits the lift past a sign that reads, thank you for 75 years,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS475 	01:19:40,00 --> 01:19:45,50 	someone sits in an easy chair in a coffee lounge reading a book.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS92 	00:08:04,00 --> 00:08:10,50 	someone walks underneath the sign that reads aeroflot.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS94 	00:08:16,00 --> 00:08:21,50 	inside the plane, the name atop a file reads, someone opens it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS124 	00:10:07,00 --> 00:10:13,50 	reading from the guidebook, he addresses the driver.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS663 	01:08:10,00 --> 01:08:16,50 	someone lifts a tablet, reading the levels of radiation.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS414 	01:12:05,00 --> 01:12:11,50 	someone picks up the book, sits against the base of the tree and begins to read.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS416 	01:12:21,00 --> 01:12:26,50 	someone jerks his head backward as he reads.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS58 	00:06:03,00 --> 00:06:08,50 	his mother stops reading along.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS73 	00:08:13,00 --> 00:08:25,50 	a sign above a warehouse store reads j.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS241 	00:33:52,00 --> 00:33:58,50 	frowning, someone takes up the paper and reads a headline.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS244 	00:34:14,00 --> 00:34:23,50 	now in the general store, someone reads a book.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS439 	01:03:37,00 --> 01:03:43,50 	as someone reads a letter, someone arrives.
BAD_TEACHER.srt 	BAD_TEACHER_DVS65 	00:19:42,00 --> 00:19:52,50 	words above it read dolphin research center, dolphin parent wally sneer.
BAD_TEACHER.srt 	BAD_TEACHER_DVS107 	00:29:33,00 --> 00:29:39,50 	someone reads the cover, then gapes at someone.
BAD_TEACHER.srt 	BAD_TEACHER_DVS213 	00:58:54,00 --> 00:59:00,50 	as someone sits patiently someone reads from an index card.
BAD_TEACHER.srt 	BAD_TEACHER_DVS221 	01:01:11,00 --> 01:01:29,50 	a sticker on someone's desk reads, "learning is funtastic."
BAD_TEACHER.srt 	BAD_TEACHER_DVS289 	01:18:18,00 --> 01:18:28,50 	on the other he reads envelope misspelled with an i.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS67 	00:10:45,00 --> 00:10:52,50 	a neon palm tree glows on a sign that reads oasis motel.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS134 	00:20:08,00 --> 00:20:14,50 	now, a sign reads, "georgia girls school for the arts".
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS209 	00:34:07,00 --> 00:34:12,50 	someone takes someone's cellphone and reads the text.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS244 	00:40:37,00 --> 00:40:43,50 	back at the dorm, a sign on a door reads, "divas in session, members only".
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS245 	00:40:40,00 --> 00:40:44,50 	a sign on a door reads, "divas in session, members only".
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS255 	00:42:46,00 --> 00:42:52,50 	at the library, someone reads a plaque on a broken glass case.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS272 	00:45:51,00 --> 00:45:58,50 	now, someone reads cosmopolitan.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS617 	01:36:00,00 --> 01:36:06,50 	outside, big momma-clad someone reads the text, "library, have fd".
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS674 	01:42:43,00 --> 01:42:51,50 	a caption reads, "notorious phd, lyrical miracle, prodi-g, someone's records.
BLINDDATING.srt 	BLINDDATING_DVS259 	01:02:25,00 --> 01:02:32,50 	but the wall clock reads 3:25.
BRUNO.srt 	BRUNO_DVS50 	00:09:47,00 --> 00:09:54,50 	he bows, then reads.
BRUNO.srt 	BRUNO_DVS96 	00:21:44,00 --> 00:21:55,50 	one reads, "garbage.
BRUNO.srt 	BRUNO_DVS254 	01:09:07,00 --> 01:09:21,50 	a sign reads, straight someone's man slammin' maxout.
BURLESQUE.srt 	BURLESQUE_DVS305 	00:41:22,00 --> 00:41:28,50 	later someone reads a housing ad in the newspaper.
BURLESQUE.srt 	BURLESQUE_DVS470 	01:04:53,00 --> 01:04:59,50 	someone reads the card: to the best view in la - someone.
BURLESQUE.srt 	BURLESQUE_DVS473 	01:05:15,00 --> 01:05:20,50 	as she reads it, her smirk fades.
BURLESQUE.srt 	BURLESQUE_DVS506 	01:10:11,00 --> 01:10:19,50 	someone smiles in her office as she reads the article on the front page of the la times calendar section.
BURLESQUE.srt 	BURLESQUE_DVS508 	01:10:20,00 --> 01:10:30,50 	a red stamp reads, final notice.
BURLESQUE.srt 	BURLESQUE_DVS656 	01:41:22,00 --> 01:41:30,50 	she stops and takes a second long look at a red neon sign which reads, the best view on the sunset strip.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS272 	00:50:05,00 --> 00:50:11,50 	a gi reads a captain america comic on his bunk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS384 	01:09:07,00 --> 01:09:12,50 	someone reads dictation to a typist.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS398 	01:12:29,00 --> 01:12:35,50 	a daily mail billboard reads, captain america to receive medal for valor.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS419 	01:16:09,00 --> 01:16:16,50 	at headquarters, someone approaches a blonde woman reading a newspaper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS498 	01:27:08,00 --> 01:27:14,50 	someone pushes a document to someone who reads it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS628 	01:45:25,00 --> 01:45:31,50 	a radar display reads, ziel, new york city.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS80 	00:06:33,00 --> 00:06:38,50 	as he reads the note, his brow creases.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS109 	00:09:00,00 --> 00:09:06,50 	later, a clock on the wall reads 1:15.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS137 	00:11:20,00 --> 00:11:25,50 	he takes a rundown path, passing graffiti that reads, "surf where you live."
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS218 	00:17:38,00 --> 00:17:45,50 	nearby, a trophy bearing his name stands by an alarm clock reading 4:00.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS325 	00:28:15,00 --> 00:28:22,50 	now, someone's watch reads 6:30 as he waits in the doorway of his shed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS386 	00:36:26,00 --> 00:36:32,50 	now, a wall clock reads 6:25.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS460 	00:44:44,00 --> 00:44:50,50 	someone casually bites an apple and reads the paper as someone struggles in the pool.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS479 	00:46:03,00 --> 00:46:09,50 	putting on reading glasses, someone unfolds the essay.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS480 	00:46:06,00 --> 00:46:14,50 	someone notices him reading and focuses on the food as someone's wife returns with another scoop of potatoes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS660 	01:04:00,00 --> 01:04:06,50 	now at school, a wall clock read 8:48.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS733 	01:12:55,00 --> 01:13:00,50 	sneering, he opens it and reads.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS873 	01:25:13,00 --> 01:25:19,50 	its timer reads four minutes and five seconds.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS922 	01:30:16,00 --> 01:30:22,50 	plucking out the envelope, he rips it open and reads the letter within.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1098 	01:44:33,00 --> 01:44:37,50 	he reads the typewritten letter.
CHRONICLE.srt 	CHRONICLE_DVS202 	00:29:33,00 --> 00:29:37,50 	he reads the display.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS67 	00:13:18,00 --> 00:13:31,50 	that reads, unemployed hits record 15 million.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS79 	00:14:43,00 --> 00:14:53,50 	a sign reads, speagle's meat and poultry shop.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS158 	00:34:31,00 --> 00:34:45,50 	it reads, buy at the esso sign for happy motoring.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS162 	00:35:12,00 --> 00:35:18,50 	someone reads to someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS182 	00:38:48,00 --> 00:38:59,50 	later, indoors, a sign reads, emergency relief administration of new jersey.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS229 	00:48:58,00 --> 00:49:09,50 	a sign reads, primo carnera versus max baer, world's heavyweight championship.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS240 	00:56:28,00 --> 00:56:32,50 	a sign reads, round 3.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS334 	01:24:19,00 --> 01:24:26,50 	someone reads the attached note and smiles.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS399 	01:37:02,00 --> 01:37:06,50 	someone holds a cigar as he reads.
COLOMBIANA.srt 	COLOMBIANA_DVS207 	00:17:49,00 --> 00:17:55,50 	now inside, a man reads a name on it - john c. davies, embassy of the united states of america.
COLOMBIANA.srt 	COLOMBIANA_DVS251 	00:21:09,00 --> 00:21:16,50 	someone reads a comic book as she waits on a platform for an approaching l train.
COLOMBIANA.srt 	COLOMBIANA_DVS258 	00:21:34,00 --> 00:21:40,50 	he reads it then meets her gaze.
COLOMBIANA.srt 	COLOMBIANA_DVS370 	00:33:28,00 --> 00:33:36,50 	in a security room, a guard reads a newspaper, ignorning several monitors set up before him.
COLOMBIANA.srt 	COLOMBIANA_DVS576 	00:52:25,00 --> 00:52:33,50 	he glances at a blonde woman who sits reading near a similarly blanketed window.
COLOMBIANA.srt 	COLOMBIANA_DVS669 	01:02:43,00 --> 01:02:49,50 	in his office, someone reads a newspaper's front page.
COLOMBIANA.srt 	COLOMBIANA_DVS670 	01:02:46,00 --> 01:02:54,50 	a photo displays the bloody swimming pool and a caption reads, "sharks eat shark."
COLOMBIANA.srt 	COLOMBIANA_DVS684 	01:04:40,00 --> 01:04:45,50 	someone reads a note written in a sketchbook.
COLOMBIANA.srt 	COLOMBIANA_DVS742 	01:10:17,00 --> 01:10:21,50 	she finds someone reading a newspaper.
COLOMBIANA.srt 	COLOMBIANA_DVS771 	01:14:57,00 --> 01:15:04,50 	the trace hones in on a building and a label reads, "third precinct, chicago, illinois."
COLOMBIANA.srt 	COLOMBIANA_DVS801 	01:17:23,00 --> 01:17:28,50 	his display reads, "unknown number."
COLOMBIANA.srt 	COLOMBIANA_DVS807 	01:18:23,00 --> 01:18:28,50 	one of her monitors reads, "third party on line."
DEAR_JOHN.srt 	DEAR_JOHN_DVS225 	00:35:07,00 --> 00:35:12,50 	on the bus, someone reads someone's letter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS241 	00:37:57,00 --> 00:38:02,50 	she reads on her way to class.
DEAR_JOHN.srt 	DEAR_JOHN_DVS255 	00:39:57,00 --> 00:40:03,50 	someone reads attentively.
DEAR_JOHN.srt 	DEAR_JOHN_DVS266 	00:42:17,00 --> 00:42:22,50 	riding in the bed of a transport truck, someone reads "what's the story?
DEAR_JOHN.srt 	DEAR_JOHN_DVS295 	00:45:36,00 --> 00:45:52,50 	on campus, a passing student bumps into someone as she reads.
DEAR_JOHN.srt 	DEAR_JOHN_DVS444 	01:05:24,00 --> 01:05:31,50 	glancing up, he notices a soldier reclined on a cot, and reading a letter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS457 	01:06:50,00 --> 01:06:55,50 	later, he sits outside and reads the letter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS550 	01:17:51,00 --> 01:17:56,50 	a doctor reading a file, continues on her way.
DEAR_JOHN.srt 	DEAR_JOHN_DVS628 	01:25:47,00 --> 01:25:52,50 	he reads a sign above the barn door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS706 	01:35:33,00 --> 01:35:38,50 	it reads, i love you, someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS762 	01:39:57,00 --> 01:40:04,50 	later, soldiers load cargo into vehicles as someone reads his letter.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS419 	01:43:17,00 --> 01:43:23,50 	he jogs over to a card on a table, picks it up and reads it.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS421 	01:43:24,00 --> 01:43:28,50 	someone takes it and reads it.
DISTRICT_9.srt 	DISTRICT_9_DVS25 	00:03:42,00 --> 00:03:49,50 	signs throughout the city read, for human use only, and, no non-human loitering.
DISTRICT_9.srt 	DISTRICT_9_DVS124 	00:14:40,00 --> 00:14:49,50 	as someone addresses another resident, the caption reads - district 9, zone 4.
DISTRICT_9.srt 	DISTRICT_9_DVS837 	01:38:44,00 --> 01:38:59,50 	as we watch from behind the blasted brick wall, a caption reads - 74 hours after exposure.
DISTRICT_9.srt 	DISTRICT_9_DVS852 	01:41:10,00 --> 01:41:21,50 	a caption reads - historic moment, as alien mothership leaves earth.
